BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;9999;6.29;0;0;0;0;2
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1000;2.23;0;;0;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2000;47.19;0;;0.88;4.4;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2100;45.25;0;;0.88;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2200;0;0;;0;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2300;0;0;;0;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2400;1.03;0;;0;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2500;0.91;0;;0;0.88;
Q21;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;9999;49.42;0;;0.88;5.28;
Q21;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;2000;1.6;;;;;
Q21;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;2300;1.6;;;;;
Q21;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;9999;1.6;;;;;
Q21;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;2000;0.25;;;;;
Q21;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;2100;0.25;;;;;
Q21;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;9999;0.25;;;;;
Q21;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;2000;;;;;;16
Q21;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;2100;;;;;;16
Q21;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;9999;;;;;;16
Q21;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;2000;1.1;;;;;
Q21;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;2400;1.1;;;;;
Q21;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;9999;1.1;;;;;
Q21;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;2000;5.63;;;1.17;1;
Q21;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;2400;4.21;;;1.17;1;
Q21;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;2500;1.42;;;;;
Q21;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;9999;5.63;;;1.17;1;
Q21;2021;010009702;USLD EMILE PELICAND;010780054;2000;0.35;;;;;
Q21;2021;010009702;USLD EMILE PELICAND;010780054;2500;0.35;;;;;
Q21;2021;010009702;USLD EMILE PELICAND;010780054;9999;0.35;;;;;
Q21;2021;010010171;CLINIQUE DE CHATILLON;010011559;2000;0.38;;;;;6
Q21;2021;010010171;CLINIQUE DE CHATILLON;010011559;2200;0.38;;;;;6
Q21;2021;010010171;CLINIQUE DE CHATILLON;010011559;9999;0.38;;;;;6
Q21;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;2000;5.11;;;;;
Q21;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;2400;5.11;;;;;
Q21;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;9999;5.11;;;;;
Q21;2021;010780195;CLINIQUE CONVERT;010000156;2000;1;;1;0;0;98
Q21;2021;010780195;CLINIQUE CONVERT;010000156;2100;1;;1;0;0;98
Q21;2021;010780195;CLINIQUE CONVERT;010000156;9999;1;;1;0;0;98
Q21;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;2000;4.83;;;;;45
Q21;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;2100;4.83;;;;;45
Q21;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;9999;4.83;;;;;45
Q21;2021;010780252;CRF L'ORCET;010783009;2000;5.43;;;;;
Q21;2021;010780252;CRF L'ORCET;010783009;2400;5.43;;;;;
Q21;2021;010780252;CRF L'ORCET;010783009;9999;5.43;;;;;
Q21;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;2000;6.39;;;;;
Q21;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;2400;6.39;;;;;
Q21;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;9999;6.39;;;;;
Q21;2021;010780294;NEPHROCARE CH BELLEY;690000278;2000;0.89;;;;;0
Q21;2021;010780294;NEPHROCARE CH BELLEY;690000278;2100;0.89;;;;;0
Q21;2021;010780294;NEPHROCARE CH BELLEY;690000278;9999;0.89;;;;;0
Q21;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;1000;0.2;;;;;
Q21;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;2000;3.93;;;;;
Q21;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;2400;3.93;;;;;
Q21;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;9999;4.13;;;;;
Q21;2021;010780492;CRF ROMANS-FERRARI;360000707;2000;7.58;;;;;
Q21;2021;010780492;CRF ROMANS-FERRARI;360000707;2400;7.58;;;;;
Q21;2021;010780492;CRF ROMANS-FERRARI;360000707;9999;7.58;;;;;
Q21;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;2000;3;;;;;
Q21;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;2400;3;;;;;
Q21;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;9999;3;;;;;
Q21;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;2000;1.25;;1;;;
Q21;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;2400;1.25;;1;;;
Q21;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;9999;1.25;;1;;;
Q21;2021;010789576;USLD;010780096;1000;0.5;;;;;
Q21;2021;010789576;USLD;010780096;2000;0.5;;;;;
Q21;2021;010789576;USLD;010780096;2500;0.5;;;;;
Q21;2021;010789576;USLD;010780096;9999;1;;;;;
Q21;2021;020000089;CH GUISE;020000022;1000;2.1;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;2000;4.7;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;2100;2.3;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;2300;0.6;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;2400;1.2;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;2500;0.6;0;0;0;0;0
Q21;2021;020000089;CH GUISE;020000022;9999;6.8;0;0;0;0;0
Q21;2021;020000097;CH LA FÈRE;020000048;1000;1.4;;;;;
Q21;2021;020000097;CH LA FÈRE;020000048;2000;6.33;;;1;1;
Q21;2021;020000097;CH LA FÈRE;020000048;2100;4.94;;;;;
Q21;2021;020000097;CH LA FÈRE;020000048;2400;1.39;;;1;1;
Q21;2021;020000097;CH LA FÈRE;020000048;9999;7.73;;;1;1;
Q21;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;1000;0.45;;;;;3
Q21;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2000;1.6;;;;;4
Q21;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2100;0.8;;;;;2
Q21;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2400;0.8;;;;;2
Q21;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;9999;2.05;;;;;7
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;1000;2.48;;;;;
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;2000;182.62;0;20.5;93.2;16.33;
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;2100;177.32;0;20.5;93.2;16.33;
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;2400;4.6;;;;;
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;2500;0.7;;;;;
Q21;2021;020000162;CH SAINT-QUENTIN;020000063;9999;185.1;0;20.5;93.2;16.33;
Q21;2021;020000246;CH VERVINS;020000071;1000;0.7;;;;;
Q21;2021;020000246;CH VERVINS;020000071;2000;3;;;;;1
Q21;2021;020000246;CH VERVINS;020000071;2100;1.9;;;;;1
Q21;2021;020000246;CH VERVINS;020000071;2400;1.1;;;;;
Q21;2021;020000246;CH VERVINS;020000071;9999;3.7;;;;;1
Q21;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1000;3.03;;;;;
Q21;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;2000;18.78;;;;;
Q21;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;2400;18.78;;;;;
Q21;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;9999;21.81;;;;;
Q21;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;2000;1.06;;;;;31
Q21;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;2100;1.06;;;;;31
Q21;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;9999;1.06;;;;;31
Q21;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;2000;0.5;;;;;5
Q21;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;2100;0.43;;;;;0
Q21;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;2200;0.07;;;;;5
Q21;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;9999;0.5;;;;;5
Q21;2021;020000394;CH LAON;020000253;1000;1;0;0;0;;0
Q21;2021;020000394;CH LAON;020000253;2000;90.66;0;0;29.76;8.11;0
Q21;2021;020000394;CH LAON;020000253;2100;90.09;0;0;29.76;8.11;0
Q21;2021;020000394;CH LAON;020000253;2400;0.57;0;0;0;;0
Q21;2021;020000394;CH LAON;020000253;9999;91.66;0;0;29.76;8.11;0
Q21;2021;020000519;CH SOISSONS;020000261;1000;1;;;;;
Q21;2021;020000519;CH SOISSONS;020000261;2000;123.74;;2.49;40.6;8.6;2
Q21;2021;020000519;CH SOISSONS;020000261;2100;120.74;;2.49;39.6;8.6;2
Q21;2021;020000519;CH SOISSONS;020000261;2400;3;;;1;;
Q21;2021;020000519;CH SOISSONS;020000261;9999;124.74;;2.49;40.6;8.6;2
Q21;2021;020000535;CH CHAUNY;020000287;1000;0.17;;0.08;;;
Q21;2021;020000535;CH CHAUNY;020000287;2000;40.24;;1;19.51;2.67;9
Q21;2021;020000535;CH CHAUNY;020000287;2100;37.71;;1;17.51;2.67;9
Q21;2021;020000535;CH CHAUNY;020000287;2400;1.45;;;1;;
Q21;2021;020000535;CH CHAUNY;020000287;2500;1.08;;;1;;
Q21;2021;020000535;CH CHAUNY;020000287;9999;40.41;;1.08;19.51;2.67;9
Q21;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2000;50.1;;;1;;
Q21;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2100;5.6;;;;;
Q21;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2200;44.5;;;1;;
Q21;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;9999;50.1;;;1;;
Q21;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;2000;10.42;;;;;
Q21;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;2400;10.42;;;;;
Q21;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;9999;10.42;;;;;
Q21;2021;020001061;CH CHÂTEAU-THIERRY;020004404;1000;1.41;;;;;
Q21;2021;020001061;CH CHÂTEAU-THIERRY;020004404;2000;74.54;;0.93;17.86;4.86;15
Q21;2021;020001061;CH CHÂTEAU-THIERRY;020004404;2100;74.54;;0.93;17.86;4.86;15
Q21;2021;020001061;CH CHÂTEAU-THIERRY;020004404;9999;75.95;;0.93;17.86;4.86;15
Q21;2021;020001087;CH HIRSON;020004495;1000;4.04;;;;;
Q21;2021;020001087;CH HIRSON;020004495;2000;24.06;;;;;
Q21;2021;020001087;CH HIRSON;020004495;2100;18.61;;;;;
Q21;2021;020001087;CH HIRSON;020004495;2300;2.4;;;;;
Q21;2021;020001087;CH HIRSON;020004495;2400;3.05;;;;;
Q21;2021;020001087;CH HIRSON;020004495;9999;28.1;;;;;
Q21;2021;020003877;SSR CH LAON;020000253;2000;1.33;0;0;1.35;;0
Q21;2021;020003877;SSR CH LAON;020000253;2400;1.33;0;0;1.35;;0
Q21;2021;020003877;SSR CH LAON;020000253;9999;1.33;0;0;1.35;;0
Q21;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;2000;;;;;;21
Q21;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;2200;;;;;;21
Q21;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;9999;;;;;;21
Q21;2021;020004297;HAD AMSAM SOISSONS;020005179;2000;0.66;;;;;
Q21;2021;020004297;HAD AMSAM SOISSONS;020005179;2300;0.66;;;;;
Q21;2021;020004297;HAD AMSAM SOISSONS;020005179;9999;0.66;;;;;
Q21;2021;020004677;USLD CH SOISSONS;020000261;2000;0.8;;;;;
Q21;2021;020004677;USLD CH SOISSONS;020000261;2500;0.8;;;;;
Q21;2021;020004677;USLD CH SOISSONS;020000261;9999;0.8;;;;;
Q21;2021;020005476;USLD CH LAON;020000253;2000;0.33;;;0.63;;
Q21;2021;020005476;USLD CH LAON;020000253;2500;0.33;;;0.63;;
Q21;2021;020005476;USLD CH LAON;020000253;9999;0.33;;;0.63;;
Q21;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;2000;7.6;;0;0.3;0;
Q21;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;2200;7.6;;0;0.3;0;
Q21;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;9999;7.6;;0;0.3;0;
Q21;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;2000;0.08;;0.06;;;
Q21;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;2500;0.08;;0.06;;;
Q21;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;9999;0.08;;0.06;;;
Q21;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2000;2.8;;;;;56
Q21;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2100;2.8;;;;;56
Q21;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;9999;2.8;;;;;56
Q21;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;2000;0.78;;;;;
Q21;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;2400;0.78;;;;;
Q21;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;9999;0.78;;;;;
Q21;2021;020010898;HAD CRF CHAUNY;750721334;2000;0.12;;;;;53
Q21;2021;020010898;HAD CRF CHAUNY;750721334;2300;0.12;;;;;53
Q21;2021;020010898;HAD CRF CHAUNY;750721334;9999;0.12;;;;;53
Q21;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;2000;0.2;;;;;42
Q21;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;2300;0.2;;;;;42
Q21;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;9999;0.2;;;;;42
Q21;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;2000;1;;;;;
Q21;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;2100;1;;;;;
Q21;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;9999;1;;;;;
Q21;2021;030000012;CH DE NERIS LES BAINS;030780100;2000;2.32;;;;;
Q21;2021;030000012;CH DE NERIS LES BAINS;030780100;2400;2.32;;;;;
Q21;2021;030000012;CH DE NERIS LES BAINS;030780100;9999;2.32;;;;;
Q21;2021;030000061;CH DE MOULINS;030780092;1000;23.45;;0.7;8.46;6.96;
Q21;2021;030000061;CH DE MOULINS;030780092;2000;112.08;;1.5;43.18;16.58;5
Q21;2021;030000061;CH DE MOULINS;030780092;2100;92;;0.5;38.74;15.23;5
Q21;2021;030000061;CH DE MOULINS;030780092;2200;15.75;;1;4.11;1.02;
Q21;2021;030000061;CH DE MOULINS;030780092;2400;2.63;;;0.33;0.33;
Q21;2021;030000061;CH DE MOULINS;030780092;2500;1.7;;;;;
Q21;2021;030000061;CH DE MOULINS;030780092;9999;135.53;;2.2;51.64;23.54;5
Q21;2021;030000079;CH DE MONTLUCON;030780100;1000;2;;;;;
Q21;2021;030000079;CH DE MONTLUCON;030780100;2000;88.09;;;48.58;11.08;10
Q21;2021;030000079;CH DE MONTLUCON;030780100;2100;84.38;;;48.58;11.08;10
Q21;2021;030000079;CH DE MONTLUCON;030780100;2300;0.91;;;;;
Q21;2021;030000079;CH DE MONTLUCON;030780100;2400;1.8;;;;;
Q21;2021;030000079;CH DE MONTLUCON;030780100;2500;1;;;;;
Q21;2021;030000079;CH DE MONTLUCON;030780100;9999;90.09;;;48.58;11.08;10
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1000;1.6;;;0;0;
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2000;144.75;;9.63;58.28;10;10
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2100;124.64;;9.63;54.88;9;10
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2200;13.12;;;3;1;
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2300;1;;;0;0;
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2400;4.59;;;0.4;0;
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;2500;1.4;;;0;0;
Q21;2021;030000087;CH JACQUES LACARIN VICHY;030780118;9999;146.35;;9.63;58.28;10;10
Q21;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1000;1;;;;;
Q21;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2000;1.8;;;;;
Q21;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2100;0.4;;;;;
Q21;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2400;1.4;;;;;
Q21;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;9999;2.8;;;;;
Q21;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;2000;8.94;;1;;;
Q21;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;2200;8.29;;1;;;
Q21;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;2500;0.65;;;;;
Q21;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;9999;8.94;;1;;;
Q21;2021;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;2000;;;;;;2
Q21;2021;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;2100;;;;;;2
Q21;2021;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;9999;;;;;;2
Q21;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;1000;1.29;;;;;
Q21;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;2000;4.87;;;1.33;1.33;
Q21;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;2400;4.87;;;1.33;1.33;
Q21;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;9999;6.16;;;1.33;1.33;
Q21;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;2000;1.15;;;;;
Q21;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;2100;1.15;;;;;
Q21;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;9999;1.15;;;;;
Q21;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;2000;0.79;;;;;
Q21;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;2100;0.79;;;;;
Q21;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;9999;0.79;;;;;
Q21;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;2000;1.65;;;;;
Q21;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;2100;1.65;;;;;
Q21;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;9999;1.65;;;;;
Q21;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2000;1.02;;;1.16;;7
Q21;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2100;0.15;;;1.16;;2
Q21;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2400;0.87;;;;;5
Q21;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;9999;1.02;;;1.16;;7
Q21;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;2000;;;;;;7
Q21;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;2100;;;;;;7
Q21;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;9999;;;;;;7
Q21;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;1000;1.01;;;;;
Q21;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;2000;4.55;;;;;56
Q21;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;2100;;;;;;56
Q21;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;2400;4.55;;;;;
Q21;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;9999;5.56;;;;;56
Q21;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2000;2.7;;;1;;60
Q21;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2100;1.7;;;1;;59
Q21;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2300;;;;0;;1
Q21;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2400;1;;;0;;0
Q21;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;9999;2.7;;;1;;60
