BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;0;0;;;0;2;2273;;0;;;2;2273;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;010780195;CLINIQUE CONVERT;010000156;28;10220;4024;1496;12580;69;25185;4895;960;11239;0;0;0;0;0;97;35405;8919;2456;23819;1;2;;;3583;33;9500;0;0;;;34;9502;;;3583;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
MCO;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;26;9490;5312;2129;13314;46;16790;2191;370;5442;15;5475;697;7;2732;87;31755;8200;2506;21488;2;462;;;320;29;6202;;0;;;31;6664;;;320;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;020000089;CH GUISE;020000022;28;10220;766;72;6656;0;0;0;0;0;0;0;0;0;0;28;10220;766;72;6656;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;8;1;1;1;1;0;1;1;1;0;150;0;50;0;8543;;4610;;912;1980
MCO;2021;020000097;CH LA FÈRE;020000048;38;13870;685;5;10255;;;0;0;0;;;0;0;0;38;13870;685;5;10255;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;157;64;111;;42;
MCO;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;15;5475;277;6;3401;;;0;0;0;;;0;0;0;15;5475;277;6;3401;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;0;;;;;991;;772;;;
MCO;2021;020000162;CH SAINT-QUENTIN;020000063;278;104209;18161;1997;94108;86;31390;3973;338;15464;28;9352;2262;93;7691;392;144951;24396;2428;117263;21;4611;2;301;47040;26;5618;0;771;0;0;47;11000;2;301;47040;1;1;1;1;1;1;1;1;1;65;94;;;106289;2018;57296;;5825;12057
MCO;2021;020000246;CH VERVINS;020000071;25;9125;391;2;6056;;;0;0;0;;;0;0;0;25;9125;391;2;6056;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;1041;35;21;;14;37
MCO;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;0;0;0;30;10170;970;4;2539;;;0;0;0;30;10170;970;4;2539;;1342;;;0;18;4019;;0;;;18;5361;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;020000394;CH LAON;020000253;131;46988;6845;1356;40611;34;12355;2553;119;10465;18;6570;1184;106;4281;183;65913;10582;1581;55357;14;1306;;;7998;11;1443;0;232;;;25;2981;;;7998;1;0;1;1;1;1;1;1;1;78;;7;52;63811;5634;76841;599;5480;16014
MCO;2021;020000519;CH SOISSONS;020000261;192;70080;12829;2690;62628;45;16425;3832;2107;8219;21;7665;1729;360;5498;258;94170;18390;5157;76345;0;0;;;20680;15;1;0;0;;;15;1;;;20680;1;0;1;1;1;1;1;1;1;;;;;50584;1026;56771;315;2706;18781
MCO;2021;020000535;CH CHAUNY;020000287;114;41610;4227;379;25945;5;1825;203;13;850;18;6570;954;246;2208;137;50005;5384;638;29003;2;162;3;107;2024;21;1643;;0;;;23;1805;3;107;2024;1;1;1;1;0;0;1;0;0;27;;;;22187;1088;23536;;1360;7531
MCO;2021;020001061;CH CHÂTEAU-THIERRY;020004404;140;51100;7264;1294;41532;15;5475;893;7;3253;15;5475;793;3;3070;170;62050;8950;1304;47855;4;77;2;;1020;10;3924;;368;;;14;4369;2;;1020;1;1;1;1;1;1;1;0;1;84;38;3;60;37383;3347;65379;511;3403;12401
MCO;2021;020001087;CH HIRSON;020004495;60;21900;2514;899;13712;;;0;0;0;;;0;0;0;60;21900;2514;899;13712;4;666;;;0;;0;;0;;;4;666;;;0;1;1;1;0;0;1;0;0;0;63;;17;;;;;;;
MCO;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;35;12775;2210;557;9862;68;24820;3079;28;7799;0;0;0;0;0;103;37595;5289;585;17661;4;345;;;3995;40;9561;;0;;;44;9906;;;3995;;;;;;;;;;;;;;;;;;;
MCO;2021;030000061;CH DE MOULINS;030780092;200;69053;9012;1350;59524;47;20093;2932;64;16198;25;9125;1390;5;5244;272;98271;13334;1419;80966;16;976;0;0;23513;7;2218;2;263;0;0;25;3457;0;0;23513;1;1;1;1;1;1;1;1;1;150;100;42;30;42594;5352;44360;1559;3880;15629
MCO;2021;030000079;CH DE MONTLUCON;030780100;255;90804;13323;2611;79757;33;12045;1567;66;7739;33;12045;1614;97;5624;321;114894;16504;2774;93120;2;1249;;;11962;4;855;3;632;;;9;2736;;;11962;1;1;1;1;1;1;1;1;0;60;175;;;43031;2582;43042;0;3014;12157
MCO;2021;030000087;CH JACQUES LACARIN VICHY;030780118;219;75844;13337;2712;68782;64;22053;3245;144;16702;20;7300;1723;206;5390;303;105197;18305;3062;90874;12;2216;0;0;15233;14;6094;0;0;0;0;26;8310;0;0;15233;1;1;1;1;1;1;1;1;1;160;132;7;60;54878;3057;65422;0;2881;6491
MCO;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;8;2920;90;0;2245;0;0;0;0;0;0;0;0;0;0;8;2920;90;0;2245;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;10;3650;131;0;3480;;;0;0;0;;;0;0;0;10;3650;131;0;3480;0;0;;;0;;0;;0;;;0;0;;;0;1;0;0;0;0;0;0;1;0;;;;;347;0;;;;
MCO;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;10;3650;1164;126;6065;57;20805;2392;268;5513;;;0;0;0;67;24455;3556;394;11578;5;320;;;1786;26;7046;;0;;;31;7366;;;1786;;;;;;;;;;;;;;;;;;;
MCO;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;64;21833;1983;9;19950;56;18921;2661;30;9301;0;0;0;0;0;120;40754;4644;39;29251;3;149;0;0;7117;25;8003;0;0;0;0;28;8152;0;0;7117;;;;;;;;;;;;;;;;;;;
MCO;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;30;10950;2245;2;7322;61;17845;1728;23;4582;0;;0;0;0;91;28795;3973;25;11904;3;0;;;1018;27;8122;;0;;;30;8122;;;1018;0;0;0;0;0;0;0;0;0;;;;;0;0;0;;0;
MCO;2021;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;5;1825;54;3;599;;;0;0;0;;;0;0;0;5;1825;54;3;599;;0;;;2;;0;;0;;;;0;;;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;040000044;EPS DUCELIA DE CASTELLANE;040780140;4;1460;41;4;303;;;0;0;0;;;0;0;0;4;1460;41;4;303;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;129;43149;6865;1050;38849;41;10526;3350;1597;8164;19;6935;1043;183;3181;189;60610;11258;2830;50194;11;183;0;0;5009;10;0;;0;0;0;21;183;0;0;5009;1;0;1;1;0;1;0;0;1;60;;20;45;22630;1677;15145;0;4515;1964
MCO;2021;040000119;EPS LUMIERE DE RIEZ;040780231;4;1460;134;0;793;0;0;0;0;0;0;0;0;0;0;4;1460;134;0;793;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;4;1460;48;0;585;;;0;0;0;;;0;0;0;4;1460;48;0;585;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;20;7250;1969;599;5959;;;0;0;0;;;0;0;0;20;7250;1969;599;5959;0;0;0;;3;;0;;0;;;0;0;0;;3;1;1;1;1;1;1;1;1;1;;;;;6265;523;12951;;265;591
MCO;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;107;34991;3838;652;31429;30;9733;1103;28;4700;17;6459;695;133;2025;154;51183;5636;813;38154;25;1712;;;2027;16;2058;1;227;;;42;3997;;;2027;1;1;0;1;1;0;1;1;1;;;;;18095;829;14668;23;1800;2778
MCO;2021;040780470;CLINIQUE TOUTES AURES;040000192;0;0;0;0;0;47;17155;558;1;2074;0;0;0;0;0;47;17155;558;1;2074;0;0;;;0;20;5132;0;0;;;20;5132;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;18337;;0;;0;;;;0;;;18337;;;;;;;;;;;;;;;;;;;
MCO;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;29;5800;150;0;600;29;10585;1899;0;3486;;;0;0;0;58;16385;2049;0;4086;25;35;;;689;29;11443;;0;;;54;11478;;;689;;;;;;;;;;;;;;;;;;;
MCO;2021;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;4;1460;33;0;1017;;;0;0;0;;;0;0;0;4;1460;33;0;1017;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;44;16060;3064;848;11253;25;9125;1664;85;5002;9;3285;782;219;2006;78;28470;5510;1152;18261;0;0;;;4711;5;1711;;0;;;5;1711;;;4711;1;1;1;1;0;1;1;1;1;;;;;21276;1736;16719;3;1074;6791
MCO;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;27;8939;1303;376;7343;;;0;0;0;;;0;0;0;27;8939;1303;376;7343;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;1;0;0;0;0;;;;;1293;828;6291;;899;294
MCO;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;152;60042;9257;1058;50255;60;20870;3441;101;12712;18;6570;1839;65;5906;230;87482;14537;1224;68873;3;179;1;24;14532;14;2978;3;89;;;20;3246;1;24;14532;1;1;1;1;1;1;1;1;1;;;;;40755;2675;37702;0;1204;6999
MCO;2021;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;11005;;0;;0;;;;0;;;11005;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;4;1460;24;1;246;0;0;0;0;0;0;0;0;0;0;4;1460;24;1;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2021;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;5;1825;161;3;2093;;;0;0;0;;;0;0;0;5;1825;161;3;2093;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;6;2190;73;1;1194;;;0;0;0;;;0;0;0;6;2190;73;1;1194;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;
MCO;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;187;68255;9191;664;50741;49;17885;2237;48;9782;32;11680;2850;75;11085;268;97820;14278;787;71608;9;1024;;;4273;14;2645;2;651;;;25;4320;;;4273;1;1;1;1;1;1;1;1;1;;;;;52360;1961;43325;782;6728;17220
MCO;2021;060000486;CH SAINT ELOI DE SOSPEL;060780905;12;4380;250;4;3120;;;0;0;0;;;0;0;0;12;4380;250;4;3120;;0;;;1;;0;;0;;;;0;;;1;;;;;;;;;;;;;;;;;;;
MCO;2021;060000494;CH SAINT LAZARE DE TENDE;060780921;5;1825;37;2;479;;;0;0;0;;;0;0;0;5;1825;37;2;479;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;243;86466;11823;1066;74451;53;19345;3167;254;15745;22;8030;1763;355;5156;318;113841;16753;1675;95352;24;1276;0;0;3790;14;2986;3;13;;;41;4275;0;0;3790;1;1;1;1;1;1;1;1;1;105;90;43;65;65498;3845;40270;8;3972;13380
MCO;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;92;30130;4291;76;28917;36;10292;2272;636;5325;;;0;0;0;128;40422;6563;712;34242;41;1257;;;51240;14;1392;;0;;;55;2649;;;51240;1;1;0;1;0;0;1;0;0;;;;;47326;0;48575;;0;10373
MCO;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;249;89756;14737;2363;73925;69;24577;2735;18;17237;24;8754;2012;366;6130;342;123087;19484;2747;97292;29;2670;;;10977;16;3519;5;432;;;50;6621;;;10977;1;1;1;1;1;0;1;1;1;47;128;;42;71423;1924;53737;521;3687;14592
MCO;2021;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;8;2920;128;3;1495;0;0;0;0;0;0;0;0;0;0;8;2920;128;3;1495;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060002102;CH LA PALMOSA DE MENTON;060791761;53;18615;3357;1257;17327;27;9018;1265;54;6922;0;0;0;0;0;80;27633;4622;1311;24249;0;94;0;0;26;9;2328;0;0;0;0;9;2422;0;0;26;1;0;1;1;1;0;1;0;1;50;30;;;44866;1000;35951;117;860;2112
MCO;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;0;;14;0;50;8;2920;30;6;94;0;;0;0;0;8;2920;44;6;144;0;0;;;31;5;2358;0;0;;;5;2358;;;31;0;0;0;0;0;0;0;0;0;;;;;14667;0;13708;6;0;4039
MCO;2021;060010949;AGAHTIR UDM ANTIBES;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;10065;;0;;0;;;;0;;;10065;;;;;;;;;;;;;;;;;;;
MCO;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;30;10950;569;0;5224;76;27740;2445;0;5920;0;0;0;0;0;106;38690;3014;0;11144;0;9;;;148;50;17211;;0;;;50;17220;;;148;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;;;0;0;0;30;10950;1568;2;1791;;;0;0;0;30;10950;1568;2;1791;;0;;;0;10;4230;;0;;;10;4230;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;56;20440;3397;6;19479;72;26280;3415;0;12110;;;0;0;0;128;46720;6812;6;31589;10;6998;;;226;23;5665;;0;;;33;12663;;;226;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;67;24455;4108;941;18889;89;32485;20943;17129;14351;34;12410;1378;32;4292;190;69350;26429;18102;37532;10;727;0;0;11048;57;289;2;67;0;0;69;1083;0;0;11048;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;0;0;54;19710;2000;0;6220;0;0;0;0;0;54;19710;2000;0;6220;0;0;;;495;10;5850;0;0;;;10;5850;;;495;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060780715;CLINIQUE SAINT GEORGE;060000361;66;24090;7659;134;32551;160;58400;6781;134;20632;;;363;2;1393;226;82490;14803;270;54576;;0;;;7726;61;24652;;0;;;61;24652;;;7726;;;;;;;;;;;;;;;;;;;
MCO;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;16;5840;1352;251;6124;71;25915;2869;336;7244;;;0;0;0;87;31755;4221;587;13368;;0;;;3947;31;11132;;0;;;31;11132;;;3947;;;;;;;;;;;;;;;;;;;
MCO;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;6;2190;338;6;1929;40;14600;1751;0;3137;57;20805;3628;142;13940;103;37595;5717;148;19006;;0;;;172;15;7630;;0;;;15;7630;;;172;;;;;;;;;;;;;;;;;;;
MCO;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;71;23920;6808;1054;21585;23;8426;2686;317;5790;;;0;0;0;94;32346;9494;1371;27375;10;1197;;;735;14;2362;;0;;;24;3559;;;735;1;1;1;1;1;1;1;1;1;;;;;51001;0;45253;1388;0;22216
MCO;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;36;13140;1638;5;13551;61;22326;1596;2;6253;;;60;59;1;97;35466;3294;66;19805;;0;;;368;19;7332;;0;;;19;7332;;;368;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;331;120830;24614;6088;95721;219;73502;12564;359;57238;0;0;0;0;0;550;194332;37178;6447;152959;48;5139;0;0;29902;30;4689;;0;;;78;9828;0;0;29902;1;0;0;0;1;0;1;1;1;;;;;142828;0;102739;666;0;60105
MCO;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;73;23567;2091;13;20137;0;0;0;0;0;0;0;0;0;0;73;23567;2091;13;20137;4;2753;0;0;143;0;0;0;0;;;4;2753;0;0;143;0;0;0;0;0;0;0;0;0;;;;;48626;0;28246;16414;2;3274
MCO;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;283;102700;8858;73;86783;46;22944;2275;218;11673;74;27010;5920;1396;19095;403;152654;17053;1687;117551;60;8685;0;0;16955;4;106;11;604;;;75;9395;0;0;16955;0;1;1;1;0;0;0;0;0;;;;;102660;9141;39092;166;22983;50807
MCO;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;60;33215;1690;12;21083;;;0;0;0;;;0;0;0;60;33215;1690;12;21083;4;814;;;41;;0;;0;;;4;814;;;41;1;1;1;1;1;0;1;1;1;8;30;;8;6762;0;783;0;0;2823
MCO;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;35615;;0;;0;;;;0;;;35615;;;;;;;;;;;;;;;;;;;
MCO;2021;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;2495;;0;;0;;;;0;;;2495;;;;;;;;;;;;;;;;;;;
MCO;2021;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;13184;;0;;0;;;;0;;;13184;;;;;;;;;;;;;;;;;;;
MCO;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;44;16060;2096;31;11855;24;8760;2613;1818;2127;;;0;0;0;68;24820;4709;1849;13982;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;0;0;;;;;2613;;7140;;;
MCO;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;124;45260;3031;92;21389;98;35770;4137;858;11731;;;0;0;0;222;81030;7168;950;33120;20;206;;;9206;35;12812;;0;;;55;13018;;;9206;;;;;;;;;;;;;;;;;;;
MCO;2021;070000013;CH DE PRIVAS ARDECHE;070002878;72;26280;2639;425;18365;15;5475;1198;45;3803;0;0;31;31;0;87;31755;3868;501;22168;8;330;;;1313;8;1612;;0;;;16;1942;;;1313;1;0;1;1;1;0;1;1;1;;;;;14055;3769;34977;;1388;5654
MCO;2021;070000021;CH DE JOYEUSE;070007927;15;5475;161;2;2165;;;0;0;0;;;0;0;0;15;5475;161;2;2165;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2021;070000039;CH DE VALLON PONT D'ARC;070780119;16;5840;137;0;1676;;;0;0;0;;;0;0;0;16;5840;137;0;1676;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;12;4380;213;1;2496;;;0;0;0;;;0;0;0;12;4380;213;1;2496;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;070000062;CH DE BOURG SAINT ANDEOL;070005558;8;2920;152;0;2684;0;0;0;0;0;0;0;0;0;0;8;2920;152;0;2684;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;070000070;CH DU CHEYLARD;070780150;20;7300;350;29;2909;;;0;0;0;;;0;0;0;20;7300;350;29;2909;2;0;0;0;36;;0;;0;;;2;0;0;0;36;0;0;0;0;1;0;0;0;1;;;;;258;;1577;0;;
MCO;2021;070000096;HOPITAL DE MOZE;070780184;8;2920;461;0;2493;;;0;0;0;;;0;0;0;8;2920;461;0;2493;6;136;;;24;;0;;0;;;6;136;;;24;1;0;0;1;1;0;0;0;0;;60;;;1070;815;322;0;1692;78
MCO;2021;070000112;CH LEOPOLD OLLIER;070007927;15;5475;180;0;2555;;;0;0;0;;;0;0;0;15;5475;180;0;2555;;0;;;2;;0;;0;;;;0;;;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;070000146;CH DE LARGENTIERE;070004742;8;2920;64;0;895;;;0;0;0;;;0;0;0;8;2920;64;0;895;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;070000179;CH ARDECHE NORD;070780358;146;53290;10995;3595;45545;30;10950;1192;84;7272;22;8030;1255;270;3711;198;72270;13442;3949;56528;10;1114;;;13402;16;2873;;0;;;26;3987;;;13402;1;1;1;1;1;1;1;1;1;;180;30;180;32156;2950;69863;;1871;22260
MCO;2021;070000187;CH DE LAMASTRE;070780366;12;4380;361;12;3489;0;0;0;0;0;0;0;0;0;0;12;4380;361;12;3489;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;19;0;0;0;0;0
MCO;2021;070000195;CH DE TOURNON SUR RHONE;070780374;38;13870;1080;9;9517;0;;0;0;0;0;;0;0;0;38;13870;1080;9;9517;0;0;;;0;;0;;0;;;0;0;;;0;1;0;1;0;1;1;0;0;0;;;;;1626;1040;576;;2098;
MCO;2021;070000203;CH DE SAINT FELICIEN;070780382;11;3555;53;1;892;0;0;0;0;0;0;0;0;0;0;11;3555;53;1;892;;0;;;5;;0;;0;;;;0;;;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;070000484;CH BOIS VERT;070005566;10;3650;402;1;3622;;;0;0;0;;;0;0;0;10;3650;402;1;3622;;0;;;1;;0;;0;;;;0;;;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;070000609;CH D'AUBENAS;070005566;146;53290;8260;1632;42739;38;13870;2118;115;8810;16;5840;1027;124;3352;200;73000;11405;1871;54901;10;344;;;3927;9;2438;1;283;;;20;3065;;;3927;1;1;0;1;1;1;1;1;1;;;;;;;;;;
