BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;6;2;7.66;;;;
PERINAT_P;2021;020001087;CH HIRSON;020004495;M2050;;1;0.3;;;;
PERINAT_P;2021;020001087;CH HIRSON;020004495;N2800;1;;1;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;M1030;0;0;0;1;0;0;0
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;M1140;0;5;2.31;0;1;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;M2050;0;9;3.65;1;0;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;MAUT;0;2;0.26;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;MIVG;0;1;0.05;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;N2200;3;2;2.85;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;N2340;2;1;3.43;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;N2530;11;3;10.65;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;N2800;16;13;25.79;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;N280H;15;12;10.92;;;;
PERINAT_P;2021;030000061;CH DE MOULINS;030780092;NAUT;25;11;31.63;;;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;M1140;3;2;3.15;0;1;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;M2050;6;1;4.87;0;1;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;N2340;5;1;5.89;;;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;N2530;11;1;11.14;;;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;N2700;1;;0.34;;;;
PERINAT_P;2021;030000079;CH DE MONTLUCON;030780100;N2800;17;7;22.06;;;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;5;3;7.4;1;0;0;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1140;5;2;5.9;0;1;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M2050;7;1;7.4;0;1;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;MIVG;4;1;0.21;;;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2530;13;1;12.59;;;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2700;1;0;1;;;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2800;19;10;25.16;;;;
PERINAT_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;7;2;7.95;;;;
PERINAT_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;;1;0.02;0;1;0;
PERINAT_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;MIVG;;2;0.04;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1140;2;2;0.97;;1;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M2050;4;1;1.17;;1;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MIVG;;1;0.2;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2340;4;3;3.86;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2530;7;8;9.83;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2700;1;0;0.54;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2800;10;10;17.67;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N280H;10;10;17.67;;;;
PERINAT_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;12;5;14.6;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M2050;1;6;3.82;0;1;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MAUT;;1;0.03;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MIVG;1;6;3.82;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2700;;1;0.3;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2800;;10;4.17;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N280H;;10;4.17;;;;
PERINAT_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;5;11;8.99;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M2050;;3;1.04;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2530;3;5;6.51;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2700;;1;0.4;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2800;1;13;9.62;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N280H;1;13;9.62;;;;
PERINAT_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;1;4;4.09;;;;
PERINAT_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2800;1;1;1.21;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1140;;4;1.8;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M2050;1;7;4.58;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MIVG;;1;0.3;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;;2;1.65;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2340;;11;5.89;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2530;10;17;21.7;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2800;12;13;19.42;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N280H;12;13;19.42;;;;
PERINAT_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;7;13;14.78;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1140;6;0;1.65;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M2050;11;6;6.4;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAUT;22;1;9.06;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2200;4;1;3.06;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2340;11;3;4.76;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2530;25;5;23.09;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2700;;1;0.9;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2800;22;15;29.16;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N280H;22;15;29.16;;;;
PERINAT_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;7;0;5.67;;;;
PERINAT_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;8;3;9.07;1;0;0;
PERINAT_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1140;2;8;3.73;0;1;;
PERINAT_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M2050;4;2;5.38;1;0;;
PERINAT_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2700;;;0.3;;;;
PERINAT_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2800;15;8;19.91;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;0;8;0.91;1;0;0;0
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;0;5;2;1;0;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M2050;4;8;7.6;1;0;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;MIVG;;1;0.1;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;1;1;1.4;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2340;2;2;3.74;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2530;30;5;32.91;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2700;;1;0.34;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2800;22;8;27.58;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N280H;13;1;13;;;;
PERINAT_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;8;4;9.81;;;;
PERINAT_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M2050;;4;1.06;0;0;;
PERINAT_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2700;;1;0.07;;;;
PERINAT_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2800;1;;1;;;;
PERINAT_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;1;;0.83;;;;
PERINAT_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;MIVG;;2;0.1;;;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;;11;0;0;1;;0
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1140;;4;0;0;1;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M2050;;5;0;0;1;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;MIVG;;6;0;;;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2530;10;3;14.01;;;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2700;;2;0.88;;;;
PERINAT_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2800;5;4;14.57;;;;
PERINAT_P;2021;060780590;CLINIQUE DU PALAIS;060000270;M2050;;;;0;1;;
PERINAT_P;2021;060780590;CLINIQUE DU PALAIS;060000270;MIVG;1;;0.25;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;M1030;;8;3.6;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;M1140;;12;5;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;M2050;;16;6;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N2340;2;;2;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N2700;;1;0.2;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N2800;18;2;18.6;;;;
PERINAT_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N280H;8;1;8.2;;;;
PERINAT_P;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1030;;6;;;;;
PERINAT_P;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1140;;13;;;;;
PERINAT_P;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;M2050;;23;;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1030;4;5;6.35;1;0;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1140;4;11;8.77;1;0;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M2050;5;10;7.68;1;0;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;0;5;1.23;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MIVG;0;1;0.2;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2200;22;7;25.47;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2340;30;12;38.05;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2530;45;9;47.48;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2700;3;1;3.2;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2800;60;15;68.06;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N280H;53;12;57.51;;;;
PERINAT_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;80;14;85.8;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;M1140;;1;0.1;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;M2050;;;0.2;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;MIVG;;1;0.1;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N2530;;;0.9;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N2700;;;0.1;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N2800;3;2;3.3;;;;
PERINAT_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;NAUT;;2;0.75;;;;
PERINAT_P;2021;070000096;HOPITAL DE MOZE;070780184;N2800;;4;1.7;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;M1140;2;0;0.79;0;0;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;M2050;4;0;2.5;0;1;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N2200;4;3;2.2;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N2340;1;3;2.78;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N2530;6;13;11.58;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N2700;1;0;0.27;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N2800;5;7;9.72;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;N280H;5;7;9.72;;;;
PERINAT_P;2021;070000179;CH ARDECHE NORD;070780358;NAUT;7;5;7.73;;;;
PERINAT_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;M2050;;2;0.35;0;0;;
PERINAT_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;N2530;5;3;7.77;;;;
PERINAT_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;N2700;;1;0.11;;;;
PERINAT_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;N2800;1;9;5.52;;;;
PERINAT_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;NAUT;;3;1.18;;;;
PERINAT_P;2021;070000609;CH D'AUBENAS;070005566;M2050;3;2;4.49;;;;
PERINAT_P;2021;070000609;CH D'AUBENAS;070005566;N2700;;1;0.2;;;;
PERINAT_P;2021;070000609;CH D'AUBENAS;070005566;N2800;12;7;16.45;;;;
PERINAT_P;2021;070000609;CH D'AUBENAS;070005566;N280H;12;7;16.45;;;;
PERINAT_P;2021;070000609;CH D'AUBENAS;070005566;NAUT;10;7;17.32;;;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;M1030;9;5;13;1;1;0;1
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;M1140;1;10;5;0;1;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;M2050;4;5;5;0;1;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2530;8;4;12.61;;;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2700;;1;0.5;;;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2800;9;11;13.06;;;;
PERINAT_P;2021;070780424;CLINIQUE PASTEUR;070000245;NAUT;2;;1.18;;;;
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1030;3;1;4.01;1;0;0;0
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1140;2;;2.75;0;1;;
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M2050;4;2;4.53;0;1;;
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2530;5;2;7.33;;;;
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2800;13;7;16.09;;;;
PERINAT_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;12;6;15.26;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1030;4;0;4.43;1;0;1;0
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;4;1;4.4;1;0;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M2050;7;0;6.77;1;0;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2200;7;10;11.6;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2340;5;6;10.26;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2530;20;4;21.91;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2800;24;6;27.96;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N280H;14;3;15.77;;;;
PERINAT_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;2;2;3.83;;;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M1030;;;;1;;0;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M1140;;7;3.69;;1;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M2050;6;3;7.24;1;;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2200;;9;2.06;;;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2340;;9;2.89;;;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2800;16;14;27.69;;;;
PERINAT_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;NAUT;18;3;21.22;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1030;;;0.11;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1140;;1;0.2;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M2050;2;;1.3;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2530;3;;3;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2800;7;1;7;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N280H;6;1;6.8;;;;
PERINAT_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NAUT;1;;0.1;;;;
PERINAT_P;2021;090001629;CHIVAL SITE LAVELANET;090781774;M1140;;1;0.2;0;0;;
PERINAT_P;2021;090001629;CHIVAL SITE LAVELANET;090781774;M2050;;1;0.1;0;0;;
