BOR;AN;FI;RS;FI_EJ;GRP;REG;DEP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARMT
IDB;2021;020003919;HJ EPSMD ÉTAMPES-SUR-MARNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000172;;1;AV;ERNEST COUVRECELLE;;;02400;ETAMPES SUR MARNE;02292;;
IDB;2021;020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;;02;32;02;13;1;355;;1;0;;1;1;;;;;DE VERDILLY;;BP 179;02405;CHATEAU THIERRY CEDEX;02168;0323696600;
IDB;2021;020004495;CENTRE HOSPITALIER D'HIRSON;;02;32;02;13;1;355;;1;0;;1;1;;CHARLES BRISSET;;;AUX LOUPS;BP 80;;02500;HIRSON;02381;0323588282;
IDB;2021;020004529;HJ EPSMD HIRSON;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000065;;145;R;DE GUISE;;;02500;HIRSON;02381;;
IDB;2021;020004727;USLD CH CHAUNY;020000287;34;32;02;13;1;362;PUB9;1;0;;0;0;26020864000037;;94;SQ;DES ANCIENS COMBATTANTS;;;02300;CHAUNY;02173;;
IDB;2021;020004990;CENTRE POUR ADOLESCENTS EPSMD AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000149;;3;CHE;DE LA JUSTICE;;;02300;CHAUNY;02173;;
IDB;2021;020005088;HJ EPSMD LAON;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000107;;33;R;DU 13 OCTOBRE 1918;;;02000;LAON;02408;;
IDB;2021;020006151;HJ EPSMD LA FÈRE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000073;HÔPITAL DE JOUR ENFANTS;3;AV;DU GÉNÉRAL LECLERC;;;02800;LA FERE;02304;;
IDB;2021;020007183;CENTRE BORROMEE EPSM AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000164;;9;AV;GAMBETTA;;;02000;LAON;02408;;
IDB;2021;020008793;HJ EPSMD TERGNIER;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000156;HERMANN SIMON;6;R;HENRI BRISSON;;;02700;TERGNIER;02738;;
IDB;2021;020008868;CMP EPSMD HIRSON ENFANT;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;128;R;CHARLES DE GAULLE;;;02500;HIRSON;02381;;
IDB;2021;020008876;CMP EPSMD SOISSONS ADULTE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;29;BD;JEANNE D'ARC;;;02200;SOISSONS;02722;;
IDB;2021;020008884;CMP EPSMD CHÂTEAU-THIERRY ENFANT;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;76;GR;GRANDE RUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2021;020008892;CMP EPSMD LAON ADULTE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000404;;22;R;SAINT MARTIN;;;02000;LAON;02408;;
IDB;2021;020008900;CMP EPSMD CHAUNY ENFANT;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;18;AV;VICTOR HUGO;;;02300;CHAUNY;02173;;
IDB;2021;020008918;CMP EPSMD SAINT-QUENTIN LYON;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;8;R;DE LYON;;;02100;ST QUENTIN;02691;;
IDB;2021;020008934;CMP EPSMD GUISE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;179;R;CHANTRAINE;;;02120;GUISE;02361;;
IDB;2021;020008942;CMP EPSMD BOHAIN-EN-VERMANDOIS;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;14;R;LÉON ERST;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2021;020008967;CMP EPSMD SOISSONS ENFANT;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;24;AV;DU GÉNÉRAL DE GAULLE;;;02200;SOISSONS;02722;;
IDB;2021;020008983;CMP EPSMD CHAUNY ADULTE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;CENTRE JACQUES LACAN;94;SQ;DES ANCIENS COMBATTANTS;;;02300;CHAUNY;02173;;
IDB;2021;020009007;USLD CH GUISE;020000022;34;32;02;13;1;362;PUB9;1;0;;0;0;26020865700049;;858;R;DES DOCTEURS DEVILLERS;;;02120;GUISE;02361;;
IDB;2021;020009494;CENTRE EPSMD02 CHAUNY;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000198;JACQUES LACAN;94;SQ;DES ANCIENS COMBATTANTS;CENTRE HOSPITALIER DE CHAUNY;;02303;CHAUNY CEDEX;02173;;
IDB;2021;020009874;USLD CH SAINT-QUENTIN;020000063;34;32;02;13;1;362;PUB9;1;0;;0;0;26020861600110;RÉSIDENCE SAINT-LAURENT;1;R;MICHEL DE L'HOSPITAL;;;02321;ST QUENTIN CEDEX;02691;;
IDB;2021;020012605;UNITE DE PROXIMITÉ CHARLES LASEGUE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000453;EPSMD AISNE;3;R;DEVISME;;;02000;LAON;02408;;
IDB;2021;020012845;HJ EPSMD CROUY;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000461;;18;AV;DU GÉNÉRAL PATTON;;;02880;CROUY;02243;;
IDB;2021;020013264;CMP EPSMD LAON ENFANT;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;10;PL;DU GÉNÉRAL LECLERC;;;02000;LAON;02408;;
IDB;2021;020014098;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;;;40;R;AUX LOUPS;;;02500;HIRSON;02381;;
IDB;2021;020014502;URCA EPSMD AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000339;LE CHALLENGE;;;FERME DU LIEU BUIN;;;02320;PREMONTRE;02619;;
IDB;2021;020014510;CMP EPSMD HIRSON ADULTE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000347;;108;AV;DES CHAMPS ÉLYSÉES;;;02500;HIRSON;02381;;
IDB;2021;020014536;CMP EPSMD CHÂTEAU-THIERRY ADULTE;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2021;020014544;CMP EPSMD TERGNIER;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000016;;12;R;DE LA LIBÉRATION;;;02700;TERGNIER;02738;;
IDB;2021;020014627;CATTP CH SAINT-QUENTIN VOLTAIRE;020000063;24;32;02;13;1;425;PUB7;1;0;;0;0;26020861600151;;86;R;VOLTAIRE;;;02100;ST QUENTIN;02691;;
IDB;2021;020014635;CATTP CH SAINT-QUENTIN GUISE;020000063;24;32;02;13;1;425;PUB7;1;0;;0;0;26020861600169;;38;R;DU JEU DE PAUME;VILLA DU JEU DE PAUME;;02120;GUISE;02361;;
IDB;2021;020014643;CMP CH SAINT-QUENTIN;020000063;24;32;02;13;1;156;PUB7;1;0;;0;0;26020861600177;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2021;020014676;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063;24;32;02;13;1;156;PUB7;1;0;;0;0;26020861600193;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2021;020015061;CATTP EPSMD CHÂTEAU-THIERRY;020000295;24;32;02;11;1;425;PUB7;1;0;;0;0;26020034000354;;36;AV;DE LA RÉPUBLIQUE;;;02400;CHATEAU THIERRY;02168;;
IDB;2021;020015079;CATTP CH SAINT-QUENTIN BISSON;020000063;24;32;02;13;1;425;PUB7;1;0;;0;0;26020861600177;;5;R;ARNAUD BISSON;;;02100;ST QUENTIN;02691;;
IDB;2021;020015194;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063;24;32;02;13;1;425;PUB7;1;0;;0;0;26020861600193;MAISON DE CURE ET SANTÉ MÉDICALE;;CHE;DES DAMES;;;02110;BOHAIN EN VERMANDOIS;02095;;
IDB;2021;020015319;CMP EPSMD SAINT-QUENTIN CORDIER;020000295;24;32;02;11;1;156;PUB7;1;0;;0;0;26020034000180;;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2021;030001234;USLD D'AINAY LE CHATEAU;030780282;34;84;03;12;1;362;PUB9;1;0;;0;0;26030493600024;;6B;R;DU PAVE;;;03360;AINAY LE CHATEAU;03003;;
IDB;2021;030002158;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;;02;84;03;11;1;355;;1;0;;1;1;;;;;;;LES COMBES;03240;TRONGET;03292;0470476060;
IDB;2021;030005821;SCP - CENTRE DE RADIOTHERAPIE -;;08;84;03;88;2;699;;0;0;;1;1;;JOSEPH BELOT;;;AMBROISE CROIZAT;;;03630;DESERTINES;03098;0470083500;
IDB;2021;030007835;MAISON COMMUNAUTAIRE;030780092;24;84;03;13;1;355;PUB2;1;0;;0;0;;;22;R;DELORME;;;03000;MOULINS;03;;
IDB;2021;030007843;HOPITAL DE JOUR DENIS PAPIN;030780092;24;84;03;13;1;355;PUB2;1;0;;0;0;;;15;R;DENIS PAPIN;;;03000;MOULINS;03190;;
IDB;2021;030007850;CENTRE DE POST-CURE;030780092;24;84;03;13;1;430;PUB7;1;0;;0;0;26030383900252;;41;AV;D'ORVILLIERS;;;03000;MOULINS;03190;0470209573;
IDB;2021;030007868;HOPITAL DE JOUR CLAUDE BERNARD;030780092;24;84;03;13;1;355;PUB2;1;0;;0;0;;;7;R;CLAUDE BERNARD;;;03400;YZEURE;03321;;
IDB;2021;030007876;HOPITAL DE JOUR ADOLESCENTS VILLA;030780092;24;84;03;13;1;355;PUB2;1;0;;0;0;;;18;R;AMPERE;;;03400;YZEURE;03321;;
IDB;2021;030008114;CMP ADULTES MOULINS;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900112;;48;R;DES TANNERIES;;;03000;MOULINS;03190;;
IDB;2021;030008122;CMP ADULTES DOMPIERRE SUR BESBRE;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900120;;107;R;JEAN DE LINGENDES;;;03290;DOMPIERRE SUR BESBRE;03102;;
IDB;2021;030008130;CMP ADULTES LE DONJON;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900138;;7;PARC;LE PLESSIS;;;03130;LE DONJON;03103;;
IDB;2021;030008148;CMP ADULTES BOURBON L'ARCHAMBAULT;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900146;;1;BD;MOUILLIERES;;;03160;BOURBON L ARCHAMBAULT;03036;;
IDB;2021;030008155;CMP ADULTES SAINT POURCAIN SUR SIOULE;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900153;;32;R;CHAMP FEUILLET;;;03500;ST POURCAIN SUR SIOULE;03254;;
IDB;2021;030008163;CMP ENFANTS YZEURE;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900161;;61;R;DE LA REPUBLIQUE;;;03400;YZEURE;03321;;
IDB;2021;030008171;CMP ENFANTS DOMPIERRE SUR BESBRE;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900179;;4;RTE;DE VICHY;;;03290;DOMPIERRE SUR BESBRE;03102;;
IDB;2021;030008189;CMP ENFANTS POURCAIN SUR SIOULE;030780092;24;84;03;13;1;156;PUB7;1;0;;0;0;26030383900187;;29;R;PIERRE ET MARIE CURIE;;;03290;ST POURCAIN SUR BESBRE;03253;;
IDB;2021;030008197;CATTP ADULTES MOULINS;030780092;24;84;03;13;1;425;PUB7;1;0;;0;0;26030383900237;;;R;DENIS PAPIN;;;03000;MOULINS;03190;;
IDB;2021;030008205;CATTP ENFANTS YZEURE;030780092;24;84;03;13;1;425;PUB7;1;0;;0;0;26030383900245;;;RTE;DE GENNETINES;;;03400;YZEURE;03321;;
IDB;2021;030008213;CMP ADULTES MONTLUCON OUEST;030780100;24;84;03;13;1;156;PUB7;1;0;;0;0;;;10;R;LAKANAL;;;03100;MONTLUCON;03185;;
