BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2021;020000535;CH CHAUNY;020000287;1;0;1;1936;0;1906;178;0;1;;;;1721;0;0;1699;155;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;1721;0;0;0;0;0;0;0;0;0;0;1;;;2;1;0.6;1;;;1;1;2;2;;;;1.32;0.28;;0.1;1
CANCERO;2021;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;1;836;0;756;544;0;0;020000261;;;653;0;6;646;91;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;0;576;0;0;0;0;0;0;0;0;0;0;;;;1;;0.1;;;;;;4;1;;;1;1;0.4;;;0.1
CANCERO;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;0;1;2845;0;2540;2158;0;1;;;;2522;0;5;2491;291;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;0;3447;0;0;0;12;0;0;0;0;0;0;2;;;3;2;1;3;;;;;1;;1;;;3.25;;0.25;;
CANCERO;2021;030000061;CH DE MOULINS;030780092;1;1;1;15602;0;15073;7362;0;1;;;;5406;0;102;5572;520;0;0;0;2;1;0;430;9479;91;0;0;439;0;0;0;3;7;0;2;1;0;2;0;3;0.44;2.96;8.6;0;2.21;;8;;;0;5373;0;0;0;0;0;0;0;0;0;0;1;;2;;1.84;;5;2;;;5;7;1;1;;2;7.94;2.5;0.17;;5.13
CANCERO;2021;030000079;CH DE MONTLUCON;030780100;1;0;1;3027;3;2705;3780;133;1;;;;2711;3;10;2631;267;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;390;2995;0;0;0;0;0;0;4397;0;0;0;1;1;;;1;1;12;9;1;;10;;2;;;;9.16;6.11;0.16;;7.42
CANCERO;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;1;5820;16;5514;2913;208;1;;;;5500;16;66;5334;522;9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;0;7485;0;0;0;5;0;0;0;0;0;0;2;;0;;2;;8;6;1;0;5;3;2;0;0;0;11.23;7.82;1;0;5
CANCERO;2021;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;0;1;0;15766;;15102;;;;;;;;;;;;;;;2;;0;664;15102;1348;;;628;;;2;2;3;1;3;;;3;;;2;2;5.2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;0;1;0;8890;;8890;0;;;;;;;;;;;;;;2;;;0;8890;;0;;474;;0;;2;7;;4;7;1;2;;;2;2.5;8.6;;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;0;1;2060;0;1740;1872;0;1;;;;1667;0;1;1647;132;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1610;0;0;0;0;0;0;0;0;0;0;;;1;1;0.8;0.25;2;;;;;;;1;1;;2;;1.3;0.13;
CANCERO;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0;1;7255;1;6663;6915;3;1;;;;6473;1;45;6300;583;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;22;;;;6341;0;0;0;0;0;0;0;0;0;0;2;1;2;;2;1;4;;1;1;1;;;;;;4;;0.6;0.5;1
CANCERO;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;1;0;1;1350;0;628;3162;0;1;;;;1132;0;589;502;135;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;0;1015;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.2;0.5;1;;;;;3;;;;;2.4;;;;
CANCERO;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;1;4002;0;3773;2625;0;0;040788879;;;3810;0;0;3746;424;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;5224;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0.96;0;7;0;0;0;4;3;0;0;0;1;5.75;0;0;0;2.36
CANCERO;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;1;1519;0;1428;888;0;1;;;;1486;0;17;1404;157;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;;;13;2504;0;0;0;2;0;0;13;0;0;0;;1;2;4;0.25;2.84;14;10;;;5;1;1;1;;3;14.91;10.67;0.5;;5.3
CANCERO;2021;040780470;CLINIQUE TOUTES AURES;040000192;0;0;0;347;0;247;334;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;0;0;860;0;624;635;0;0;130001647;;;224;0;0;224;30;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;0;0;333;0;279;222;0;0;050000348;;;256;0;0;254;49;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;1;7050;4;6462;3953;110;1;;;;6541;4;62;6396;775;3;0;0;;;;0;0;0;0;0;0;0;0;;1;;;1;;1;8;;6;;1.8;6.29;;3.34;;20;;;;7735;0;0;;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;0;1;0;11001;0;10542;0;0;;;;;;;;;;;;;1;0;;459;10542;0;0;0;478;0;0;3;3;7;1;5;;;;;;2.11;1.9;6.33;0.2;4.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;0;1;3989;0;3620;2464;0;1;;;;3574;0;18;3506;371;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;0;3753;0;0;0;5;0;0;0;0;0;0;1;;1;;1.67;;2;;;;1;;;;;;1.09;;;;0.73
CANCERO;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;0;0;2810;0;2496;3166;0;1;;;;2600;0;100;2410;313;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;1;1;52017;0;46161;24038;0;1;;;;21496;0;1634;19224;2370;0;0;0;4;1;3;1858;21678;1093;275;238;2087;17;283;7;4;13;5;10;3;2;6;0;2;4.68;5.31;18.74;3.76;9.63;82;49;29;14;5507;21293;2186;1392;3;0;0;1;23096;3264;5;0;13;26;1;6;5.94;11.61;109;92;0;1;20;13;3;2;2;8;101.86;77.46;0.59;2.93;21.02
CANCERO;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;1;0;1;3987;1;3597;2928;7;1;;;;3262;1;143;3061;343;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;3263;0;0;0;1;0;0;0;0;0;0;1;1;;2;1;1.17;1;;;;1;3;1;;;3;2.34;0.51;;;1.88
CANCERO;2021;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;060019551;0;1;0;67050;;63790;;;;;;;;;;;;;;;5;0;0;3260;63790;744;0;;3029;;0;8;4;24;5;9;0;1;1;;1;8;4.1;24.4;5;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN;060003621;0;1;0;21579;;20114;0;;;;;;;;;;;;;;3;0;0;1465;20114;;0;;1117;;0;6;5;16;1;16;1;0;0;0;5;6.75;5;16;1;19.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;0;0;441;0;332;620;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;0;1;0;8435;;8435;0;;;;;;;;;;;;;;3;;0;1068;7394;0;0;0;764;58;0;4;6;8;2;6;0;1;4;1;2;2.34;6.51;10.21;2.89;7.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;0;0;0;353;0;304;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;0;0;0;1014;0;286;4071;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;0;1;11187;0;10554;4119;0;1;;;;9908;0;113;9763;990;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;0;9727;0;0;0;0;0;0;0;0;0;0;;;5;1;0;0.21;5;0;;;;1;;2;0;;5.44;0.83;0.88;0;
CANCERO;2021;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;275;0;129;669;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060780715;CLINIQUE SAINT GEORGE;060000361;1;0;1;9469;0;8314;6602;0;1;;;;3757;0;89;7463;618;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;29;49;;;2518;1907;0;0;0;0;0;0;8190;0;0;0;3;;;;3;;3;;1;;5;2;;;1;;3.3;;1;0.3;5
CANCERO;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;0;1;4571;0;4257;2308;0;1;;;;3987;0;10;3929;367;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;3929;0;0;0;0;0;0;0;0;0;0;1;;2;;2;;4;;;;1;;;1;1;1;4.5;;0.75;0.6;1.6
CANCERO;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;0;0;0;707;0;450;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;0;0;43;0;3;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;0;0;0;112;0;69;135;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;0;0;2512;0;1102;8356;0;0;060789195;;;977;0;25;982;173;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;1;11111;0;9562;17090;0;1;;;;10049;0;466;8984;987;0;88;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;14;;;458;4;0;0;0;0;0;0;5864;0;0;0;;0;;2;;0.48;;;;;;;;;;;;;;;
CANCERO;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;0;1;10507;0;9604;5783;0;1;;;;8838;0;0;8831;1027;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;;;0;8752;0;0;0;0;0;0;0;0;0;0;;1;2;;0.1;1;14;6;;;7;4;2;2;2;19;17.06;7.6;1;0.8;25.69
CANCERO;2021;070000013;CH DE PRIVAS ARDECHE;070002878;1;0;1;1074;0;790;1422;0;0;260000138;;;897;0;127;770;160;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;;;127;1116;0;0;0;0;0;0;616;0;0;0;;3;;;;2.6;;;1;;;;;1;;1;;;1.2;;0.4
CANCERO;2021;070000179;CH ARDECHE NORD;070780358;1;0;0;972;0;837;1444;0;0;690783220;;;806;0;23;761;60;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;070000609;CH D'AUBENAS;070005566;1;0;1;3269;25;2976;2012;204;1;;;;2977;25;105;2812;312;7;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;10;;;756;3675;0;0;0;6;0;0;6935;0;0;0;1;1;1;1;1.21;1.08;21;14;1;;5;4;3;1;;2;18.29;15.79;0.6;;4.32
CANCERO;2021;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;0;0;137;0;103;134;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;070780424;CLINIQUE PASTEUR;070000245;0;0;0;1247;0;451;4062;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;5806;0;5071;4909;0;1;;;;5168;0;258;4856;568;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;10;14;;;203;4763;0;0;0;0;0;0;309;0;0;0;2;;;;0.65;;3;;;;1;3;1;;;1;4.58;0.25;;;1.11
CANCERO;2021;080009392;CENTRE DE RADIOTHERAPIE;510007081;0;1;0;10276;;9635;;;;;;;;;;;;;;;1;;0;641;9635;520;;;457;;;2;2;4;1;3;;;;;;2;2;4;1;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;1;0;0;3392;234;3047;2986;1119;1;;;;3230;234;114;3018;424;33;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;0;0;328;0;308;219;0;0;090000175;;;258;0;0;257;34;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;16315;0;15297;10625;0;1;;;;8650;0;332;7922;889;0;7;0;2;1;0;343;6671;60;0;0;355;0;0;2;2;4;0;4;0;1;4;0;4;2.22;2.21;8.44;0;5.38;12;27;;;389;9657;0;0;0;0;0;0;4444;0;0;0;0;0;0;9;0;5.86;7;2;0;0;4;27;16;0;1;22;22.47;9.15;0;0.26;8.29
CANCERO;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;0;0;286;0;54;976;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;1;0;1;2019;0;1667;2235;0;1;;;;1571;0;20;1529;211;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;159;1466;0;0;0;0;0;0;1149;0;0;0;;2;;;;2;4;0;1;1;;;;;;;4;0;1;1;
CANCERO;2021;110000023;CH CARCASSONNE;110780061;1;1;1;20306;0;19912;3324;0;1;;;;5474;0;37;5295;626;0;2;0;2;0;0;930;13398;97;0;38;657;0;38;;;7;1;2;3;4;4;;1;2.06;2.53;9.68;1;2.5;10;16;0;0;370;6009;0;0;0;0;0;0;2172;0;0;0;;;3;;2.26;;8;7;;;1;3;5;1;1;9;11.25;10.49;0.5;0.2;4.52
CANCERO;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;1;0;0;383;0;269;1046;0;1;;;;255;0;1;252;45;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;1;0;0;0;7;0;0;617;0;310782347;;;0;7;0;0;0;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;0;1;8411;0;7632;6078;0;1;;;;7004;0;170;7448;715;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;6523;0;0;0;0;0;0;0;0;0;0;1;;;2;1;0.6;5;4;;;;2;3;;;;6;6.3;0.1;0.1;
CANCERO;2021;110780483;POLYCL MONTREAL;110000155;1;0;1;2475;0;2059;1974;0;1;;;;1764;0;1;1564;222;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1759;0;0;0;0;0;0;0;0;0;0;3;;;;3;;;;;;;2;;;;;1.47;;;;
CANCERO;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;1;21985;0;21401;3293;0;1;;;;7370;0;198;7120;778;0;1;0;2;0;;617;13630;95;0;0;654;0;0;3;3;8;;2;;1;7;;3;2.8;3.33;10.28;;2.14;12;21;;;811;7491;0;0;0;0;0;0;4082;0;0;0;4;;1;;4.83;;8;1;;;3;25;15;1;2;4;20.4;7.95;0.52;0.31;3.22
CANCERO;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;0;1;1937;0;1718;2054;0;1;;;;1680;0;19;1621;184;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1621;0;0;0;0;0;0;0;0;0;0;;;;;;;;2;1;;;1;;;;;0.1;1.5;0.5;;
CANCERO;2021;120004569;CH MILLAU;120004528;1;0;0;864;0;748;766;0;0;340780493;;;692;0;3;680;100;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;0;0;8878;0;8066;6395;0;1;;;;8133;0;85;8085;930;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;0;0;524;10;413;473;60;0;130786049;;;405;10;18;379;52;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;0;0;1976;0;1871;976;0;1;;;;1878;0;2;1834;204;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;1;1;1;85251;16;76005;58372;384;1;;;;42163;16;4326;36057;4963;14;0;0;4;0;2;2258;34478;511;263;316;2030;0;352;6;5;18;3;9;3;2;4;1;1;6.55;7.44;23.42;3.17;8.67;201;51;78;20;9856;42066;5476;8421;0;0;0;2;44530;18120;0;0;82;;34;;98.03;;290;108;4;6;67;27;4;1;1;4;295.13;105.57;5.68;6.63;68.16
CANCERO;2021;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;0;0;2221;0;2082;1304;0;1;;;;2068;0;23;2008;213;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;0;0;3736;0;3247;2741;0;1;;;;3308;0;187;3068;321;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130008253;CLINIQUE DE VITROLLES;130001084;0;0;0;154;0;139;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130009079;CTRE RADIOTHERAPIE BEAUREGARD SITE HP;130008980;0;1;0;22019;;21142;0;;;;;;;;;;;;;;2;1;;877;21142;0;0;0;829;0;0;;2;6;2;3;8;2;2;;1;1.78;3.6;7.6;2;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD;130034572;0;1;0;36304;;34817;;;;;;;;;;;;;;;3;0;;1487;34817;;;;1330;;;4;4;15;3;4;;;1;;3;4;4;15.8;3;5.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
