BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2021;020000394;CH LAON;020000253;N2620;5;0;5.08;;
URGENCES_P;2021;020000394;CH LAON;020000253;N3120;0;1;0.08;;
URGENCES_P;2021;020000394;CH LAON;020000253;N9999;44;12;45.79;;
URGENCES_P;2021;020000394;CH LAON;020000253;NINF;24;7;25.31;;
URGENCES_P;2021;020000519;CH SOISSONS;020000261;M3020;;1;0.5;;
URGENCES_P;2021;020000519;CH SOISSONS;020000261;M9999;14;6;13.72;2;1
URGENCES_P;2021;020000519;CH SOISSONS;020000261;N1220;1;;1;;
URGENCES_P;2021;020000519;CH SOISSONS;020000261;N2120;;;0.68;;0
URGENCES_P;2021;020000519;CH SOISSONS;020000261;N2500;11;4;16.59;;
URGENCES_P;2021;020000519;CH SOISSONS;020000261;N9999;33;18;48.24;;
URGENCES_P;2021;020000519;CH SOISSONS;020000261;NINF;19;11;24.59;;0
URGENCES_P;2021;020000535;CH CHAUNY;020000287;M9999;2;2;3.61;;0
URGENCES_P;2021;020000535;CH CHAUNY;020000287;N1220;1;;1;2;1
URGENCES_P;2021;020000535;CH CHAUNY;020000287;N2120;1;;1;2;1
URGENCES_P;2021;020000535;CH CHAUNY;020000287;N2500;10;3;10.97;;
URGENCES_P;2021;020000535;CH CHAUNY;020000287;N3120;;;0.2;;
URGENCES_P;2021;020000535;CH CHAUNY;020000287;N9999;29;7;32.25;;
URGENCES_P;2021;020000535;CH CHAUNY;020000287;NINF;13;2;14.3;1;1
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;7;;7;2;1
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N1220;1;;1;3;1
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;1;;0.6;2;1
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2500;13;;13.91;;
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2620;6;;6;;
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N3120;1;;0.5;;
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;37;3;40.59;;
URGENCES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;NINF;15;2;18.58;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;M9999;3;2;4.41;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;N1220;3;;2.5;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;N2120;;1;0.5;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;N2500;3;;3;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;N9999;23;1;20.5;;
URGENCES_P;2021;020001087;CH HIRSON;020004495;NINF;16;;13.5;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M9999;;5;5;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N1220;2;1;2.22;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2120;;1;0.5;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2500;5;1;5.8;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N9999;18;3;19.52;;
URGENCES_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NINF;11;;11;;
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;M9999;7;12;9.58;1;1
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;N1220;2;0;2;;0
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;N2120;2;0;0.99;2;1
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;N2500;12;1;15.16;;
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;N9999;46;13;55.05;;
URGENCES_P;2021;030000061;CH DE MOULINS;030780092;NINF;25;12;32.89;3;1
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;M9999;6;1;3.85;3;1
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N1220;3;;2;3;1
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N2120;2;;1.33;3;1
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N2500;17;2;18.2;;
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N2620;;;;3;1
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N3120;;1;0.75;;
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;N9999;53;4;48.87;;
URGENCES_P;2021;030000079;CH DE MONTLUCON;030780100;NINF;31;1;23;3;1
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;9;14;18.1;3;1
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N1220;5;0;4.99;;
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;0;1.51;;
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;20;0;20.29;;
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0;1;0.6;;
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;81;13;95.55;;
URGENCES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NINF;21;3;26.42;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M9999;4;1;4.7;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N1220;1;;1;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2120;;1;0.2;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2500;2;;2;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N9999;8;1;8.2;;
URGENCES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NINF;5;;5;;
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1140;0;0;0;3;0
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;6;7;10.28;;1
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N1220;2;1;1.9;;1
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2120;1;0;0.99;;1
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2500;13;4;11;;
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2620;20;2;15.44;;0
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;74;12;64.61;;
URGENCES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NINF;29;5;28.69;;1
URGENCES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;3;15;7.23;;
URGENCES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2120;;1;0.71;;
URGENCES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2500;5;5;6.77;;
URGENCES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;9;20;19.67;;
URGENCES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NINF;4;12;11.39;;
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;1;13;6.32;2;1
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N1220;;2;1.56;2;1
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2120;;1;0.5;2;1
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2500;9;1;9.14;;
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2620;3;1;3.62;2;1
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;20;24;37.4;;
URGENCES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NINF;5;16;17.81;2;1
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M9999;1;20;14.5;;
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N1220;;3;2.32;;
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2120;;1;0.53;;
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2500;7;;7.03;;
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N9999;11;22;22.44;;
URGENCES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NINF;1;16;8.74;;
URGENCES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2120;;1;0.79;;
URGENCES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2500;2;4;3.33;;
URGENCES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N9999;6;15;12.7;;
URGENCES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NINF;4;10;8.58;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;18;27;24.61;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N1220;;1;0.1;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;1;0;1.07;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;6;16;18.02;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;23;39;42.96;;
URGENCES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NINF;10;23;23.69;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;18;3;8.08;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N1220;1;0;1.67;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2120;5;;3.3;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2500;11;1;13.03;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0;1;0.45;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;51;11;55.86;;
URGENCES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NINF;29;8;32.96;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;12;9;17;1;1
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N1220;2;1;2.99;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2120;1;;0.5;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2500;26;1;25.28;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N3120;;;0.71;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;68;6;69.22;;
URGENCES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NINF;27;4;28.88;;
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;0;5;1.3;;0
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M3020;;1;0.6;;
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;14;12;17.4;3;1
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N1220;11;;10.3;3;1
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;1;0.8;3;1
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2500;24;10;28.02;;
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2620;9;;8.89;3;1
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;;;0.07;;
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;79;38;90.94;;
URGENCES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;NINF;28;25;37.07;3;1
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;7;9;10.44;;0
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N1220;;2;1.5;;0
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2120;1;;1;2;1
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2500;6;3;8.55;;
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2620;5;1;5.83;;0
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;25;7;29.2;;
URGENCES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;NINF;13;1;12.19;;0
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;M9999;1;6;4.91;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N1220;4;;3.35;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N2120;0;1;0.3;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N2500;5;;4.99;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N3120;;1;0.1;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N9999;16;2;16.98;;
URGENCES_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;NINF;7;;8.24;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M9999;;11;0;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N1220;6;;4.68;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2120;1;;1.11;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2500;;1;0.77;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2620;6;;5.96;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;N9999;22;1;22.89;;
URGENCES_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;NINF;9;;10.37;;
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;M9999;;12;8;;0
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N1220;5;;5;;0
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N2500;5;1;4.7;;
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N2620;2;;2;;0
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N9999;19;2;19.2;;
URGENCES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;NINF;7;1;7.5;;0
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;M9999;4;;4;;0
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N1220;4;2;4.7;;
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2120;0;1;0.3;;0
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2500;1;;1.2;;
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2620;1;;1.1;;
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N9999;12;5;15.1;;
URGENCES_P;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;NINF;6;2;7.8;;
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M1140;6;8;9.88;;0
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M3020;0;1;0.1;;
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M9999;7;13;13.8;;0
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N1220;1;5;3.85;;0
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2120;2;2;2.9;;0
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2500;11;14;21.73;;
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2620;;1;0.49;;0
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N9999;31;44;63.15;;
URGENCES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;NINF;16;20;31.94;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M3020;5;1;4.94;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M9999;8;48;27.96;3;1
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N1220;10;;8.68;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;4;;3.25;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;62;5;63.09;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N9999;214;20;210.91;;
URGENCES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NINF;85;14;83.84;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;M9999;3;2;3;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N1220;2;;2;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N2500;5;1;5.75;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N2620;4;;1.75;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N9999;22;1;20;;
URGENCES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;NINF;11;;10.5;;
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;M9999;11;3;8.9;3;1
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;N1220;0;2;1.6;3;1
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;N2120;1;0;0.9;3;1
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;N2500;15;7;23.09;;
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;N9999;34;27;58.33;;
URGENCES_P;2021;070000179;CH ARDECHE NORD;070780358;NINF;10;16;23.42;3;1
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;M9999;6;6;9.17;;1
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;N1220;9;;8.76;;1
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;N2120;1;;1;;1
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;N2500;18;;17.95;;
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;N9999;54;6;57.81;;
URGENCES_P;2021;070000609;CH D'AUBENAS;070005566;NINF;20;4;23.96;;1
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;M9999;5;;5;;
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2120;1;;1;;
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2500;6;1;5.27;;
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;N2620;2;;1.77;;
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;N9999;14;2;13.65;;
URGENCES_P;2021;070780424;CLINIQUE PASTEUR;070000245;NINF;5;1;5.61;;
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M9999;7;3;4.55;2;1
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N1220;3;;2.58;;0
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2120;1;;0.5;3;1
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2500;12;3;12.38;;
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2620;0;;0;3;1
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N9999;30;3;28.89;;
URGENCES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NINF;14;;13.43;3;1
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M9999;4;6;4.97;;
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2120;;;0.26;;
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2500;2;8;6.43;;
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N3120;;1;0.5;;
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N9999;4;30;16.49;;
URGENCES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NINF;2;18;8.7;;
URGENCES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M9999;;2;1.34;;
URGENCES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N1220;;1;0.4;;
URGENCES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2120;;;0.26;;
URGENCES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N9999;6;9;9.57;;
URGENCES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NINF;6;6;8.82;;
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;4;;0.6;;0
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M9999;28;0;17.43;3;1
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N1220;2;1;2.86;;0
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2120;1;;1;;0
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2500;18;13;22.11;;
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N3120;1;;1;;
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N9999;68;44;90.11;;
URGENCES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NINF;31;30;50.61;;0
URGENCES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M9999;;30;19.09;;1
URGENCES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2120;;1;0.82;;1
