BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2021;020000394;CH LAON;020000253;112AX;;;;1;1;91;;;;;
DIALYSE;2021;020000394;CH LAON;020000253;112BA;;;;12;48;6322;;;;;
DIALYSE;2021;020000394;CH LAON;020000253;1130X;;;;12;;0;;;;;
DIALYSE;2021;020000394;CH LAON;020000253;1150A;;;;1;1;;;;;;
DIALYSE;2021;020000394;CH LAON;020000253;TOT;0;;;;;;323;4;;24;
DIALYSE;2021;020000519;CH SOISSONS;020000261;112AX;;;;8;;0;;;;;
DIALYSE;2021;020000519;CH SOISSONS;020000261;112BA;;;;15;71;9711;;;;;
DIALYSE;2021;020000519;CH SOISSONS;020000261;TOT;0;;;;;;293;1;;;
DIALYSE;2021;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1130X;;;;12;45;7133;;;;;
DIALYSE;2021;020001913;UNITE DE DIALYSE DE LAON;590799995;1130X;;;;12;46;7191;;;;;
DIALYSE;2021;020006441;UNITE DIALYSE DE COURMELLES;590799995;1130X;;;;8;16;2076;;;;;
DIALYSE;2021;020006441;UNITE DIALYSE DE COURMELLES;590799995;1140X;;;;6;3;521;;;;;
DIALYSE;2021;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;112AX;;;;1;;74;;;;;
DIALYSE;2021;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1130X;;;;24;103;16207;;;;;
DIALYSE;2021;020016242;UNITE DE DIALYSE DE GUISE;590799995;1130X;;;;8;30;4844;;;;;
DIALYSE;2021;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1130X;;;;6;19;2520;;;;;
DIALYSE;2021;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1140X;;;;2;2;313;;;;;
DIALYSE;2021;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1150E;;;;6;6;1535;;;;;
DIALYSE;2021;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1210;;;;;5;;;;302;;
DIALYSE;2021;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121AX;;;;;3;;;;225;;
DIALYSE;2021;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121CX;;;;2;2;;;;77;;
DIALYSE;2021;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;TOT;0;;;;;;;;;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1140X;;;;1;1;325;;;;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1210;;;;;3;;;;170;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;121AX;;;;;1;;;;70;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;121CX;;;;2;2;;;;100;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;122AX;;;;1;1;;;;50;;
DIALYSE;2021;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;TOT;0;;;;;;;;;;
DIALYSE;2021;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;1210;;;;;3;;;;173;;
DIALYSE;2021;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121AX;;;;;3;;;;143;;
DIALYSE;2021;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121CX;;;;0;0;;;;30;;
DIALYSE;2021;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;TOT;0;;;;;;;;;;
DIALYSE;2021;030000061;CH DE MOULINS;030780092;112BA;;;;12;50;7147;;;;;
DIALYSE;2021;030000061;CH DE MOULINS;030780092;TOT;0;;;;;;572;1;;28;0
DIALYSE;2021;030000079;CH DE MONTLUCON;030780100;112BA;;;;16;65;8138;;;;;
DIALYSE;2021;030000079;CH DE MONTLUCON;030780100;122BX;;;;2;;;;;32;;
DIALYSE;2021;030000079;CH DE MONTLUCON;030780100;TOT;0;;;;;;692;;;40;4
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;112AX;;;;3;4;192;;;;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;112BA;;;;8;42;7411;;;;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1130X;;;;4;28;5079;;;;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1140X;;;;6;11;1901;;;;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1150A;;;;7;6;2184;;;;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1210;;;;;5;;;;2459;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;121AX;;;;;5;;;;2048;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;121CX;;;;2;0;;;;411;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;122AX;;;;10;15;;;;196;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;122BX;;;;4;2;;;;135;;
DIALYSE;2021;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;0;;;;;;1721;0;;14;9
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;112AX;;;;1;1;220;;;;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1130X;;;;8;23;3045;;;;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1140X;;;;4;14;2689;;;;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1150A;;;;1;0;432;;;;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1210;;;;;16;;;;889;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121AX;;;;;13;;;;769;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121CX;;;;3;3;;;;120;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;122AX;;;;0;2;;;;73;;
DIALYSE;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;TOT;1;1;38;;;;;;;28;7
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;112AX;;;;1;2;211;;;;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1130X;;;;7;32;4539;;;;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1210;;;;;2;;;;56;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;121AX;;;;;1;;;;26;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;121CX;;;;1;1;;;;30;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;122AX;;;;;2;;;;35;;
DIALYSE;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;TOT;1;1;32;;;;;;;23;6
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;112AX;;;;1;1;86;;;;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;1130X;;;;3;30;5011;;;;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;1140X;;;;6;10;1895;;;;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;1150A;;;;5;7;1909;;;;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;1210;;;;;37;;;;2407;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;121AX;;;;;37;;;;1993;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;121CX;;;;8;;;;;414;;
DIALYSE;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;TOT;1;1;42;;;;;;;28;12
DIALYSE;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;TOT;0;;;;;;178;;;;
DIALYSE;2021;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;1130X;;;;7;12;1865;;;;;
DIALYSE;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;112BA;;;;24;93;14056;;;;;
DIALYSE;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1130X;;;;8;32;4596;;;;;
DIALYSE;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1150A;;;;1;1;249;;;;;
DIALYSE;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;TOT;0;;;;;;0;1;;37;0
DIALYSE;2021;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1130X;;;;8;6;649;;;;;
DIALYSE;2021;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1140X;;;;8;4;765;;;;;
DIALYSE;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;112BA;;;;12;;3945;;;;;
DIALYSE;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;0;;;;;;209;;;;
DIALYSE;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112AX;;;;1;;6;;;;;
DIALYSE;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112BA;;;;12;;7029;;;;;
DIALYSE;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;122AX;;;;;;;;;1;;
DIALYSE;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TOT;0;;;;;;343;1;;14;1
DIALYSE;2021;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;1130X;;;;0;0;111;;;;;
DIALYSE;2021;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;1140X;;;;0;0;127;;;;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1130X;;;;6;23;3564;;;;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1140X;;;;2;5;842;;;;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1210;;;;;2;;;;290;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121AX;;;;;2;;;;169;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121CX;;;;1;0;;;;121;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;122BX;;;;1;0;;;;4;;
DIALYSE;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;TOT;0;;;;;;;;;;
DIALYSE;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;0;;;;;;4;;;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;112BA;;;;15;42;6389;;;;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;1210;;;;;;;;;582;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;121AX;;;;;;;;;234;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;121CX;;;;1;;;;;348;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;122BX;;;;1;0;;;;183;;
DIALYSE;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;0;;;;;;800;;;39;11
DIALYSE;2021;060010949;AGAHTIR UDM ANTIBES;060790540;1130X;;;;12;71;10072;;;;;
DIALYSE;2021;060010949;AGAHTIR UDM ANTIBES;060790540;TOT;0;;;;;;0;;;56;0
DIALYSE;2021;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1130X;;;;8;8;1201;;;;;
DIALYSE;2021;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1140X;;;;10;25;4286;;;;;
DIALYSE;2021;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;112BA;;;;15;59;9370;;;;;
DIALYSE;2021;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;1130X;;;;16;80;11926;;;;;
DIALYSE;2021;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;TOT;0;;;;;;0;2;;;
DIALYSE;2021;060025285;UAD VIVALTO;750060402;1140X;;;;8;1;224;;;;;
DIALYSE;2021;060025285;UAD VIVALTO;750060402;TOT;0;;;;;;;;;1;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BA;;;;22;110;15240;;;;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BE;;;;1;;153;;;;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1130X;;;;2;;18;;;;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;121CX;;;;1;;;;;0;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122AX;;;;1;3;;;;7;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122BX;;;;1;3;;;;83;;
DIALYSE;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;0;;;;;;737;4;;;8
DIALYSE;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BE;;;;2;19;741;;;;;
DIALYSE;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOT;0;;;;;;135;0;;4;2
DIALYSE;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112BA;;;;28;161;24672;;;;;
DIALYSE;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1130X;;;;16;72;11013;;;;;
DIALYSE;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;TOT;0;;;;;;0;1;;49;
DIALYSE;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1150A;;;;4;4;1144;;;;;
DIALYSE;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1210;;;;;26;;;;1369;;
DIALYSE;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121AX;;;;;19;;;;964;;
DIALYSE;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121CX;;;;8;7;;;;405;;
DIALYSE;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;TOT;0;;;;;;;;;30;26
DIALYSE;2021;060792736;AGAHTIR AUTODIALYSE NICE;060790540;1140X;;;;10;35;5009;;;;;
DIALYSE;2021;060792736;AGAHTIR AUTODIALYSE NICE;060790540;VACAN;;;;;;146;;;;;
DIALYSE;2021;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;1140X;;;;12;16;2495;;;;;
DIALYSE;2021;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;TOT;0;;;;;;;0;;1;
DIALYSE;2021;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;112BA;;;;19;80;13238;;;;;
DIALYSE;2021;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;TOT;0;;;;;;0;1;;56;0
DIALYSE;2021;060801016;AGAHTIR AUTODIALYSE MANDELIEU;060790540;1140X;;;;5;16;2417;;;;;
DIALYSE;2021;070000179;CH ARDECHE NORD;070780358;112BA;;;;13;104;8012;;;;;
DIALYSE;2021;070000179;CH ARDECHE NORD;070780358;1130X;;;;8;47;3870;;;;;
DIALYSE;2021;070000179;CH ARDECHE NORD;070780358;122AX;;;;1;;;;;1;;
DIALYSE;2021;070000179;CH ARDECHE NORD;070780358;122BX;;;;2;;;;;24;;
DIALYSE;2021;070000179;CH ARDECHE NORD;070780358;TOT;0;;;;;;1597;;;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;112BA;;;;11;35;5031;;;;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1130X;;;;6;11;1587;;;;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1210;;;;;2;;;;183;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121AX;;;;;0;;;;73;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121CX;;;;2;2;;;;110;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122AX;;;;1;0;;;;38;;
DIALYSE;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;TOT;0;;;;;;;1;;8;0
DIALYSE;2021;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;1140X;;;;6;15;2215;;;;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;112AX;;;;2;2;327;;;;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1130X;;;;4;8;1187;;;;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1140X;;;;6;10;1394;;;;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1150A;;;;1;1;134;;;;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1210;;;;;9;;;;538;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121AX;;;;;3;;;;194;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121CX;;;;6;6;;;;344;;
DIALYSE;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;TOT;0;;;;;;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112AX;;;;2;2;46;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112BA;;;;23;94;12450;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1210;;;;;18;;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121AX;;;;;15;;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121CX;;;;0;3;;;;;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;122AX;;;;1;0;;;;5;;
DIALYSE;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TOT;0;;;;;;880;2;;63;3
DIALYSE;2021;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;112AX;;;;1;;61;;;;;
DIALYSE;2021;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;1140X;;;;10;11;1768;;;;;
DIALYSE;2021;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;112AX;;;;1;2;42;;;;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;1130X;;;;11;51;6715;;;;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;1140X;;;;8;13;2185;;;;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;1150A;;;;;1;424;;;;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;1210;;;;;17;;;;2887;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;121AX;;;;;15;;;;2134;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;121CX;;;;6;2;;;;753;;
DIALYSE;2021;080011182;UDA ET UDM ARPDD;510000953;TOT;0;;;;;;;1;;12;8
DIALYSE;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;112AX;;;;1;;41;;;;;
DIALYSE;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;112BA;;;;12;;6909;;;;;
DIALYSE;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;122AX;;;;1;;;;;15;;
DIALYSE;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;122BX;;;;1;;;;;48;;
DIALYSE;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;TOT;0;;;;;;971;2;;;
DIALYSE;2021;090002833;AAIR UAD UDM PAMIERS;310000633;1130X;;;;9;38;5472;;;;;
DIALYSE;2021;090002833;AAIR UAD UDM PAMIERS;310000633;1140X;;;;3;11;1860;;;;;
DIALYSE;2021;090002833;AAIR UAD UDM PAMIERS;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;090784125;AAIR UAD LAVELANET;310000633;1140X;;;;6;10;2011;;;;;
DIALYSE;2021;090784125;AAIR UAD LAVELANET;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;090784679;AAIR UAD ST LIZIER;310000633;1140X;;;;6;11;1604;;;;;
DIALYSE;2021;090784679;AAIR UAD ST LIZIER;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112AX;;;;1;0;35;;;;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112BA;;;;20;87;12742;;;;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1210;;;;;1;;;;75;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;121AX;;;;;1;;;;75;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122AX;;;;1;1;;;;49;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122BX;;;;1;4;;;;1542;;
DIALYSE;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOT;0;;;;;;2449;1;;51;12
DIALYSE;2021;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;112AX;;;;1;;89;;;;;
DIALYSE;2021;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;1140X;;;;11;16;2576;;;;;
DIALYSE;2021;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;112AX;;;;1;2;135;;;;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1130X;;;;16;41;6597;;;;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1140X;;;;11;39;5964;;;;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1150A;;;;2;2;384;;;;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1210;;;;;34;;;;5990;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121AX;;;;;25;;;;4717;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121CX;;;;9;9;;;;1273;;
DIALYSE;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;TOT;0;;;;;;;1;;29;11
DIALYSE;2021;110000023;CH CARCASSONNE;110780061;112AX;;;;3;0;0;;;;;
DIALYSE;2021;110000023;CH CARCASSONNE;110780061;112BA;;;;25;96;12977;;;;;
DIALYSE;2021;110000023;CH CARCASSONNE;110780061;122AX;;;;1;;;;;123;;
DIALYSE;2021;110000023;CH CARCASSONNE;110780061;122BX;;;;1;;;;;60;;
DIALYSE;2021;110000023;CH CARCASSONNE;110780061;TOT;0;;;;;;1271;2;;55;10
DIALYSE;2021;110004413;AIDER SANTE UAD NARBONNE;340000264;1140X;;;;10;29;3878;;;;;
DIALYSE;2021;110004421;AIDER SANTE UAD LIMOUX QUILLAN;340000264;1140X;;;;6;23;2889;;;;;
DIALYSE;2021;110004439;AIDER SANTE UAD TREBES;340000264;1140X;;;;10;38;1421;;;;;
DIALYSE;2021;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;112AX;;;;1;15;60;;;;;
DIALYSE;2021;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;1130X;;;;8;46;6842;;;;;
