BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;N3120;;1;0.17
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;NAUT;38;4;7.79
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;NCINF;9;6;2.65
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;M1320;1;1;1.6
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;MAUT;1;;0.23
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;N241P;1;;0.55
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;N2450;;1;0.13
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;N2500;20;1;7.15
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;N3120;;1;0.28
SSR_P;2021;010000107;CH DE PONT DE VAUX;010780138;NCINF;6;5;5.48
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;;1;0.71
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MAUT;;1;0.02
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N241P;0;1;0.5
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;;1;0.08
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2470;;1;0.2
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2500;;4;1.99
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2710;;2;0.45
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;;1;0.25
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;;6;1.12
SSR_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NCINF;2;3;3.06
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M1180;1;;1
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;MAUT;;1;0.02
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N241P;;2;0.97
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2460;;1;0.2
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2500;6;4;8.01
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2710;;1;0.29
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N310H;;1;0.25
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NAUT;1;6;3.59
SSR_P;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NCINF;5;6;11.35
SSR_P;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M1010;1;2;2.72
SSR_P;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N2500;6;1;4.1
SSR_P;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;NCINF;6;;4.79
SSR_P;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1010;2;1;2.91
SSR_P;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1180;1;;1.35
SSR_P;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N241P;4;1;4.29
SSR_P;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N2500;4;5;8.06
SSR_P;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;NCINF;6;3;8.24
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1010;2;4;5.15
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1150;2;;2
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1320;;1;0.8
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;MAUT;;2;2
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N241P;9;2;11.73
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2430;;1;0.68
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2450;1;2;2.2
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2460;1;2;2.12
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2500;49;33;65.1
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2710;2;3;3.6
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N310H;;1;0.8
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N3120;2;1;2.6
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;NAUT;65;60;127.65
SSR_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;NCINF;38;27;58.18
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1010;3;;3.12
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1120;;1;0.07
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1180;1;;1.22
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1190;1;1;0.29
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;MAUT;2;;1.59
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N241P;5;4;6.38
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2430;;1;0.49
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2450;;1;0.27
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2460;3;2;4.03
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2500;21;2;24.09
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2710;;2;0.49
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N3120;;2;0.91
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NAUT;25;8;36.56
SSR_P;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NCINF;16;3;20.28
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1010;1;1;1.02
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1320;1;1;1.02
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N241P;1;2;2.15
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;7;4;8.71
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;0;1;0.5
SSR_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NCINF;2;3;4.69
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1010;1;;1
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1180;;1;0.05
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;MAUT;;1;0.05
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N241P;1;1;1.9
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2430;;1;0.4
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2460;1;4;3.32
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2710;;2;0.5
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N3120;;1;0.9
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NAUT;2;24;1.47
SSR_P;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NCINF;;1;0.75
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1010;;1;0.85
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1180;1;;1
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;;5;2.36
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N241P;;5;1.96
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2430;;1;0.2
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2450;;2;0.17
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2460;;3;0.7
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2470;;1;0.5
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2500;14;7;18.99
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2710;;2;0.8
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N3120;;2;0.51
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NAUT;7;6;9.91
SSR_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NCINF;9;10;13.6
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M1150;4;;4
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N241P;2;;1.82
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2450;1;;0.97
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2500;11;;10.88
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2710;;1;0.89
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N310H;6;1;6.12
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N3120;;1;0.85
SSR_P;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;NCINF;16;1;16.62
SSR_P;2021;010780252;CRF L'ORCET;010783009;M1010;3;;2.63
SSR_P;2021;010780252;CRF L'ORCET;010783009;M1180;1;1;1.4
SSR_P;2021;010780252;CRF L'ORCET;010783009;MAUT;;1;0.4
SSR_P;2021;010780252;CRF L'ORCET;010783009;N241P;4;;4
SSR_P;2021;010780252;CRF L'ORCET;010783009;N2430;1;;1
SSR_P;2021;010780252;CRF L'ORCET;010783009;N2450;;1;0.4
SSR_P;2021;010780252;CRF L'ORCET;010783009;N2460;4;;4
SSR_P;2021;010780252;CRF L'ORCET;010783009;N2470;;1;0.5
SSR_P;2021;010780252;CRF L'ORCET;010783009;N2500;8;4;10.9
SSR_P;2021;010780252;CRF L'ORCET;010783009;N310H;;1;0.5
SSR_P;2021;010780252;CRF L'ORCET;010783009;N3120;;1;0.5
SSR_P;2021;010780252;CRF L'ORCET;010783009;NAUT;20;51;44
SSR_P;2021;010780252;CRF L'ORCET;010783009;NCINF;10;8;15.44
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1010;2;;2
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1180;2;1;2.55
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;MAUT;;1;0.55
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N241P;6;3;8
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2430;3;;3
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2450;1;;1
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2460;5;3;7.1
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2470;1;1;1.5
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2500;18;8;23.57
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N2710;3;3;5
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N310H;1;;0.5
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;N3120;3;;3
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;NAUT;21;57;73.15
SSR_P;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;NCINF;24;4;24.17
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M1010;1;;0.21
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M1140;1;;1.1
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M3020;2;;2.81
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;MAUT;0;;0.01
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N241P;1;0;1
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2450;1;1;1.75
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2470;1;2;2.23
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2500;15;4;16.23
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2710;1;4;4.08
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N310H;13;11;20.59
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N3120;1;1;1.78
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;NAUT;4;0;3.55
SSR_P;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;NCINF;15;1;17.35
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;M1140;;2;0.6
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;M1180;4;3;5.99
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;M3020;;1;0.2
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;MAUT;;1;0.79
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N241P;7;17;13.64
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N2430;1;4;3.13
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N2460;5;3;7.43
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N2470;2;1;2.06
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N2500;27;43;42.89
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N2710;;7;3.28
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N310H;10;13;18.81
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;N3120;;2;1.09
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;NAUT;26;45;42.53
SSR_P;2021;010780492;CRF ROMANS-FERRARI;360000707;NCINF;5;36;17.14
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;M1010;1;2;2.6
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;M1180;;1;0.4
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N241P;1;4;3
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2450;;1;0.6
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2460;;1;0.5
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2500;11;3;13.3
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2710;;1;0.3
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N3120;;1;0.5
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;NAUT;17;16;25.7
SSR_P;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;NCINF;7;8;11.4
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;M1010;1;;1
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;MAUT;;1;0.25
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N241P;1;;1
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2450;;1;0.2
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2460;;1;0.85
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2500;6;3;8.2
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2710;;1;0.2
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N310H;;1;0.15
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N3120;;1;0.5
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;NAUT;2;17;8.9
SSR_P;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;NCINF;5;2;6.83
SSR_P;2021;020000089;CH GUISE;020000022;M1010;;1;0.6
SSR_P;2021;020000089;CH GUISE;020000022;M1320;;1;0.6
SSR_P;2021;020000089;CH GUISE;020000022;MAUT;;2;1
SSR_P;2021;020000089;CH GUISE;020000022;N241P;1;;0.35
SSR_P;2021;020000089;CH GUISE;020000022;N2450;1;;0.05
SSR_P;2021;020000089;CH GUISE;020000022;N2460;1;;0.85
SSR_P;2021;020000089;CH GUISE;020000022;N2500;22;8;25.16
SSR_P;2021;020000089;CH GUISE;020000022;N2710;1;;0.5
SSR_P;2021;020000089;CH GUISE;020000022;N3120;2;2;1.36
SSR_P;2021;020000089;CH GUISE;020000022;NAUT;12;2;11.58
SSR_P;2021;020000089;CH GUISE;020000022;NCINF;8;5;12
SSR_P;2021;020000097;CH LA FÈRE;020000048;M1320;2;;1.39
SSR_P;2021;020000097;CH LA FÈRE;020000048;N2460;0;1;0.85
SSR_P;2021;020000097;CH LA FÈRE;020000048;N2500;12;0;11.12
SSR_P;2021;020000097;CH LA FÈRE;020000048;N2710;1;0;1
SSR_P;2021;020000097;CH LA FÈRE;020000048;N310H;2;0;1.63
SSR_P;2021;020000097;CH LA FÈRE;020000048;N3120;1;0;1
SSR_P;2021;020000097;CH LA FÈRE;020000048;NAUT;4;2;4.85
SSR_P;2021;020000097;CH LA FÈRE;020000048;NCINF;8;0;8.9
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;M1010;1;;0.8
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;N2450;1;;0.3
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;N2460;1;;0.15
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;N2500;16;1;5.24
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;N2710;1;;0.21
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;N3120;;1;0.12
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;NAUT;3;1;2.96
SSR_P;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;NCINF;9;;3.16
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1010;;1;0.3
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1180;2;1;2.4
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1320;2;1;2.4
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N241P;7;1;6.84
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2430;1;;1
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2460;2;1;2.26
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2470;3;;3.29
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2500;21;5;24.3
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2710;1;2;2.04
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N3120;1;1;0.8
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;11;3;11.28
SSR_P;2021;020000162;CH SAINT-QUENTIN;020000063;NCINF;20;5;23.63
SSR_P;2021;020000246;CH VERVINS;020000071;M1180;;2;1.1
SSR_P;2021;020000246;CH VERVINS;020000071;N2500;13;3;15.03
SSR_P;2021;020000246;CH VERVINS;020000071;NAUT;4;1;4.75
SSR_P;2021;020000246;CH VERVINS;020000071;NCINF;8;2;9.03
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1010;5;3;6.26
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1070;1;1;1.7
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1150;1;1;1.61
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1180;3;2;4.7
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1190;;2;1.13
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1320;3;;3
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M3020;;3;0.06
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;MAUT;;3;0.33
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N241P;21;2;24.7
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2430;;2;1.83
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2450;4;1;3.59
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2460;11;1;11.84
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2470;1;1;0.5
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2500;92;4;93.26
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2710;7;1;6.75
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N3120;4;1;4.66
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;86;3;75.97
SSR_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NCINF;107;8;121.61
SSR_P;2021;020000394;CH LAON;020000253;M1010;0;1;0.44
SSR_P;2021;020000394;CH LAON;020000253;M1040;0;0;0.13
SSR_P;2021;020000394;CH LAON;020000253;N2450;0;3;0.45
SSR_P;2021;020000394;CH LAON;020000253;N2710;0;1;0.25
SSR_P;2021;020000394;CH LAON;020000253;N310H;1;0;1
SSR_P;2021;020000394;CH LAON;020000253;NAUT;0;2;1.13
SSR_P;2021;020000394;CH LAON;020000253;NCINF;1;3;1.55
SSR_P;2021;020000519;CH SOISSONS;020000261;M1010;1;;1
SSR_P;2021;020000519;CH SOISSONS;020000261;M1320;2;;2
SSR_P;2021;020000519;CH SOISSONS;020000261;N241P;;3;0.5
