BOR;AN;FI;RS;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1140;3;3;1;1;;;;;3.8;3.43;;4.8;2;;;0.43;8;7.23;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1150;2;1;1;;;;;;2.38;1;;1;1;;0.4;0.98;4;3.38;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1160;;1;;1;;;;;;1.13;;1;;;;0.13;2;1.13;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1170;1;2;;;;;;;1;1.77;;2;;;;0.77;3;2.77;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1190;;2;;2;;;;;;2.8;;2.6;;;0.2;;4;2.8;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1200;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1320;2;6;;;;;;;2;2.03;;4.03;;;;;8;4.03;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1340;6;4;5;6;;;;;8.33;8.84;;11.44;0.93;;;4.8;21;17.17;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2020;1;1;;;;;;;1;0.67;;1;;;;0.67;2;1.67;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2030;4;1;1;;;;;;4.2;0.58;;4;;;;0.78;6;4.78;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2050;1;7;1;;;;;;1.6;7.83;;6.6;1.83;;;1;9;9.43;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2070;;1;1;;;;;;0.2;1;;;1;;0.2;;2;1.2;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2080;1;;1;1;;;;;1.4;0.4;;0.8;;;0.21;0.79;3;1.8;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2100;4;;;;;;;;4.08;;;3.58;;;;0.5;4;4.08;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2120;3;1;;;;;;;3;0.83;;3;;;;0.83;4;3.83;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M2130;2;1;;;;;;;2;0.67;;2;0.17;;;0.5;3;2.67;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M3012;1;2;;4;;;;;0.82;4.5;;2.6;;;0.17;2.55;7;5.32;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M3030;1;;;1;;;;2;1;0.6;;0.85;;;;0.75;2;1.6;2
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M3040;;;;;;;;;0.8;0.12;;0.92;;;;;;0.92;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M3050;3;5;1;3;;;;;3.6;6.7;;7.87;1.33;;;1.1;12;10.3;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M3060;;;1;;;;;;0.1;;;;;;;0.1;1;0.1;
Q20;2021;010000024;;010780054;M9999;73;57;25;41;;;6;11;80.55;79.2;;112.07;10.75;;8.69;28.24;196;159.75;17
Q20;2021;010000032;CH BUGEY SUD;010780062;M1010;5;2;2;3;;;;;6.29;2.96;;4.61;;;3.18;1.46;12;9.25;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1050;;;1;;;;;;0.2;;;;;;0.2;;1;0.2;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1090;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1140;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1160;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1190;;;;;;;;;;0.3;;0.3;;;;;;0.3;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1200;;;;1;;;;;;0.2;;;;;0.2;;1;0.2;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1320;;;;1;;;;;;0.19;;;;;;0.19;1;0.19;
Q20;2021;010000032;CH BUGEY SUD;010780062;M1340;6;1;2;;;;;;7.07;0.71;;7.04;;;;0.74;9;7.78;
Q20;2021;010000032;CH BUGEY SUD;010780062;M2030;3;;;;;;;;3;;;1;;;1;1;3;3;
Q20;2021;010000032;CH BUGEY SUD;010780062;M2050;;1;2;;;;;;1.92;0.85;;1.58;;;;1.19;3;2.77;
Q20;2021;010000032;CH BUGEY SUD;010780062;M2100;1;;;;;;;;1;;;;1;;;;1;1;
Q20;2021;010000032;CH BUGEY SUD;010780062;M2120;3;;;;;;;;2.73;;;1;;;0.98;0.75;3;2.73;
Q20;2021;010000032;CH BUGEY SUD;010780062;M3050;;1;;2;;;;;;2.59;;1.98;;;;0.61;3;2.59;
Q20;2021;010000032;;010780062;M9999;21;6;7;7;;;;;25.21;8.8;;21.51;1;;5.56;5.94;41;34.01;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;2;2;1;1;;;;;3.68;3.4;;3.54;;;;3.54;6;7.08;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1040;;;1;3;;;;;0.13;0.07;;;;;0.2;;4;0.2;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;;;1;;;;;;0.82;;;;;;0.82;;1;0.82;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;1;1;1;2;;;;;2.59;3.68;;6.27;;;;;5;6.27;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M3050;;1;1;;;;;;1.09;1.36;;2.45;;;;;2;2.45;
Q20;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M3060;1;;;;;;;;0.48;;;;;;;0.48;1;0.48;
Q20;2021;010000065;;010780096;M9999;4;4;5;6;;;;;8.79;8.51;;12.26;;;1.02;4.02;19;17.3;
Q20;2021;010000081;CH DU PAYS DE GEX;010780112;M1010;;;;4;;;;;0.54;1.46;;;;;2;;4;2;
Q20;2021;010000081;CH DU PAYS DE GEX;010780112;M3050;;1;;;;;;;;0.17;;0.17;;;;;1;0.17;
Q20;2021;010000081;;010780112;M9999;;1;;4;;;;;0.54;1.63;;0.17;;;2;;5;2.17;
Q20;2021;010000099;CH DE MEXIMIEUX;010780120;M1180;;;1;;;;;;0.09;;;0.09;;;;;1;0.09;
Q20;2021;010000099;CH DE MEXIMIEUX;010780120;M3070;;;1;1;;;;;0.34;0.48;;0.8;;;;0.02;2;0.82;
Q20;2021;010000099;;010780120;M9999;;;2;1;;;;;0.43;0.48;;0.89;;;;0.02;3;0.91;
Q20;2021;010000107;CH DE PONT DE VAUX;010780138;M1320;;1;1;;;;;;0.6;1;;1.6;;;;;2;1.6;
Q20;2021;010000107;CH DE PONT DE VAUX;010780138;M3050;;1;;;;;;;0;0.48;;0.48;;;;;1;0.48;
Q20;2021;010000107;;010780138;M9999;;2;1;;;;;;0.6;1.48;;2.08;;;;;3;2.08;
Q20;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1010;;;2;;;;;;1.08;;;;;;;1.08;2;1.08;
Q20;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M3050;;;1;;;;;;0.4;;;0.4;;;;;1;0.4;
Q20;2021;010000115;;010009132;M9999;;1;3;;;;;;1.48;1;;1.4;;;;1.08;4;2.48;
Q20;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M1320;;1;;1;;;;;;1.4;;1.4;;;;;2;1.4;
Q20;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M3050;;;;1;;;;;0.04;0.44;;0.48;;;;;1;0.48;
Q20;2021;010000131;;010009132;M9999;;1;;2;;;;;0.04;1.84;;1.88;;;;;3;1.88;
Q20;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M1010;1;1;1;;;;;;1.72;1;;1;;;1.72;;3;2.72;
Q20;2021;010000180;;010007987;M9999;1;1;1;;;;;;1.72;1;;1;;;1.72;;3;2.72;
Q20;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1010;2;;1;;;;;;2.28;0.63;;1;1.9;;;0.01;3;2.91;
Q20;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1180;;1;;;;;;;;1.35;;1;;;;0.35;1;1.35;
Q20;2021;010000198;;010007987;M9999;2;1;1;;;;;;2.28;1.98;;2;1.9;;;0.36;4;4.26;
Q20;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1010;2;;3;2;;;;;3.64;1.56;;1.8;;;;3.4;7;5.2;
Q20;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1150;2;;;;;;;;2;;;1;;;;1;2;2;
Q20;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1320;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M3050;;2;;;;;;;;2;;2;;;;;2;2;
Q20;2021;010000214;;010007987;M9999;5;2;3;2;;;;;6.64;3.56;;5.8;;;;4.4;12;10.2;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M1010;1;4;2;2;;;;;2.72;5.29;;;;;;;9;8.01;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M1320;;;1;;;;;;0.42;;;;;;;;1;0.42;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M2070;;;1;;;;;;0.02;;;;;;;;1;0.02;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3020;9;18;4;12;;;;;12.53;22.62;;;;;;;43;35.15;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3030;;;;1;;;;;;0.18;;;;;;;1;0.18;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3040;1;;;;;;;;1;;;;;;;;1;1;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3050;;3;;2;;;;;;2.81;;;;;;;5;2.81;
Q20;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3060;;;;1;;;;;;0.58;;;;;;;1;0.58;
Q20;2021;010000495;;010783009;M9999;11;25;8;18;;;;;16.69;31.48;;;;;;;62;48.17;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1010;2;1;;;;;;;1.39;1.73;;;;;;;3;3.12;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1120;;;;1;;;;;;0.07;;;;;;;1;0.07;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1180;1;;;;;;;;0.93;0.29;;;;;;;1;1.22;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1190;;;;1;;;;;;0.29;;;;;;;1;0.29;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M3011;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M3040;;;;1;;;;;;0.2;;;;;;;1;0.2;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M3050;;1;;;;;;;0.05;1.34;;;;;;;1;1.39;
Q20;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M3060;;;;;;;;1;;;;;;;;;;;1
Q20;2021;010002129;;750056335;M9999;3;2;;3;;;1;1;2.37;3.92;;;;;;;8;6.29;2
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1010;13;3;4;3;0;0;0;0;13.82;4.04;0;1.2;0;0;0;16.66;23;17.86;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;1;0;4;0;0;0;0;0;5.01;0.19;0;0;0;0;0;5.2;5;5.2;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1040;0;0;1;0;0;0;0;0;0.6;0;0;0.6;0;0;0;0;1;0.6;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1050;0;1;0;0;0;0;0;0;0;0.89;0;0;0;0;0;0.89;1;0.89;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1070;0;0;0;1;0;0;0;0;0;0.18;0;0;0;0;0;0.18;1;0.18;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1090;1;0;1;0;0;0;0;0;1.53;0;0;1;0;0;0.5;0.03;2;1.53;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;0;0;3;0;0;0;0;0;2.14;0;0;1.54;0;0;0;0.6;3;2.14;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2;0;1;0;0;0;0;0;2.5;0;0;2.5;0;0;0;0;3;2.5;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1200;0;0;2;0;0;0;0;0;0.23;0;0;0;0;0;0.23;0;2;0.23;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1340;0;1;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0.01;1;0.01;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2010;2;1;0;0;0;0;0;0;2.01;1;0;3;0;0;0;0.01;3;3.01;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2020;0;0;1;4;0;0;0;0;0.4;1.39;0;0;0;0;0.99;0.8;5;1.79;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2030;3;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;3;3;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;2;1;0;0;0;0;0;0;2.14;1;0;1.59;0;0;0;1.55;3;3.14;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2080;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2130;0;0;1;0;0;0;0;0;0.4;0;0;0;0;0;0.4;0;1;0.4;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M3011;2;0;0;1;0;0;0;0;2.13;1.27;0;2.01;0;0;0;1.39;3;3.4;0
Q20;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M3050;0;2;0;1;0;0;0;0;0.04;2.5;0;1.85;0;0;0;0.69;3;2.54;0
Q20;2021;010005239;;010008407;M9999;26;10;18;10;0;0;0;0;35.95;13.47;0;19.29;0;0;2.12;28.01;64;49.42;0
Q20;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M1010;1;;;;;;;;1.1;;;;;;;;1;1.1;
Q20;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;;;1;;;;;;0.5;;;;;;;1;0.5;
Q20;2021;010005379;;010010718;M9999;1;;;1;;;;;1.1;0.5;;;;;;;2;1.6;
Q20;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;M1110;;;;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2021;010006526;;690796552;M9999;;;;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;;;;;;;3;1;;;;;;;;;;;4
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1040;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1090;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2020;;;;;;;2;;;;;;;;;;;;2
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2040;;;;;;;;1;;;;;;;;;;;1
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2070;;;;;;;2;4;;;;;;;;;;;6
Q20;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2100;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010007300;;010007292;M9999;;;;;;;10;6;;;;;;;;;;;16
Q20;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1010;1;;;;;;;;1;;;;;;;;1;1;
Q20;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1180;;;1;;;;;;0.05;;;;;;;;1;0.05;
Q20;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M3050;;;;1;;;;;;0.05;;;;;;;1;0.05;
Q20;2021;010008852;;010783009;M9999;1;;1;1;;;;;1.05;0.05;;;;;;;3;1.1;
Q20;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1010;1;;;;;;;;1.2;;;;;;1.2;;1;1.2;
Q20;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1180;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;;4;;1;;;;;;3.43;;2.83;;;;0.6;5;3.43;
Q20;2021;010009314;;010780054;M9999;1;5;;1;;;;;1.2;4.43;;3.83;;;1.2;0.6;7;5.63;
Q20;2021;010009702;USLD EMILE PELICAND;010780054;M1320;;1;;;;;;;;0.35;;0.35;;;;;1;0.35;
Q20;2021;010009702;;010780054;M9999;;1;;;;;;;;0.35;;0.35;;;;;1;0.35;
Q20;2021;010010171;CLINIQUE DE CHATILLON;010011559;M1010;;;1;1;;;;;0.24;0.14;;;;;;;2;0.38;
Q20;2021;010010171;CLINIQUE DE CHATILLON;010011559;M3020;;;;;2;4;;;;;;;;;;;;;6
Q20;2021;010010171;;010011559;M9999;;;1;1;2;4;;;0.24;0.14;;;;;;;2;0.38;6
Q20;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M1150;2;2;;;;;;;2;2;;;;;;;4;4;
Q20;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M3050;;1;;;;;;;;1.11;;;;;;;1;1.11;
Q20;2021;010011641;;010000222;M9999;2;3;;;;;;;2;3.11;;;;;;;5;5.11;
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1010;2;1;0;0;1;1;;;0.5;0.5;;;;;;;3;1;2
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1030;;;;;11;1;;;;;;;;;;;;;12
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1040;;;;;8;2;;;;;;;;;;;;;10
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1090;;;;;1;2;;;;;;;;;;;;;3
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1130;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1150;;;;;3;1;;;;;;;;;;;;;4
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1160;;;;;;;13;2;;;;;;;;;;;15
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1190;;;;;;;;1;;;;;;;;;;;1
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1200;;;;;;;;1;;;;;;;;;;;1
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1210;;;;;;;7;;;;;;;;;;;;7
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M1340;;;;;6;1;;;;;;;;;;;;;7
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2020;;;;;;;2;1;;;;;;;;;;;3
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2030;;;;;3;;2;;;;;;;;;;;;5
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2040;;;;;;;2;1;;;;;;;;;;;3
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2050;;;;;1;4;;;;;;;;;;;;;5
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2060;;;;;;;1;1;;;;;;;;;;;2
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2070;;;;;;;6;;;;;;;;;;;;6
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2080;;;;;1;1;1;1;;;;;;;;;;;4
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2100;;;;;3;;;;;;;;;;;;;;3
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2120;;;;;3;;;;;;;;;;;;;;3
Q20;2021;010780195;CLINIQUE CONVERT;010000156;M2130;;;;;1;;;;;;;;;;;;;;1
Q20;2021;010780195;;010000156;M9999;2;1;0;0;42;13;35;8;0.5;0.5;;;;;;;3;1;98
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1010;;;;;8;;;;;;;;;;;;;;8
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;;;;;5;;;;;;;;;;;;;;5
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1070;;;;;1;;;;;;;;;;;;;;1
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1090;;;;;;2;;;;;;;;;;;;;2
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;1;;;;1;;;;0.2;;;;;;;;1;0.2;1
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1150;;;;;;;1;;;;;;;;;;;;1
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1320;2;;;;;;;;2;;;;;;;;2;2;
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2020;;;;;;;2;;;;;;;;;;;;2
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2030;;;;;2;1;;;;;;;;;;;;;3
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2040;;;;;;;2;;;;;;;;;;;;2
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;;;1;;4;2;;;;0.63;;;;;;;1;0.63;6
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2070;;;;;;2;;;;;;;;;;;;;2
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2080;;;;;;;3;;;;;;;;;;;;3
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2100;;;;;;;3;;;;;;;;;;;;3
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2120;;;;;1;;1;1;;;;;;;;;;;3
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2130;;;;;;;3;;;;;;;;;;;;3
Q20;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;2;;;;;;;;2;;;;;;;2;2;
Q20;2021;010780203;;010010718;M9999;3;2;1;;22;7;15;1;2.2;2.63;;;;;;;6;4.83;45
Q20;2021;010780252;CRF L'ORCET;010783009;M1010;2;1;;;;;;;2.63;1;;;;;;;3;3.63;
Q20;2021;010780252;CRF L'ORCET;010783009;M1180;;1;1;;;;;;0.4;1;;;;;;;2;1.4;
Q20;2021;010780252;CRF L'ORCET;010783009;M3050;;;;1;;;;;;0.4;;;;;;;1;0.4;
Q20;2021;010780252;;010783009;M9999;2;2;1;1;;;;;3.03;2.4;;;;;;;6;5.43;
Q20;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1010;1;1;;;;;;;1;2.29;;;;;;;2;3.29;
Q20;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1180;1;1;1;;;;;;1.55;1;;;;;;;3;2.55;
Q20;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M3050;;;;1;;;;;;0.55;;;;;;;1;0.55;
Q20;2021;010780278;;010783009;M9999;2;2;1;1;;;;;2.55;3.84;;;;;;;6;6.39;
Q20;2021;010780294;NEPHROCARE CH BELLEY;690000278;M3040;1;;;;;;;;0.19;;;;;;;;1;0.19;
Q20;2021;010780294;NEPHROCARE CH BELLEY;690000278;M3050;;1;;;;;;;0.36;0.34;;;;;;;1;0.7;
Q20;2021;010780294;;690000278;M9999;1;1;;;;;;;0.55;0.34;;;;;;;2;0.89;
Q20;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M1010;1;0;0;0;;;;;0.16;0.05;;;;;;;1;0.21;
Q20;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M1140;0;1;;;;;;;0;1.1;;;;;;;1;1.1;
Q20;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M3020;2;0;;;;;;;1.95;0.86;;;;;;;2;2.81;
Q20;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M3050;0;0;;;;;;;0;0.01;;;;;;;0;0.01;
