BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2021;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;
ORG;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;;;;1;D;;;;;;;;;;;2;D;;;;;;;;;;;0;;;;;;
ORG;2021;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;060006939;;;;1;A;B;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;060780277;CLINIQUE SAINTE BRIGITTE;920030269;;;;;;;;;;;;;;;;;;;;;;;;;64;D;C;0;;;;;;
ORG;2021;060780343;E3S SAINT JEAN;060000171;;;;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;
ORG;2021;060780392;POLE ANTIBES SAINT JEAN;060000205;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;
ORG;2021;060780459;CRF ORSAC MONT FLEURI;010783009;;;;;;;;;;;;;;;;;;;;;;6;C;D;;;;0;;;;;;
ORG;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;;;;;;;;;;;;;1;B;;4;D;;;;;33;C;D;5;G;;0;;;;;;
ORG;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;
ORG;2021;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;;;;;;;;;;;;7;C;;;;;0;;;;;;
ORG;2021;060780558;CLINIQUE FSEF VENCE;750720575;;;;;;;;;;;;;;;;;;;;;;25;A;C;;;;0;;;;;;
ORG;2021;060780590;CLINIQUE DU PALAIS;060000270;0;;;1;A;;0;;;0;;;0;;;5;D;;0;;;5;C;;0;;;0;;;;;;
ORG;2021;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;;;;;;;;;1;B;;;;;;;;;;;24;C;;0;;;;;;
ORG;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;;;;1;D;;;;;;;;;;;1;A;;;;;27;C;;;;;0;;;;;;
ORG;2021;060780749;CLINIQUE SAINT LUC;060000395;;;;1;D;A;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;1;C;;;;;;;;1;A;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060780996;CHS SAINTE MARIE NICE;630786754;;;;1;;;;;;;;;;;;;;;;;;75;C;D;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;;;;;;;;;;;;;1;B;;;;;;;;44;C;;;;;0;;;;;;
ORG;2021;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;060781929;CLINIQUE DE LA COSTIERE;060000858;1;A;;;;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;
ORG;2021;060785243;HAD NICE & REGION;060001484;2;C;;;;;;;;;;;;;;;;;;;;18;C;;;;;1;1;ALPES DU SUD;;;;
ORG;2021;060789674;CENTRE HELIO MARIN;130037815;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;;;;;;;;;;;;;;;;90;C;D;;;;0;;;;;;
ORG;2021;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;
ORG;2021;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;;;;;;;;;;;;;;;;1;A;B;;;;3;C;;;;;0;;;;;;
ORG;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;;;;;;;;;;;;;1;B;;1;D;;;;;23;C;D;2;G;;1;1;ALPES MARITIMES;;;;
ORG;2021;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;
ORG;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;;;;;;;;;;;;;;4;D;B;;;;1;A;;;;;0;;;;;;
ORG;2021;060800174;FONDATION LENVAL;060800174;;;;1;C;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;
ORG;2021;070000021;CH DE JOYEUSE;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2021;070000039;CH DE VALLON PONT D'ARC;070780119;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;;;;;;;
ORG;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;0;;;;;;
ORG;2021;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;2;A;;;;;;;;1;A;;;;;;;;20;C;B;;;;;;;;;;
ORG;2021;070000070;CH DU CHEYLARD;070780150;;;;2;B;A;;;;;;;;;;;;;;;;5;D;C;;;;;;;;;;
ORG;2021;070000096;HOPITAL DE MOZE;070780184;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;070000112;CH LEOPOLD OLLIER;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2021;070000187;CH DE LAMASTRE;070780366;0;;;0;;;0;;;0;;;1;B;;0;;;0;;;116;C;A;0;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2021;070000195;CH DE TOURNON SUR RHONE;070780374;;;;;;;;;;;;;1;A;;1;B;;;;;35;C;D;;;;;;;;;;
ORG;2021;070000203;CH DE SAINT FELICIEN;070780382;;;;;;;;;;;;;;;;;;;;;;8;C;A;;;;;;;;;;
ORG;2021;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;;;;;;;;;;;;;;;;;;;;;;6;A;D;;;;0;;;;;;
ORG;2021;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;;;;1;A;;;;;;;;2;B;;;;;;;;;;;;;;;;;;;;
ORG;2021;070780226;SSR FILIERIS DES VANS;750050759;;;;1;B;C;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;070780234;CENTRE SSR LE CHATEAU;750721300;;;;1;A;;;;;;;;;;;;;;;;;2;C;;;;;1;2;SUD DRÔME ARDÈCHE;RHÔNE VERCORS VIVARAIS;;;
ORG;2021;070780242;MAISON DE CONVALESCENCE CONDAMINE;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2021;070780317;CHS SAINTE-MARIE PRIVAS;630786754;;;;;;;;;;;;;1;B;;;;;138;C;A;;;;;;;0;;;;;;
ORG;2021;070780390;CH DE SERRIERES;070000211;;;;1;B;;;;;;;;;;;;;;;;;15;C;A;;;;1;1;LOIRE;;;;
ORG;2021;070780424;CLINIQUE PASTEUR;070000245;;;;;;;;;;;;;;;;;;;;;;61;C;D;;;;0;;;;;;
ORG;2021;070784897;CENTRE DE POST-CURE CROIX BLEUE VIRAC;750820680;;;;1;A;B;;;;;;;;;;1;A;;;;;26;D;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2021;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;0;;;;;;
ORG;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;;1;A;;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;
ORG;2021;080000250;CRF POUR ADULTES;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080000268;SOINS DE SUITE SAINT JULIEN;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;;;;2;A;C;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;
ORG;2021;080000318;CENTRE HOSPITALIER BELAIR;080000086;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;C;;1;A;;1;C;D;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2021;080002140;CRF POUR ENFANTS DE WARNECOURT;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2021;080010523;CLINIQUE DU PARC;920030269;;;;1;;;;;;;;;;;;;;;;;;16;C;E;;;;0;;;;;;
ORG;2021;080011182;UDA ET UDM ARPDD;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
ORG;2021;090000019;CH SAINT LOUIS;090180019;;;;1;D;;;;;;;;1;B;;;;;;;;3;A;;;;;;;;;;;
ORG;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;;;;1;D;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;
ORG;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;0;;;1;D;;0;;;0;;;0;;;0;;;1;;;27;;;0;;;;;;;;;
ORG;2021;090002833;AAIR UAD UDM PAMIERS;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;090784125;AAIR UAD LAVELANET;310000633;;;;;;;;;;;;;;;;;;;;;;0;C;;;;;0;;;;;;
ORG;2021;090784679;AAIR UAD ST LIZIER;310000633;;;;;;;;;;;;;;;;;;;;;;0;C;;;;;0;;;;;;
ORG;2021;100000082;CLINIQUE DU PAYS DE SEINE;100001148;;;;;;;;;;;;;;;;1;D;;;;;1;C;;;;;0;;;;;;
ORG;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;;;;2;D;;;;;;;;1;A;;1;D;;;;;32;A;;;;;0;;;;;;
ORG;2021;100000108;EPSMA;100000033;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;1;1;AUBE ET SÉZANNAIS;;;;
ORG;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;;;;1;B;;;;;;;;1;A;;;;;;;;8;D;;;;;0;;;;;;
ORG;2021;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;;;;;;;;;;;;;1;A;;;;;;;;1;D;;;;;0;;;;;;
ORG;2021;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
ORG;2021;100007285;INSTITUT ASCLEPIADE;100011287;;;;;;;;;;;;;;;;;;;;;;14;D;C;;;;0;;;;;;
ORG;2021;100010362;GCS PATCS CRRF PASTEUR 1;100010347;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AUBE ET SÉZANNAIS;;;;
ORG;2021;100010545;CLINIQUE KORIAN;310025010;;;;;;;;;;;;;;;;;;;;;;5;A;;2;D;;0;;;;;;
ORG;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AUBE ET SÉZANNAIS;;;;
ORG;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;;;;;;;;;;;;;;;;;;;;;;10;C;D;;;;1;1;AUBE ET SÉZANNAIS;;;;
ORG;2021;100011477;GCS PATCS CRRF COS PASTEUR 2;100010347;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AUBE ET SÉZANNAIS;;;;
