BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;M200H;45;;45;;
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N2200;13;10;19.1;0;1
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N2310;2;;1.96;0;1
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N2320;2;;2.03;0;1
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N2510;1;1;1.99;0;0
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N4130;1;0;1.08;0;1
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;N4160;1;;1;0;1
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;NAUT;6;1;7.76;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M100H;;2;1;0;1
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;;5;0;1
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M200H;10;18;19;0;1
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2200;10;8;13.7;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2310;2;3;3.85;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2320;1;3;2.09;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2510;2;3;2.98;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4160;1;;1;0;0
BLOCS_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;5;7;8.05;0;0
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;M100H;0;3;0.5;0;
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1030;4;67;8.9;1;0
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;M200H;13;19;24.95;0;1
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2200;17;5;21.6;1;
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2310;16;11;24.28;1;
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2320;13;4;14.73;1;
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2510;12;0;10.93;0;0
BLOCS_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;36;27;52.28;0;0
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M100H;1;;1;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M1030;3;;3;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M200H;4;16;;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2200;8;2;8.11;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2320;1;;0.87;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2510;1;;0.95;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N4160;1;;1;;
BLOCS_P;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;NAUT;2;;1.98;;
BLOCS_P;2021;020000394;CH LAON;020000253;M1030;5;2;6.75;1;0
BLOCS_P;2021;020000394;CH LAON;020000253;N2200;9;4;14.61;1;1
BLOCS_P;2021;020000394;CH LAON;020000253;N2310;9;0;9.14;1;1
BLOCS_P;2021;020000394;CH LAON;020000253;N2320;8;1;7.8;1;1
BLOCS_P;2021;020000394;CH LAON;020000253;N2510;8;1;8.51;;
BLOCS_P;2021;020000394;CH LAON;020000253;N4160;2;0;2;;
BLOCS_P;2021;020000394;CH LAON;020000253;NAUT;4;3;5.3;;
BLOCS_P;2021;020000519;CH SOISSONS;020000261;M1030;6;1;6.5;1;0
BLOCS_P;2021;020000519;CH SOISSONS;020000261;M200H;22;5;24.4;0;1
BLOCS_P;2021;020000519;CH SOISSONS;020000261;N2200;9;3;12.52;0;0
BLOCS_P;2021;020000519;CH SOISSONS;020000261;N2310;6;6;10.33;1;1
BLOCS_P;2021;020000519;CH SOISSONS;020000261;N2320;9;2;9.78;1;1
BLOCS_P;2021;020000519;CH SOISSONS;020000261;N2510;9;;9.89;0;0
BLOCS_P;2021;020000519;CH SOISSONS;020000261;NAUT;2;1;4.08;0;0
BLOCS_P;2021;020000535;CH CHAUNY;020000287;M100H;;2;0.18;0;1
BLOCS_P;2021;020000535;CH CHAUNY;020000287;M1030;;3;5.85;1;0
BLOCS_P;2021;020000535;CH CHAUNY;020000287;M200H;;8;0.9;0;1
BLOCS_P;2021;020000535;CH CHAUNY;020000287;N2200;3;1;3.58;0;1
BLOCS_P;2021;020000535;CH CHAUNY;020000287;N2310;;1;1.22;0;1
BLOCS_P;2021;020000535;CH CHAUNY;020000287;N2320;3;;3.2;0;1
BLOCS_P;2021;020000535;CH CHAUNY;020000287;N2510;4;;3.64;0;0
BLOCS_P;2021;020000535;CH CHAUNY;020000287;NAUT;1;4;2.72;;
BLOCS_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;11;;12.62;;
BLOCS_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2320;;3;2.24;;
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M100H;17;11;23.3;0;1
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1030;5;5;5;0;1
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M200H;14;8;15.5;0;1
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2200;12;1;12.8;0;1
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2320;4;;4;0;1
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2510;12;1;12.5;0;0
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4160;3;;3;0;0
BLOCS_P;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;13;1;12.8;0;0
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;M100H;0;5;1.27;0;1
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;M1030;0;7;5.63;1;0
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;M200H;0;19;6.15;0;1
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;N2200;11;0;10.58;1;1
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;N2310;11;2;12.7;1;0
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;N2320;10;2;10.25;1;1
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;N2510;9;3;9.7;0;1
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;N4160;1;0;1;0;0
BLOCS_P;2021;030000061;CH DE MOULINS;030780092;NAUT;5;4;3.8;0;0
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;M1030;5;4;5.87;1;0
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;N2200;10;;7.39;0;1
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;N2310;12;;11.13;0;1
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;N2320;9;;6.25;0;1
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;N2510;8;1;8.1;0;0
BLOCS_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;1;;1;0;0
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;6;3;8.4;1;0
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M200H;20;10;23.66;0;1
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;21;8;28.26;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2310;17;2;17.42;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2320;9;0;9.05;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;11;0;9.87;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;4;1;4.83;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;3;0;2.99;;
BLOCS_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;8;3;11.36;;
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;M100H;6;9;9.11;;
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;M1030;2;3;3.5;;
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;M200H;18;8;20.35;;
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2200;11;3;12.64;0;1
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2320;;1;1.37;0;0
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2510;2;2;2.93;0;1
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;N4160;1;;1;0;1
BLOCS_P;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;NAUT;10;;8.95;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M100H;10;2;10;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;5;;5;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M200H;20;;19;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2200;15;3;17.2;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2320;4;;3.5;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2510;6;2;7.27;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N4130;;;;0;1
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N4160;2;;2;0;0
BLOCS_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NAUT;7;;7;0;0
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M100H;13;10;15.6;0;0
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M1030;4;;4;0;1
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M200H;12;2;13;0;1
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2200;5;0;4.28;0;1
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2320;8;2;10.18;0;1
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2510;4;;3.9;0;1
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N4160;1;;1;0;0
BLOCS_P;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;NAUT;1;;1;0;0
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M100H;1;0;0.31;;
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1030;0;0;0;1;
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M200H;8;4;2.42;;1
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;7;6;12.13;;0
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2310;8;3;10.57;;0
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2320;2;3;3.97;;0
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2510;0;0;0.6;;
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4160;1;0;1;;
BLOCS_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;5;2;6.83;;
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M100H;;3;0.36;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1030;1;30;3.49;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M200H;;8;1.62;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2200;7;1;9.17;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2310;7;1;7;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2320;3;0;3;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2510;6;6;11.44;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;0;0;0;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;;;;0;1
BLOCS_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;0;13;6.52;0;1
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;M1030;3;0;3;0;1
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;M200H;5;17;9;0;1
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;N2200;9;0;9;0;1
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;N2310;1;0;1;0;0
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;N4160;1;0;1;0;0
BLOCS_P;2021;040780470;CLINIQUE TOUTES AURES;040000192;NAUT;5;0;5;0;0
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M100H;11;;11;0;1
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M1030;5;3;7;0;1
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M200H;24;;24;0;1
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2200;16;1;16.8;0;0
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2310;5;1;5.5;0;0
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2320;8;8;12;0;0
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2510;2;;2;0;0
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N4160;2;;2;0;1
BLOCS_P;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;NAUT;10;1;9.8;0;0
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M100H;;1;0.3;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1030;;6;5.47;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M200H;;15;4.32;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2200;5;3;7.65;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2310;5;4;7.37;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2320;6;2;7.92;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2510;4;2;5.2;;
BLOCS_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;4;;3.28;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1030;1;9;6.72;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;9;2;10.13;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2310;15;9;20.91;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2320;10;6;13.9;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;9;7;13.94;;
BLOCS_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;4;4;4.92;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M100H;0;0;0.27;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1030;8;2;6.87;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M200H;12;6;4.27;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2200;10;2;11.81;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2310;15;2;14.62;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2320;10;2;11.06;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;2;0;1.9;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4160;2;0;1.35;;
BLOCS_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;10;0;7.92;;
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;8;3;9.07;1;0
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M200H;19;23;25.9;0;1
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;14;6;18.83;;
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2310;13;4;15.86;;1
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2320;6;;7.55;;1
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2510;8;;7.4;;
BLOCS_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;11;;12.22;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M100H;5;1;1.58;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1030;8;1;4.47;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M200H;9;2;4.14;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2200;15;0;12.49;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2310;11;1;10.68;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2320;3;1;3.58;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2510;8;0;8.04;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;1;0;1.5;;
BLOCS_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;7;0;3.15;;
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M100H;9;2;4.35;1;1
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;10;8;12.04;1;0
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M200H;25;19;13.96;0;1
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;16;11;22.29;;
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2310;17;7;19.87;;
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2320;6;2;7.54;;
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;11;1;11.94;;
BLOCS_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;10;4;11.98;;
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M100H;1;;1;0;0
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M1030;3;9;4.43;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M200H;7;2;8.37;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2200;6;4;9.77;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2310;5;2;6.25;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2320;1;;1;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2510;5;1;5.3;0;1
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;1;;0.58;0;0
BLOCS_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;;1;1.08;0;0
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M100H;0;0;0;0;1
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M1030;1;2;2.21;0;0
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M200H;0;12;3.12;0;1
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2200;3;1;5.34;;
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2310;2;1;3.21;;
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2320;4;;2.91;;
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2510;5;;4.22;;
BLOCS_P;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;NAUT;;2;0.74;;
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M100H;3;4;5.3;;1
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M1030;9;;9;;1
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M200H;32;;64.15;;0
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2200;26;7;28.91;0;0
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2320;1;;0.59;0;1
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2510;4;;4.51;0;0
BLOCS_P;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;NAUT;24;4;24.17;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1030;4;;4;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;M200H;6;;6;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2200;10;;10;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2310;2;;2;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;1;;1;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4160;1;;1;0;0
BLOCS_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;NAUT;6;;6;0;0
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;M100H;;20;9.14;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;M1030;;13;6.5;1;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;M200H;;28;14;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N2200;27;3;25.95;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N2320;1;0;0.89;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N2510;7;2;5.03;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;N4160;1;2;1.66;0;1
BLOCS_P;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;NAUT;3;0;3.45;0;1
BLOCS_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M100H;0;3;0;0;0
BLOCS_P;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;0;11;0;0;1
