BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;PEN;;;;;0;;;;;;0;0;;0;0;0;;;;;;;0;;0;;0;;1;0;;927;9992;;;;864;795;0;0;2;0;2;1;1;1.2;;;39;6;43.5;31;3;4.5;0;0.73;2;0;2;6;1;0.5;29;3;31.1;22.6;3;0.5;0;0
PSY;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;TOT;1;;5;1;312;91;0;0;0;0;112500;170;0;0;3136;84282;27501;0;0;0;0;0;18153;0;0;2;14;43;3;90590;5256;9689;48311;2149;2575;357;12057;10203;1538;78;26;3;26.6;15;3;9.3;;;729;112;809.7;475.8;86;48.2;14.9;52.03;15;2;16;6;1;6.5;437;46;470.7;299;73;5.5;1.8;2.8
PSY;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;GEN;;;;;60;;;;;;21900;12;;;499;18344;;;;;;;2787;;;;;;;;;;;;;;391;;328;0;5;;5;;;;0;0;61;8;76.18;30.13;21.75;1.05;;;;;;;;;;;;;;;;
PSY;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;TOT;0;;;0;60;;;;;;21900;12;;;499;18344;;;;;;;2787;;;;;;;;;;;;;;391;;328;;5;;5;;;;;;61;8;76.18;30.13;21.75;1.05;;;;;;;;;;;;;;;;
PSY;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;GEN;;2;;;71;1;0;0;2;0;25185;36;4;0;885;20563;300;0;0;1596;0;144;7699;52;0;2;1;1;4;22905;10979;169;;107;1849;0;4121;3594;423;0;3;5;6.7;;2;1;1;1;98;20;110.54;92.14;0.18;3.44;;2.73;;;;;;;;;;;;;;
PSY;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;TOT;1;;0;0;71;1;0;0;2;0;25185;36;4;0;885;20563;300;0;0;1596;0;144;7699;52;0;2;1;1;4;22905;10979;169;0;107;1849;0;4121;3594;423;0;3;5;6.7;;2;1;;;98;20;110.54;92.14;0.18;3.44;;2.73;;;;;;;;;;;;;;
PSY;2021;030000061;CH DE MOULINS;030780092;GEN;;2;;;116;15;0;15;0;0;42340;37;1;4;832;30222;4531;;3986;;;;4237;218;1445;0;7;2;1;23320;1943;278;9033;1729;490;52;3762;3113;524;38;3;3;4.25;5;2;8.16;0;1;224;30;224.91;138.78;26.28;6;2.84;4.75;2;2;2.65;3;2;6.11;117;30;130.87;84.48;18.55;1.6;0;1.89
PSY;2021;030000061;CH DE MOULINS;030780092;INF;;1;;;19;26;;;0;0;6935;26;0;0;261;3777;3778;;;;;;4121;;;0;3;1;2;11739;426;2154;482;92;211;66;1030;880;50;2;1;2;1.87;2;0;1.32;0;0;84;13;92.22;41.97;9.59;4.07;2.46;10.56;1;2;1.52;1;0;1;26;10;35.13;0.4;4.77;0.57;0.21;1.78
PSY;2021;030000061;CH DE MOULINS;030780092;PEN;;;;;0;;;;;;;0;;;;;;;;;;;;;;0;0;;0;0;;0;0;;;;1;1;0;0;0;1;0.5;0;0;0;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
PSY;2021;030000061;CH DE MOULINS;030780092;TOT;1;;2;1;135;41;0;15;0;0;49275;63;1;4;1093;33999;8309;;3986;;;;8358;218;1445;0;10;3;3;35059;2369;2432;9515;1821;701;118;4742;3967;566;41;4;5;6.62;7;2;9.48;;;308;43;317.13;180.75;35.87;10.07;5.3;15.31;3;4;4.17;4;2;7.11;143;40;166;84.88;23.32;2.17;0.21;3.67
PSY;2021;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;;2;;;85;4;0;16;0;0;30476;35;0;0;747;22045;1255;0;3877;0;0;0;1927;0;48;3;3;0;1;28722;0;823;9582;4774;1009;0;2576;1947;556;9;5;4;7.91;;;;;1;146;16;155.17;96.89;18.79;7.5;0;3.86;4;3;6.4;;;;107;6;108.19;67.21;18.79;1;0;2.86
PSY;2021;030000087;CH JACQUES LACARIN VICHY;030780118;INF;;1;;;0;4;;;0;0;0;10;0;0;0;0;41;;;0;0;0;672;0;0;3;2;0;1;16151;0;1351;242;5;309;58;792;754;1;0;3;1;3.5;;;;;;29;11;31.05;6.68;0.07;5.69;2.91;9.31;;;;;;;0;0;0;0;0;0;0;0
PSY;2021;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;1;;1;0;85;8;0;16;0;0;30476;45;0;0;747;22045;1296;0;3877;0;0;0;2599;0;48;6;5;0;2;44873;0;2174;9824;4779;1318;58;3470;2807;557;9;8;5;11.41;;;;;;175;27;186.22;103.57;18.86;13.19;2.91;13.17;4;3;6.4;;;;107;6;108.19;67.21;18.79;1;0;2.86
PSY;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;GEN;;1;;;59;311;0;0;0;0;19695;0;0;0;327;13839;98329;0;0;0;0;230;0;0;0;1;0;1;1;596;21149;239;225;644;37;;836;463;223;23;2;2;3.4;3;2;4.24;0;1;74;12;83.67;51.27;21.42;2.94;1.86;6.18;0;4;0.84;0;5;2.13;44;14;52.81;29.96;20.18;1.47;0.43;0.78
PSY;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;TOT;1;;0;0;59;311;0;0;0;0;19695;0;0;0;327;13839;98329;0;0;0;0;230;0;0;0;1;0;1;1;596;21149;239;225;644;37;0;836;463;223;23;2;2;3.4;3;2;4.24;;;74;12;83.67;51.27;21.42;2.94;1.86;6.18;0;4;0.84;0;5;2.13;44;14;52.81;29.96;20.18;1.47;0.43;0.78
PSY;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;GEN;;2;;;47;;;;;;17155;25;;;475;12484;;;;;;;4986;;;1;;1;2;20611;0;11095;7052;0;418;;1073;746;281;;5;;5.29;;;;0;1;100;9;97.23;60.36;9.66;2.12;0.8;2.42;4;;4.29;;;;72;7;67.13;40.67;9.66;0.5;0.8;1.3
PSY;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;INF;;1;;;;4;;;;;;12;;;5;;971;;;;;;1538;;;2;;1;1;6136;2985;1093;;65;181;;1226;1194;5;;2;1;2.32;;;;0;1;23;8;25.04;4.97;;5.1;3.5;6.49;;;;;;;;;;;;;;
PSY;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;TOT;1;;;1;47;4;;;;;17155;37;;;480;12484;971;;;;;;6524;;;3;;2;3;26747;2985;12188;7536;65;599;;2347;1988;288;;6;1;7.61;;;;;;123;17;122.27;65.33;9.66;7.22;4.3;8.91;4;;4.29;;;;72;7;67.13;40.67;9.66;0.5;0.8;1.3
PSY;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;;2;;;110;10;;;;;39076;84;;;890;30328;1989;;;;;32;8636;;;;10;1;;36363;2886;;2978;881;732;1;5055;4290;496;18;11;5;14.45;0;1;0.56;1;0;187;46;207.87;129.52;42.09;10.21;0;7.64;9;2;9.7;0;1;0.59;126;32;139.12;70.47;42.09;4.28;0;3.86
PSY;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;INF;;1;;;;0;;;;;730;47;;;;;;;;;;;2217;;;;7;1;;21200;13;;6;12;3140;118;1618;1483;;;5;0;3.94;0;0;0;0;0;64;15;69.84;28.91;0;20.34;8.19;12.21;;;;;;;;;;;;;;
PSY;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;PEN;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;1;0.05;0;1;0.03;;;0;3;1.3;0.9;0;0.4;0;0;;;;;;;;;;;;;;
PSY;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TOT;1;;3;1;110;10;;;;;39806;131;;;890;30328;1989;;;;;32;10853;;;;17;2;;57563;2899;;2984;893;3872;119;6673;5773;496;18;16;6;18.44;0;2;0.59;;;251;64;279.01;159.33;42.09;30.95;8.19;19.85;9;2;9.7;0;1;0.59;126;32;139.12;70.47;42.09;4.28;0;3.86
PSY;2021;050000132;CH BUECH DURANCE;050007145;GEN;;1;;;68;12;18;;;;23253;18;1;1;1075;15674;1127;687;;;;;3034;0;347;;5;;2;23609;;11407;3650;48;1346;;3269;2683;584;;5;4;8.67;2;4;4.9;;;152;55;176.86;100.75;21.94;7.95;3.65;12.89;5;3;4.48;4;1;3.49;117;38;112.99;58.53;7.24;2.25;1.65;2.25
PSY;2021;050000132;CH BUECH DURANCE;050007145;INF;;1;;;8;4;;;;;2920;21;;;444;1287;0;;;;;;5683;;;;4;;6;14043;;10933;42;;492;182;1313;1134;130;;2;1;3.09;0;0;0;;;54;26;68.8;31.3;2.9;7.06;4.85;7.71;1;1;0.65;0;0;0;21;5;15.45;10.15;2.46;0.3;0.51;0.1
PSY;2021;050000132;CH BUECH DURANCE;050007145;TOT;1;;0;1;76;16;18;;;;26173;39;1;1;1519;16961;1127;687;;;;;8717;0;347;;9;;8;37652;;22340;3692;48;1838;182;4582;3817;714;;7;5;11.76;2;4;4.9;;;206;81;245.66;132.05;24.84;15.01;8.5;20.6;6;4;5.13;4;1;3.49;138;43;128.44;68.68;9.7;2.55;2.16;2.35
PSY;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;1;;;19;;4;;;;6935;12;2;;268;4074;;854;;;;;2039;0;;;1;;1;8891;;2009;;;;;856;635;168;;3;1;3.23;1;;0.49;;;30;24;46.19;36.41;;2.39;;2.42;;;;;;;;;;;;;;
PSY;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;1;;;0;19;;4;;;;6935;12;2;;268;4074;;854;;;;;2039;0;;;1;;1;8891;;2009;;;;;856;635;168;;3;1;3.23;1;;0.49;;;30;24;46.19;36.41;;2.39;;2.42;;;;;;;;;;;;;;
PSY;2021;050000454;LE FUTUR ANTERIEUR;050000645;INF;;;;;30;;;;;;10950;;;;110;8348;;;;;;;;;;;;;;;;;;;;;74;;;;1;1;1.2;;2;0.4;0;0;17;11;24.22;10.8;1;2;0.41;10.12;;;;;;;;;;;;;;
PSY;2021;050000454;LE FUTUR ANTERIEUR;050000645;TOT;0;;;0;30;;;;;;10950;;;;110;8348;;;;;;;;;;;;;;;;;;;;;74;;;;1;1;1.2;;2;0.4;;;17;11;24.22;10.8;1;2;0.41;10.12;;;;;;;;;;;;;;
PSY;2021;050000991;CENTRE MEDICAL CHANTOURS;050000546;GEN;;;;;40;;;;;;14600;;;;279;11388;;;;;;;;;;;;;;;;;;;;;279;;;;1;4;2.05;;2;0.22;0;0;16;44;27.7;12.78;2.76;0.83;0.18;1.64;;;;;;;;;;;;;;
PSY;2021;050000991;CENTRE MEDICAL CHANTOURS;050000546;TOT;0;;;0;40;;;;;;14600;;;;279;11388;;;;;;;;;;;;;;;;;;;;;279;;;;1;4;2.05;;2;0.22;;;16;44;27.7;12.78;2.76;0.83;0.18;1.64;;;;;;;;;;;;;;
PSY;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;1;;;33;;;;;;11074;10;2;;347;11074;;;;;;15;1833;1;;;1;6;1;12279;1565;3041;2019;817;1488;;1699;1422;237;12;0;9;3;6;4;3.05;;;56;19;62;43.07;2.81;3.98;1.41;1.01;0;0;0;6;4;3.05;38;11;42.4;25.61;2.14;0;0.6;0.15
PSY;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;INF;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;16;1.75;;;5;7;7.83;3.73;2.92;0;0;0;0;0;0;0;16;1.75;5;7;7.83;3.73;2.92;0;0;0
PSY;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;1;;0;1;33;;;;;;11074;10;2;;347;11074;;;;;;15;1833;1;;;1;6;1;12279;1565;3041;2019;817;1488;;1699;1422;237;12;0;9;3;6;20;4.8;;;61;26;69.83;46.8;5.73;3.98;1.41;1.01;0;0;0;6;20;4.8;43;18;50.23;29.34;5.06;0;0.6;0.15
PSY;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;;2;;;80;;;;;;29200;25;2;;653;23076;;;;;;;2945;;;1;3;2;0;14856;6524;0;1552;111;2096;0;3792;3336;456;64;13;3;14.7;;;;1;0;105;10;113.49;63.28;19.16;9.2;;4.3;;;;;;;76;7;81.08;42.51;15.71;5;;2.3
PSY;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;INF;;1;;;;;;;;;;10;;;0;0;;;;;;;757;;;3;6;1;1;16397;2374;3159;148;118;2199;287;1860;1860;0;;9;2;9.28;;;;0;0;24;22;37.07;6.6;;13.2;5.37;9.94;;;;;;;;;;;;;;
PSY;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TOT;1;;5;0;80;;;;;;29200;35;2;;653;23076;;;;;;;3702;;;4;9;3;1;31253;8898;3159;1700;229;4295;287;5585;5129;456;64;22;5;23.98;;;;;;129;32;150.56;69.88;19.16;22.4;5.37;14.24;;;;;;;76;7;81.08;42.51;15.71;5;;2.3
PSY;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;;2;;;58;;;;8;;21049;25;;1;420;13695;;;;1155;;;1676;;115;;2;1;;16724;1922;;1347;785;3179;24;2572;2059;314;8;7;1;7.69;1;1;1.14;1;0;84;63;118.26;60.27;24.45;5.68;0.15;5.69;0;7;5.46;1;;1;48;36;75.78;39.58;17.45;2.3;0.15;1.65
PSY;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;INF;;1;;;;;;;;;;10;;;;;;;;;;;1336;;;;3;1;3;13905;20;4119;179;159;1590;206;1364;1334;;;6;1;6.53;;;;0;0;37;47;54.44;12.4;;10.14;10.68;12.94;;;0;;;;;;;;;;;
PSY;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;16;14;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;1;;2;1;58;;;;8;;21049;35;;1;420;13695;;;;1155;;;3012;;115;;5;2;3;30629;1942;4119;1542;944;4769;230;3952;3407;316;8;13;1;14.22;1;1;1.14;;;121;110;172.7;72.67;24.45;15.82;10.83;18.63;0;7;5.46;1;;1;48;36;75.78;39.58;17.45;2.3;0.15;1.65
PSY;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;GEN;;;;;61;;;;;;22326;20;;;601;20770;;;;;;;4741;;;;;;;;;;;;;;633;;461;1;1;3;3.5;;;;0;0;31;3;32.2;16;15;1.2;;;1;3;2.5;;;;;;;;;;;
PSY;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;TOT;0;;;0;61;;;;;;22326;20;;;601;20770;;;;;;;4741;;;;;;;;;;;;;;633;;461;1;1;3;3.5;;;;;;31;3;32.2;16;15;1.2;;;1;3;2.5;;;;;;;;;;;
PSY;2021;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;GEN;;;;;64;;;;;;23424;;;;666;20715;;;;;;;;;;;;;;;;;;;;;666;;;;3;;;;1;0.4;0;0;29;20;40.23;12.8;6;0.94;;1.42;;;;;;;;;;;;;;
PSY;2021;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;TOT;0;;;0;64;;;;;;23424;;;;666;20715;;;;;;;;;;;;;;;;;;;;;666;;;;3;;;;;0.4;;;;;40.23;12.8;6;0.94;;1.42;;;;;;;;;;;;;;
PSY;2021;060780541;CLINIQUE LA GRANGEA;060000262;GEN;;;;;67;;;;;;24455;;;;812;21871;;;;;;;;;;;;;;;;;;;;;664;;664;;3;;2;;3;1.28;;;25;10;27.08;12.68;11.65;0.81;0.34;1.6;3;;2;;3;1.28;25;10;27.08;12.68;11.65;0.81;0.34;1.6
PSY;2021;060780541;CLINIQUE LA GRANGEA;060000262;TOT;0;;;0;67;;;;;;24455;;;;812;21871;;;;;;;;;;;;;;;;;;;;;664;;664;;3;;2;;3;1.28;;;25;10;27.08;12.68;11.65;0.81;0.34;1.6;3;;2;;3;1.28;25;10;27.08;12.68;11.65;0.81;0.34;1.6
PSY;2021;060780749;CLINIQUE SAINT LUC;060000395;GEN;;;;;47;;;;;;17155;15;;;449;14448;;;;;;;2665;;;;;;;;;;;;;;351;;351;;;8;;;4;;0;0;22;14;31.58;9.6;4;0.7;0.26;0.2;;8;;;4;;;;;;;;;
PSY;2021;060780749;CLINIQUE SAINT LUC;060000395;TOT;0;;;0;47;;;;;;17155;15;;;449;14448;;;;;;;2665;;;;;;;;;;;;;;351;;351;;;8;;;4;;;;22;14;31.58;9.6;4;0.7;0.26;0.2;;8;;;4;;;;;;;;;
PSY;2021;060780996;CHS SAINTE MARIE NICE;630786754;GEN;;3;;;277;28;26;;;30;104360;154;;;1721;97156;5016;5517;;;3818;;13994;;;10;10;;9;85211;;28234;13701;326;746;;8278;;1277;;26;12;32.14;11;1;11.55;0;1;477;50;520.5;276.73;170.28;25.45;3.05;43.04;15;1;10.55;9;;7.88;352;23;359.21;178.07;157.6;6.09;;14.74
PSY;2021;060780996;CHS SAINTE MARIE NICE;630786754;PEN;;;;;;;;;;;;12;;;;;;;;;;;1108;;;;;;3;;;785;10077;;;;1292;;;;2;;2.11;;;;;;11;2;14.06;9.61;;2.07;;2.39;;;;;;;;;;;;;;
PSY;2021;060780996;CHS SAINTE MARIE NICE;630786754;TOT;1;;4;1;277;28;26;;;30;104360;166;;;1721;97156;5016;5517;;;3818;;15102;;;10;10;;12;85211;;29019;23778;326;746;;9485;6826;1277;;28;12;34.25;11;1;11.55;;;488;52;534.56;286.34;170.28;27.52;3.05;45.43;15;1;10.55;9;;7.88;352;23;359.21;178.07;157.6;6.09;;14.74
PSY;2021;060781929;CLINIQUE DE LA COSTIERE;060000858;GEN;;;;;75;;;;;;27375;15;;;773;27392;;;;;;;6836;;;;;;;;;;;;;;638;;582;;;10;10;;1;0.5;0;0;33;7;44.87;19.25;10.33;1.03;0.17;1.34;;10;10;;1;0.5;;;;;;;;
PSY;2021;060781929;CLINIQUE DE LA COSTIERE;060000858;TOT;0;;;0;75;;;;;;27375;15;;;773;27392;;;;;;;6836;;;;;;;;;;;;;;638;;582;;;10;10;;1;0.5;;;33;7;44.87;19.25;10.33;1.03;0.17;1.34;;10;10;;1;0.5;;;;;;;;
PSY;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;1;;;70;;;;;;22741;25;;;545;20529;;;;;;;3149;;;1;;1;;11446;2585;;1140;44;2566;;2616;2226;386;4;9;6;7.68;0;1;0.1;;1;66;5;67.3;32.59;28.4;1.5;;;3;5;4.13;;;;56;3;55.97;23.6;27.4;1;;
PSY;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;1;;;0;70;;;;;;22741;25;;;545;20529;;;;;;;3149;;;1;;1;;11446;2585;;1140;44;2566;;2616;2226;386;4;9;6;7.68;0;1;0.1;;;66;5;67.3;32.59;28.4;1.5;;;3;5;4.13;;;;56;3;55.97;23.6;27.4;1;;
PSY;2021;060800174;FONDATION LENVAL;060800174;INF;;3;;;18;;;;;;6570;82;;;257;4368;;;;;;;13060;;;2;12;2;;36558;750;;;0;10;11;5127;4046;136;;20;11;24.22;;;;0;1;190;79;172;52.57;12.28;35.14;19.66;20.38;1;6;4.89;;;;;;;;;;;
PSY;2021;060800174;FONDATION LENVAL;060800174;TOT;1;;0;0;18;;;;;;6570;82;;;257;4368;;;;;;;13060;;;2;12;2;;36558;750;;;0;10;11;5127;4046;136;;20;11;24.22;;;;;;190;79;172;52.57;12.28;35.14;19.66;20.38;1;6;4.89;;;;;;;;;;;
PSY;2021;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;GEN;;2;;;;;;;;;;15;;;;;;;;;;;1946;;;0;2;0;1;12378;24;309;421;13;12;0;1895;1698;;;;;;;;;0;0;10;6;18.26;7.16;1;2;1;1;;;;;;;;;;;;;;
PSY;2021;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;2912;0;0;5;0;0;1;202;198;;;;;0.5;;;;0;0;4;;4.31;1.11;;0.99;2.04;0.16;;;;;;;;;;;;;;
PSY;2021;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;TOT;1;;0;0;;;;;;;;15;;;;;;;;;;;1946;;;0;3;0;1;15290;24;309;426;13;12;1;2041;1853;;;;;0.5;;;;;;14;6;22.57;8.27;1;2.99;3.04;1.16;;;;;;;;;;;;;;
PSY;2021;070780317;CHS SAINTE-MARIE PRIVAS;630786754;GEN;;5;;;231;15;;;;;82855;77;5;;2696;71985;2941;;;;;;10853;0;;;6;13;3;41252;4478;4632;2679;2072;1362;;7470;5757;1501;59;9;11;17.17;6;5;7.79;0;1;382;88;434.85;244.84;98.87;15.91;3.25;16.78;2;11;10.4;5;3;5.69;283;56;322.19;166.98;94.21;5.7;0.9;7.98
