BOR;AN;FI;RS;GRP;FI_ET;RS_ET;FI_EJ
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010008217;HDJ ADULTES BOURG-EN-BRESSE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010008993;HDJ ENFANTS LA PASSERELLE BOURG;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009124;AT OYONNAX;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009934;CMP ADULTES REHABILITATION;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009942;CATTP UAE PSYCHIATRIE GENERALE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009967;CMP ENFANTS-ADOS CHATILLON;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009983;CATTP ADOS ESCAL'ADO BOURG-EN-BRESSE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010009991;CATTP ENFANTS-ADO AMBERIEU;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010010007;CATTP ADULTES MONTREVEL;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010012201;CATTP ADULTES BELLEY;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010786705;CMP ENFANTS-ADOS ST MAURICE DE BEYNOST;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010786713;CMP ADULTES BELLEY;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010786721;CMP ENFANTS-ADO AMBERIEU;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010786754;CMP ADULTES BELLEGARDE-SUR VALSERINE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010787869;CMP ENFANTS-ADO BELLEGARDE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010787885;CMP ADULTES BOURG ESPACE VILLARD;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010787893;CMP URGENCES LIAISON CH FLEYRIAT;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010787927;CMP ADULTES FERNEY-VOLTAIRE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010787968;CMP ENFANTS-ADOS TREVOUX;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010788248;CMP ENFANTS-ADO BELLEY;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010788347;CATTP ENFANTS-ADOS FERNEY-VOLTAIRE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010788677;CMP ADULTES OYONNAX;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010788792;CMP ADULTES MONTREVEL;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789311;CATTP ADULTES KAIROS;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789451;CATTP ADULTES OYONNAX;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789634;CATTP ADULTES CHATILLON;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789642;CMP ADULTES CHATILLON;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789675;CMP ADULTES AMBERIEU;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789691;CMP ADULTES MONTLUEL;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789709;CATTP ADULTES MONTLUEL;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789725;CMP ENFANTS-ADOS OYONNAX;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010789733;CATTP ENFANTS-ADOS OYONNAX;010783009
STB;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;09;;;750056335
STB;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;04;;;010008407
STB;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;09;;;010010718
STB;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;09;;;010007292
STB;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;09;;;010783009
STB;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;04;010780823;USLD HOTEL DIEU;010780054
STB;2021;010009702;USLD EMILE PELICAND;04;;;010780054
STB;2021;010010171;CLINIQUE DE CHATILLON;15;;;010011559
STB;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;09;;;010000222
STB;2021;010780195;CLINIQUE CONVERT;09;;;010000156
STB;2021;010780203;HOPITAL PRIVE D'AMBERIEU;09;;;010010718
STB;2021;010780252;CRF L'ORCET;09;;;010783009
STB;2021;010780278;CENTRE DE REEDUCATION MANGINI;09;;;010783009
STB;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;09;;;750005068
STB;2021;010780492;CRF ROMANS-FERRARI;09;;;360000707
STB;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;09;;;310021381
STB;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;09;;;750721334
STB;2021;010789576;USLD;04;;;010780096
STB;2021;010789717;USLD CH D'OYONNAX;04;;;010008407
STB;2021;020000089;CH GUISE;04;020009007;USLD CH GUISE;020000022
STB;2021;020000097;CH LA FÈRE;04;;;020000048
STB;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;04;;;020000055
STB;2021;020000162;CH SAINT-QUENTIN;04;020009874;USLD CH SAINT-QUENTIN;020000063
STB;2021;020000246;CH VERVINS;04;;;020000071
STB;2021;020000303;HOPITAL VILLIERS SAINT DENIS;09;;;750814030
STB;2021;020000360;CLINIQUE COURLANCY SOISSONS;09;;;020014742
STB;2021;020000386;CLINIQUE DE LA ROSERAIE;15;;;020000600
STB;2021;020000394;CH LAON;04;;;020000253
STB;2021;020000519;CH SOISSONS;04;;;020000261
STB;2021;020000535;CH CHAUNY;04;020004727;USLD CH CHAUNY;020000287
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020000154;HJ EPSMD SAINT-QUENTIN;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020002051;FOYER THÉRAPEUTIQUE EPSM AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020002739;LITS DE PROXIMITÉ EPSMD AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020002788;CENTRE PSYCHOTHÉRAPIQUE EPSMD AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020003893;CATTP EPSMD BELLEU;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020003919;HJ EPSMD ÉTAMPES-SUR-MARNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020004529;HJ EPSMD HIRSON;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020004990;CENTRE POUR ADOLESCENTS EPSMD AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020005088;HJ EPSMD LAON;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020006151;HJ EPSMD LA FÈRE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020007183;CENTRE BORROMEE EPSM AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008793;HJ EPSMD TERGNIER;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008868;CMP EPSMD HIRSON ENFANT;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008876;CMP EPSMD SOISSONS ADULTE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008884;CMP EPSMD CHÂTEAU-THIERRY ENFANT;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008892;CMP EPSMD LAON ADULTE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008900;CMP EPSMD CHAUNY ENFANT;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008918;CMP EPSMD SAINT-QUENTIN LYON;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008934;CMP EPSMD GUISE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008942;CMP EPSMD BOHAIN-EN-VERMANDOIS;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008967;CMP EPSMD SOISSONS ENFANT;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020008983;CMP EPSMD CHAUNY ADULTE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020009494;CENTRE EPSMD02 CHAUNY;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020012605;UNITE DE PROXIMITÉ CHARLES LASEGUE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020012845;HJ EPSMD CROUY;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020013264;CMP EPSMD LAON ENFANT;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020014098;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020014502;URCA EPSMD AISNE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020014510;CMP EPSMD HIRSON ADULTE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020014536;CMP EPSMD CHÂTEAU-THIERRY ADULTE;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020014544;CMP EPSMD TERGNIER;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020015061;CATTP EPSMD CHÂTEAU-THIERRY;020000295
STB;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;14;020015319;CMP EPSMD SAINT-QUENTIN CORDIER;020000295
STB;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;04;;;020003620
STB;2021;020001061;CH CHÂTEAU-THIERRY;04;;;020004404
STB;2021;020001087;CH HIRSON;04;;;020004495
STB;2021;020003877;SSR CH LAON;04;;;020000253
STB;2021;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;15;;;590805065
STB;2021;020004297;HAD AMSAM SOISSONS;09;;;020005179
STB;2021;020004677;USLD CH SOISSONS;04;;;020000261
STB;2021;020005476;USLD CH LAON;04;;;020000253
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020014627;CATTP CH SAINT-QUENTIN VOLTAIRE;020000063
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020014635;CATTP CH SAINT-QUENTIN GUISE;020000063
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020014643;CMP CH SAINT-QUENTIN;020000063
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020014676;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020015079;CATTP CH SAINT-QUENTIN BISSON;020000063
STB;2021;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;020015194;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;04;;;020002085
STB;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;09;;;020001632
STB;2021;020010310;SSR AURORE BUCY-LE-LONG;09;;;750719361
STB;2021;020010898;HAD CRF CHAUNY;09;;;750721334
STB;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;09;;;590805065
STB;2021;020016341;SSR RENAISSANCE SOISSONS;09;;;750814030
STB;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;04;;;020000063
STB;2021;030000012;CH DE NERIS LES BAINS;04;;;030780100
STB;2021;030000061;CH DE MOULINS;04;030007835;MAISON COMMUNAUTAIRE;030780092
STB;2021;030000061;CH DE MOULINS;04;030007843;HOPITAL DE JOUR DENIS PAPIN;030780092
STB;2021;030000061;CH DE MOULINS;04;030007850;CENTRE DE POST-CURE;030780092
STB;2021;030000061;CH DE MOULINS;04;030007868;HOPITAL DE JOUR CLAUDE BERNARD;030780092
STB;2021;030000061;CH DE MOULINS;04;030007876;HOPITAL DE JOUR ADOLESCENTS VILLA;030780092
STB;2021;030000061;CH DE MOULINS;04;030008114;CMP ADULTES MOULINS;030780092
STB;2021;030000061;CH DE MOULINS;04;030008122;CMP ADULTES DOMPIERRE SUR BESBRE;030780092
STB;2021;030000061;CH DE MOULINS;04;030008130;CMP ADULTES LE DONJON;030780092
STB;2021;030000061;CH DE MOULINS;04;030008148;CMP ADULTES BOURBON L'ARCHAMBAULT;030780092
STB;2021;030000061;CH DE MOULINS;04;030008155;CMP ADULTES SAINT POURCAIN SUR SIOULE;030780092
STB;2021;030000061;CH DE MOULINS;04;030008163;CMP ENFANTS YZEURE;030780092
STB;2021;030000061;CH DE MOULINS;04;030008171;CMP ENFANTS DOMPIERRE SUR BESBRE;030780092
STB;2021;030000061;CH DE MOULINS;04;030008189;CMP ENFANTS POURCAIN SUR SIOULE;030780092
STB;2021;030000061;CH DE MOULINS;04;030008197;CATTP ADULTES MOULINS;030780092
STB;2021;030000061;CH DE MOULINS;04;030008205;CATTP ENFANTS YZEURE;030780092
STB;2021;030000061;CH DE MOULINS;04;030780589;CHS D'YZEURE;030780092
STB;2021;030000061;CH DE MOULINS;04;030785190;UNITE DE SOINS DE LONGUE DUREE;030780092
STB;2021;030000079;CH DE MONTLUCON;04;030781603;CENTRE DE SOINS LONGUE DUREE COURTAIS;030780100
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008312;CMP ADULTES VICHY PSY SUJET AGE;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008320;CMP ADULTES VICHY OUEST;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008338;CMP ADULTES VICHY EST;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008346;CMP ADULTES GANNAT;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008353;CMP ADULTES LAPALISSE;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008361;CMP ADULTES LE MAYET DE MONTAGNE;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008379;CMP ADULTES VARENNES SUR ALLIER;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008387;CMP ENFANTS VICHY;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008395;CMP ENFANTS GANNAT;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008403;CMP ENFANTS LAPALISSE;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008411;CMP ENFANTS LE MAYET DE MONTAGNE;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008429;CMP ADOLESCENTS CUSSET;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008437;CATTP ADULTES INTERSECTORIEL VICHY;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008445;CATTP ENFANTS VICHY;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008452;MAISON DES ADOLESCENTS CUSSET;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030008460;CATTP ADOLESCENTS CUSSET;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030783583;ULSD CH JACQUES LACARIN VICHY;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030785042;HOPITAL DE JOUR - VICHY-OUEST-;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030785869;ESPACE CANGUILHEM;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030785877;CTRE POST CURE MALADES MENTAUX;030780118
STB;2021;030000087;CH JACQUES LACARIN VICHY;04;030785885;HOPITAL DE JOUR -PSY INFANTJUV-;030780118
STB;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;04;;;030780126
STB;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;04;030001234;USLD D'AINAY LE CHATEAU;030780282
STB;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;04;;;030002158
STB;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;04;;;030002158
STB;2021;030780548;POLYCLINIQUE LA PERGOLA;09;;;030000194
STB;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;09;;;030000426
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008213;CMP ADULTES MONTLUCON OUEST;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008221;CMP ADULTES MONTLUCON EST;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008239;CMP ADULTES COMMENTRY;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008247;CMP ENFANTS MONTLUCON;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008254;CMP ENFANTS COMMENTRY;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008262;CMP ENFANTS COSNE D'ALLIER;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008270;CATTP ADULTES MONTLUCON OUEST;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008288;CATTP ADULTES MONTLUCON EST;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008296;CATTP ENFANTS MONTLUCON;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030008304;MAISON DES ADOLESCENTS;030780100
STB;2021;030781637;SERVICE DE PSYCHIATRIE CHATELARD;14;030783989;CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;030780100
STB;2021;030785430;POLYCLINIQUE SAINT-ODILON;09;;;030785422
STB;2021;040000036;EPS PIERRE GROUES DE BARCELONNETTE;04;;;040780132
STB;2021;040000044;EPS DUCELIA DE CASTELLANE;04;;;040780140
STB;2021;040000069;CHI MANOSQUE SITE FORCALQUIER;04;;;040780215
STB;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;04;;;040780215
STB;2021;040000119;EPS LUMIERE DE RIEZ;04;;;040780231
STB;2021;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;04;;;040780249
STB;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;04;;;050002948
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040005035;HOPITAL DE JOUR CASA CH DIGNE;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040005043;HOPITAL DE JOUR CH DIGNE;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040005209;HOP DE JOUR CMP CH DIGNE;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040787772;CENTRE HOSPIT SPE PSY DIGNE LES BAINS;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040788218;HOPITAL DE JOUR YVES ARNOUX MANOSQUE;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040788580;HOPITAL DE JOUR PSY IJ CHATEAU ARNOUX;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040788887;HOPITAL DE JOUR PSY GEN SISTERON;040788879
STB;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;040789232;HJ VILLA VERTE FORCALQUIER;040788879
STB;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;09;;;040000192
STB;2021;040780405;CENTRE DES CARMES;09;040002248;CENTRE DES CARMES USLD;040000168
STB;2021;040780470;CLINIQUE TOUTES AURES;09;;;040000192
STB;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;09;;;040000200
STB;2021;040780520;KORIAN LE VERDON;09;;;750056335
STB;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;09;;;130037815
STB;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;04;;;040780215
STB;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;09;;;130037815
STB;2021;050000058;CENTRE MEDICAL SSR RIO VERT;09;;;050000033
STB;2021;050000066;CENTRE MEDICAL LA SOURCE;09;;;050000082
STB;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;09;;;050006931
STB;2021;050000132;CH BUECH DURANCE;04;050002369;CMP HELENE CHAIGNEAU;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050003748;LE CORTO MALTESE PSY INFANTO JUVENILE;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050005263;HOPITAL DE JOUR PSY INF JUV PRAMBULLE;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050005271;HOPITAL DE JOUR LES ISLES PSY INF JUV;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050005701;CH BUECH USLD;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007202;CATTP HELENE CHAIGNEAU;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007210;CMP CATTP LE CLUB;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007228;CMP LE CLUB;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007236;CMP PETIT NICE;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007244;CATTP PETIT NICE;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007251;CMP VEYNES;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007269;CATTP VEYNES;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007277;CMP LE RELAIS;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007285;ATELIER THERAPEUTIQUE ESPACES VERTS;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007293;ATELIER THERAPEUTIQUE L'AUJOUR;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007301;CMP ADOS LADOUCETTE;050007145
STB;2021;050000132;CH BUECH DURANCE;04;050007319;CATTP ADOS LADOUCETTE;050007145
STB;2021;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;04;;;050000108
STB;2021;050000231;CH DES ESCARTONS DE BRIANCON;04;050005958;CH DE BRIANCON SLD;050000116
STB;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;04;050006105;CH D'EMBRUN SLD;050000124
STB;2021;050000298;LA GUISANE;09;;;050000496
STB;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;04;050006071;CHI DES ALPES DU SUD SLD DE GAP;050002948
STB;2021;050000454;LE FUTUR ANTERIEUR;15;;;050000645
STB;2021;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;09;;;050000678
STB;2021;050000637;CLINIQUE MONTJOY;09;;;050001163
STB;2021;050000991;CENTRE MEDICAL CHANTOURS;09;;;050000546
STB;2021;050001064;CENTRE MEDICAL LA DURANCE;09;;;050000561
STB;2021;050002351;CENTRE RHONE AZUR GAP;09;;;130037815
STB;2021;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;04;;;060780327
STB;2021;060000296;LA MAISON DU MINEUR;09;;;060780640
STB;2021;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;04;;;060780657
STB;2021;060000411;CH DU PAYS DE LA ROUDOULE PUGET;04;;;060780780
STB;2021;060000478;CENTRE HOSPITALIER DE GRASSE;04;060787801;HOPITAL DU PETIT PARIS;060780897
STB;2021;060000478;CENTRE HOSPITALIER DE GRASSE;04;060790680;CH DE GRASSE CENTRE DE LONG SEJOUR;060780897
STB;2021;060000486;CH SAINT ELOI DE SOSPEL;04;;;060780905
