BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTINT
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;IRM;1;1;1757;;12;3462;0
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;LITHO;1;1;105;;;;
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;MAMM;1;1;;;;1878;
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;RADIO;5;5;14440;;;19503;1
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;SCAN;2;2;10450;;119;8604;1
IMAGES;2021;020000162;CH SAINT-QUENTIN;020000063;VASC;2;2;2981;;;;
IMAGES;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;RADIO;2;2;1707;;;;0
IMAGES;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;RADIO;3;;;;;;
IMAGES;2021;020000394;CH LAON;020000253;MAMM;1;1;;;;302;
IMAGES;2021;020000394;CH LAON;020000253;RADIO;4;4;5033;;;14582;0
IMAGES;2021;020000394;CH LAON;020000253;SCAN;1;1;6108;;;6738;0
IMAGES;2021;020000519;CH SOISSONS;020000261;IRM;2;2;714;;;4788;0
IMAGES;2021;020000519;CH SOISSONS;020000261;MAMM;1;1;;;;925;
IMAGES;2021;020000519;CH SOISSONS;020000261;RADIO;3;3;2877;;;15781;
IMAGES;2021;020000519;CH SOISSONS;020000261;SCAN;2;2;1995;;;8835;1
IMAGES;2021;020000519;CH SOISSONS;020000261;dtIRM2;1;1;383;;;2433;0
IMAGES;2021;020000535;CH CHAUNY;020000287;RADIO;2;2;3515;;;6978;0
IMAGES;2021;020000535;CH CHAUNY;020000287;SCAN;1;1;3086;;;6666;0
IMAGES;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;RADIO;1;1;890;;;;1
IMAGES;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;RADIO;1;1;13131;;;;
IMAGES;2021;020001061;CH CHÂTEAU-THIERRY;020004404;IRM;2;2;298;;;2746;0
IMAGES;2021;020001061;CH CHÂTEAU-THIERRY;020004404;RADIO;2;2;6779;;;11858;0
IMAGES;2021;020001061;CH CHÂTEAU-THIERRY;020004404;SCAN;1;1;5209;;;3174;0
IMAGES;2021;020001087;CH HIRSON;020004495;RADIO;2;2;2105;;;;
IMAGES;2021;020001087;CH HIRSON;020004495;SCAN;1;1;6585;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;CAM;2;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;IRM;2;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;MAMM;1;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;RADIO;5;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SCAN;1;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;TOMO;1;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;dtIRM1;1;;;;;;
IMAGES;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;dtIRM2;1;;;;;;
IMAGES;2021;030000061;CH DE MOULINS;030780092;IRM;1;1;568;0;0;3064;0
IMAGES;2021;030000061;CH DE MOULINS;030780092;LITHO;1;1;114;;;114;1
IMAGES;2021;030000061;CH DE MOULINS;030780092;MAMM;1;1;;;;415;
IMAGES;2021;030000061;CH DE MOULINS;030780092;RADIO;5;5;7862;0;0;20455;0
IMAGES;2021;030000061;CH DE MOULINS;030780092;SCAN;2;2;13870;0;0;21937;1
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;CAM;1;1;397;10;;7524;0
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;IRM;1;1;625;3;;4180;0
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;MAMM;1;1;;;;259;
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;RADIO;3;3;10640;144;;18650;0
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;SCAN;2;2;8728;111;;4933;1
IMAGES;2021;030000079;CH DE MONTLUCON;030780100;VASC;1;1;815;0;;;1
IMAGES;2021;030000087;CH JACQUES LACARIN VICHY;030780118;IRM;2;2;898;0;4467;9361;0
IMAGES;2021;030000087;CH JACQUES LACARIN VICHY;030780118;MAMM;1;1;;;;2355;
IMAGES;2021;030000087;CH JACQUES LACARIN VICHY;030780118;RADIO;3;3;6681;0;0;27358;1
IMAGES;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SCAN;2;2;3130;0;0;26205;1
IMAGES;2021;030000087;CH JACQUES LACARIN VICHY;030780118;VASC;2;2;3528;0;0;0;1
IMAGES;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;SCAN;1;;;;;;
IMAGES;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;LITHO;1;;;;;;
IMAGES;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;RADIO;1;;;;;;
IMAGES;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;SCAN;1;;;;;;
IMAGES;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;VASC;1;;;;;;
IMAGES;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;LITHO;1;1;316;0;0;0;
IMAGES;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;IRM;1;1;435;;;311;1
IMAGES;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;LITHO;1;1;8;;;24;1
IMAGES;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;RADIO;2;2;6327;;;12295;1
IMAGES;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;SCAN;2;2;6366;;;2514;1
IMAGES;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;RADIO;1;1;351;;;6991;1
IMAGES;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SCAN;1;1;580;;;4899;1
IMAGES;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;IRM;1;1;362;;;679;0
IMAGES;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;RADIO;2;2;3688;;;12666;1
IMAGES;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;SCAN;1;1;3864;;;1290;1
IMAGES;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;RADIO;1;1;297;;;;
IMAGES;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;RADIO;3;3;1;;;;
IMAGES;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;SCAN;1;1;;;;;
IMAGES;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;RADIO;2;2;1202;;;6373;
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;CAM;1;0;;;;;
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;IRM;2;1;672;;;4405;0
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;LITHO;1;1;18;0;0;0;0
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MAMM;1;1;;;;629;
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;RADIO;4;4;5060;;;14941;1
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SCAN;1;1;2753;;;9935;1
IMAGES;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TOMO;1;0;;;;;
IMAGES;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;IRM;1;1;593;;;3185;
IMAGES;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;RADIO;4;4;6948;;;29750;
IMAGES;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SCAN;2;0;3870;;;8581;
IMAGES;2021;060000486;CH SAINT ELOI DE SOSPEL;060780905;RADIO;1;0;;;;;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;IRM;2;2;697;;;5947;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;MAMM;1;1;;;;5001;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;RADIO;3;3;8006;;;24017;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SCAN;2;2;6218;;;14988;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;VASC;1;1;2311;;;0;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;dtIRM1;1;1;261;;;1722;
IMAGES;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;dtIRM2;1;1;436;;;2225;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;CAM;3;3;859;;;4564;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;IRM;1;1;398;;;4253;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;MAMM;2;2;;;;12452;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;RADIO;1;1;2854;;;1225;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SCAN;1;1;1432;;;7710;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;TOMO;1;1;263;;;6123;
IMAGES;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;dtIRM1;;;;;;;1
IMAGES;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;IRM;2;2;1772;;;4550;0
IMAGES;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;RADIO;4;4;11767;84;;18595;0
IMAGES;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;SCAN;2;2;11277;31;;9310;1
IMAGES;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;VASC;2;2;1591;;;;1
IMAGES;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;dtIRM2;1;1;878;;;3921;
IMAGES;2021;060002102;CH LA PALMOSA DE MENTON;060791761;IRM;1;1;272;0;0;5806;0
IMAGES;2021;060002102;CH LA PALMOSA DE MENTON;060791761;MAMM;1;1;;;;369;
IMAGES;2021;060002102;CH LA PALMOSA DE MENTON;060791761;RADIO;2;2;3432;0;0;10766;0
IMAGES;2021;060002102;CH LA PALMOSA DE MENTON;060791761;SCAN;1;1;3727;0;0;6391;0
IMAGES;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;RADIO;1;1;847;;;1268;
IMAGES;2021;060780459;CRF ORSAC MONT FLEURI;010783009;RADIO;1;1;402;16;;;1
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;CAM;3;;;;;;
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;IRM;2;;;;;;0
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;MAMM;1;;;;;;
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;RADIO;1;;;;;;
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;SCAN;2;;;;;;
IMAGES;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;VASC;2;;;;;;
IMAGES;2021;060780590;CLINIQUE DU PALAIS;060000270;RADIO;2;;;;;;
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;IRM;2;2;218;;;22645;0
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;LITHO;1;1;229;;;;
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;RADIO;2;2;16913;;;10223;1
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;SCAN;2;2;3304;;;24897;1
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;VASC;5;5;1848;;;;1
IMAGES;2021;060780715;CLINIQUE SAINT GEORGE;060000361;dtIRM1;1;1;50;;;11490;0
IMAGES;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;LITHO;1;;;;;;
IMAGES;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;RADIO;2;;;;;;
IMAGES;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SCAN;1;;;;;;
IMAGES;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;VASC;1;;;;;;
IMAGES;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;RADIO;1;1;358;;;;
IMAGES;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;IRM;1;1;1166;;10684;6032;
IMAGES;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;SCAN;1;1;1947;;13784;2714;
IMAGES;2021;060780996;CHS SAINTE MARIE NICE;630786754;RADIO;1;1;785;;;;0
IMAGES;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;RADIO;5;5;2072;;;;
IMAGES;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;SCAN;1;1;2604;;;;
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;CAM;;;;;;;1
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;IRM;3;3;5146;253;50;10150;0
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;LITHO;1;1;6;;;3;1
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;RADIO;8;8;36152;484;85;47222;0
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SCAN;3;3;29127;1575;139;21018;1
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOMO;;;;;;;1
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;VASC;2;2;1322;85;15;994;1
IMAGES;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;dtIRM2;3;3;895;152;18;5033;0
IMAGES;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;RADIO;1;1;1832;4;4;;
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;CAM;1;1;365;1479;19;3572;0
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;IRM;1;1;714;28;18;4622;0
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;RADIO;2;2;8595;7;1;1295;0
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SCAN;2;2;6065;73;126;6183;1
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOMO;1;1;252;566;15;3085;0
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;VASC;1;1;3182;33;278;598;1
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;dtIRM1;;;;;;;1
IMAGES;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;dtIRM2;;;;;;;1
IMAGES;2021;060789674;CENTRE HELIO MARIN;130037815;RADIO;1;1;2367;;;;
IMAGES;2021;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;RADIO;1;1;144;1;;;0
IMAGES;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;RADIO;2;2;5476;;;;0
IMAGES;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;CAM;1;;;;;;
IMAGES;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;IRM;2;;;;;;
IMAGES;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SCAN;2;;;;;;
IMAGES;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;VASC;3;3;6827;102;0;0;1
IMAGES;2021;060800174;FONDATION LENVAL;060800174;IRM;1;1;39;595;;8324;
IMAGES;2021;060800174;FONDATION LENVAL;060800174;SCAN;1;1;2;993;;8284;
IMAGES;2021;070000013;CH DE PRIVAS ARDECHE;070002878;MAMM;1;0;;;;;
IMAGES;2021;070000013;CH DE PRIVAS ARDECHE;070002878;RADIO;2;2;9034;;;7062;1
IMAGES;2021;070000013;CH DE PRIVAS ARDECHE;070002878;SCAN;1;1;3408;;;9034;1
IMAGES;2021;070000070;CH DU CHEYLARD;070780150;RADIO;1;1;277;;;;
IMAGES;2021;070000096;HOPITAL DE MOZE;070780184;RADIO;1;;;;;;
IMAGES;2021;070000179;CH ARDECHE NORD;070780358;IRM;1;1;292;;;5515;0
IMAGES;2021;070000179;CH ARDECHE NORD;070780358;MAMM;1;1;;;;2302;
IMAGES;2021;070000179;CH ARDECHE NORD;070780358;RADIO;3;3;5058;;;19741;0
IMAGES;2021;070000179;CH ARDECHE NORD;070780358;SCAN;1;1;1428;;;10998;0
IMAGES;2021;070000187;CH DE LAMASTRE;070780366;RADIO;1;1;240;98;0;2106;0
IMAGES;2021;070000195;CH DE TOURNON SUR RHONE;070780374;IRM;1;;;;;;
IMAGES;2021;070000195;CH DE TOURNON SUR RHONE;070780374;RADIO;1;1;480;47;0;68;0
IMAGES;2021;070000195;CH DE TOURNON SUR RHONE;070780374;dtIRM2;1;;;;;;
IMAGES;2021;070000609;CH D'AUBENAS;070005566;IRM;1;1;268;;1146;5641;
IMAGES;2021;070000609;CH D'AUBENAS;070005566;MAMM;1;1;;;;1202;
IMAGES;2021;070000609;CH D'AUBENAS;070005566;RADIO;2;2;3166;;;26888;
IMAGES;2021;070000609;CH D'AUBENAS;070005566;SCAN;1;1;2134;;993;8388;
IMAGES;2021;070780424;CLINIQUE PASTEUR;070000245;IRM;2;;;;;;
IMAGES;2021;070780424;CLINIQUE PASTEUR;070000245;MAMM;1;;;;;;
IMAGES;2021;070780424;CLINIQUE PASTEUR;070000245;RADIO;4;;;;;;
IMAGES;2021;070780424;CLINIQUE PASTEUR;070000245;SCAN;1;;;;;;
IMAGES;2021;070780424;CLINIQUE PASTEUR;070000245;VASC;1;;;;;;
IMAGES;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;RADIO;3;3;4693;;;9486;0
IMAGES;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SCAN;1;1;3344;;;2689;0
IMAGES;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;MAMM;1;1;;;;283;
IMAGES;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;RADIO;3;3;2100;85;;9587;0
IMAGES;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SCAN;1;1;1172;480;;7512;0
IMAGES;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;RADIO;2;2;1167;;;4743;0
IMAGES;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;MAMM;1;1;;;;908;
IMAGES;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;RADIO;2;2;109;;;2729;0
IMAGES;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;SCAN;1;1;23;;;1314;0
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;CAM;2;2;356;2;0;4059;0
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;IRM;2;2;1367;25;0;7000;0
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;LITHO;1;1;28;0;0;0;1
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MAMM;1;1;;;;913;
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;RADIO;7;7;14514;;;27236;0
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SCAN;2;2;8402;82;;7663;1
IMAGES;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;VASC;1;1;705;;;2123;1
IMAGES;2021;090000019;CH SAINT LOUIS;090180019;RADIO;1;1;652;0;0;0;0
IMAGES;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;IRM;1;1;479;3;107;6357;
IMAGES;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;MAMM;1;;;;;;
IMAGES;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;RADIO;4;4;9660;31;;22726;
IMAGES;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;SCAN;1;1;8892;40;589;11355;
IMAGES;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;MAMM;1;1;;;;1738;
IMAGES;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;RADIO;4;4;2178;;;16448;0
IMAGES;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SCAN;1;1;2095;;;4870;0
IMAGES;2021;090001629;CHIVAL SITE LAVELANET;090781774;RADIO;2;2;387;0;0;2037;0
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;CAM;2;2;292;9;;945;0
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;IRM;2;2;1510;27;;5726;0
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;MAMM;2;2;;;;3605;
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;RADIO;3;3;13690;628;;34848;1
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SCAN;2;2;8866;342;;17884;1
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOMO;1;1;267;6;;1316;0
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;VASC;1;1;2575;;;23;1
IMAGES;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;dtIRM2;1;1;1140;19;;4081;0
IMAGES;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;IRM;2;;;;;;
IMAGES;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SCAN;1;;;;;;
IMAGES;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;IRM;1;1;197;24;5;2736;0
IMAGES;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;RADIO;2;2;749;77;346;10324;0
IMAGES;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;SCAN;1;1;2356;208;30;3311;0
IMAGES;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;dtIRM1;1;1;197;24;5;2736;0
IMAGES;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;IRM;1;1;76;;64;12724;
IMAGES;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;LITHO;1;1;29;;;;
IMAGES;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;RADIO;5;5;215;;;20712;
IMAGES;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;SCAN;1;1;1260;;42;14658;
IMAGES;2021;110000023;CH CARCASSONNE;110780061;CAM;2;2;397;11;3;2804;0
IMAGES;2021;110000023;CH CARCASSONNE;110780061;IRM;2;2;2100;14;;5378;0
IMAGES;2021;110000023;CH CARCASSONNE;110780061;MAMM;1;1;;;;227;
IMAGES;2021;110000023;CH CARCASSONNE;110780061;RADIO;4;4;11229;38;1;16358;0
IMAGES;2021;110000023;CH CARCASSONNE;110780061;SCAN;2;2;10024;154;0;7929;0
IMAGES;2021;110000023;CH CARCASSONNE;110780061;VASC;2;2;1865;;;0;1
IMAGES;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;MAMM;1;1;;;;1870;
IMAGES;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;RADIO;2;2;1008;;;15547;
IMAGES;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;SCAN;1;1;1872;;;7242;
IMAGES;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;IRM;1;1;1405;;;5766;0
IMAGES;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;MAMM;1;1;;;;824;
IMAGES;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;RADIO;3;3;11547;;;22273;1
IMAGES;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;SCAN;1;1;7360;;;8464;1
IMAGES;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;IRM;1;;;;;;
IMAGES;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;RADIO;3;;;;;;
IMAGES;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;SCAN;1;;;;;;
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;CAM;1;1;424;7;0;4265;0
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;IRM;1;1;1260;9;0;5348;0
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;MAMM;1;1;;;;6148;
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;RADIO;3;3;9008;94;0;24414;1
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SCAN;1;1;5527;97;0;11019;1
IMAGES;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;TOMO;1;1;84;1;0;2581;0
