BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;CPPR;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;128;1432;9;;;1;;;;;;;0;
PERINAT;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TYPE2;;1;16;4;;;4;1370;96;185;13;0;0;0;0;871;1;4899;987;0;0;2727;1011;4270;218;1335;1;1005;6;9;0;1017;5796;3411;5;109;1;1;97;134;16;14;10;9;0;0
PERINAT;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TYPE2;;1;32;9;3;;6;2414;166;240;8;137;13;0;0;1808;1;9392;2089;943;0;6330;1981;8449;305;1898;23;1949;32;8;;2013;;;;210;0;1;340;374;267;21;;27;0;0
PERINAT;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TYPE2;;;16;6;;;3;1421;195;262;22;0;0;0;0;828;3;4710;1518;0;0;2451;969;3985;208;1118;1;956;13;8;0;982;15740;5329;373;126;0;1;377;376;280;34;4;3;0;0
PERINAT;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;TYPE2;;0;24;6;;;4;1673;152;128;7;0;0;0;0;1211;3;5784;1214;0;0;4037;1306;5219;232;1124;1;1301;5;4;0;1323;7454;2369;197;123;0;1;337;402;236;41;13;17;0;0
PERINAT;2021;060002102;CH LA PALMOSA DE MENTON;060791761;CPPR;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;1163;26;0;0;1;94;97;87;1;;1;0;0
PERINAT;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;;0;0;;1;0;0
PERINAT;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;TYPE1;;;21;;;;5;955;113;0;0;0;0;0;0;786;7;2980;0;0;0;2515;782;2891;179;791;0;777;5;7;;788;;;;103;0;1;68;99;31;2;;0;0;0
PERINAT;2021;060780590;CLINIQUE DU PALAIS;060000270;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;10;;0;6;;0;0;0
PERINAT;2021;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;;;;;548;151;0;0;0;0;0;0;361;4;1480;0;0;0;1178;355;1385;92;463;0;352;3;4;;360;;;;39;0;1;2;5;0;0;;1;1;853
PERINAT;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;TYPE2;;1;57;6;;;8;3728;285;383;16;0;0;0;0;2796;6;13766;1687;0;0;8931;3144;12922;936;4943;1;3108;36;16;;3184;;;;310;0;1;53;86;0;3;;5;0;0
PERINAT;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;;;;;;;;;31;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;60;95;0;3;;0;0;0
PERINAT;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TYPE3;;0;59;20;9;8;9;4190;289;387;8;298;13;376;23;2819;3;17475;5205;3455;3069;9054;3169;14484;716;4973;61;3078;91;8;8;3300;3778;20295;1268;328;0;1;864;945;368;129;42;80;1;358
PERINAT;2021;070000013;CH DE PRIVAS ARDECHE;070002878;CPPR;;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;827;3691;76;0;0;1;31;48;26;0;0;0;0;0
PERINAT;2021;070000096;HOPITAL DE MOZE;070780184;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;9;2133;29;0;0;0;0;;0;0;;1;0;0
PERINAT;2021;070000179;CH ARDECHE NORD;070780358;TYPE2;;0;17;6;;;3;1017;119;522;52;0;0;0;0;603;1;3453;1960;0;0;2058;696;3011;176;1049;0;687;9;11;;705;4332;5244;;65;0;1;135;157;119;0;;1;0;0
PERINAT;2021;070000195;CH DE TOURNON SUR RHONE;070780374;CPPR;;;;;;;;0;0;0;0;0;0;0;0;332;0;0;0;0;0;1213;0;0;0;0;0;0;0;0;;0;632;2897;51;0;0;0;0;0;0;0;;0;0;0
PERINAT;2021;070000609;CH D'AUBENAS;070005566;TYPE2;;;16;4;;;3;979;135;80;5;0;0;0;0;670;3;3198;560;0;0;2176;730;2968;169;921;0;726;4;3;;738;;;;54;0;1;290;305;238;16;;27;0;0
PERINAT;2021;070780424;CLINIQUE PASTEUR;070000245;TYPE1;;0;27;0;0;0;4;996;98;0;0;0;0;0;0;763;27;3452;0;0;0;2654;762;3091;190;1035;6;757;5;27;4;767;;;;23;11;0;0;0;0;0;0;2;1;411
PERINAT;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;TYPE2;;1;15;4;0;0;3;803;92;175;7;0;0;0;0;416;5;2878;974;0;0;1404;555;2484;123;752;0;545;10;5;;565;5508;2206;35;16;0;1;119;105;88;7;;4;0;0
PERINAT;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;CPPR;;;0;0;0;0;0;8;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;955;2667;145;0;0;1;47;32;47;0;;0;0;0
PERINAT;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;334;260;8;0;0;0;0;0;0;0;;0;0;0
PERINAT;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TYPE2;;1;26;6;6;0;6;2156;506;176;9;140;20;0;0;1173;0;6726;1010;1510;0;4004;1328;5823;233;1280;5;1319;9;11;;1350;16706;2102;141;30;0;1;191;166;141;16;;39;1;110
PERINAT;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;TYPE2;;1;23;4;;;2;1309;117;225;73;0;0;0;0;810;7;5052;1207;0;0;2700;977;4447;206;1288;3;967;10;13;;998;2752;3358;192;77;0;1;350;352;243;20;;6;0;0
PERINAT;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;TYPE1;;;4;;;;2;252;65;0;0;0;0;0;0;179;13;631;0;0;0;551;176;605;29;127;0;175;1;7;;179;5084;745;106;32;0;1;110;123;101;1;;0;0;0
PERINAT;2021;090001629;CHIVAL SITE LAVELANET;090781774;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175;424;29;;;0;;;;;;;0;
PERINAT;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TYPE3;;1;44;6;3;6;5;2942;277;903;11;208;10;154;4;1395;0;10542;3619;2498;1944;3898;2131;8842;471;2762;21;2083;48;1;;2207;2235;8950;;282;0;1;668;624;428;49;6;13;0;0
PERINAT;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;TYPE1;;0;18;0;0;0;2;662;81;0;0;0;0;0;0;420;17;2157;0;0;0;1311;413;1650;93;472;0;408;5;16;0;418;2930;3208;;25;0;1;132;141;80;3;0;2;0;0
PERINAT;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;TYPE1;;;15;;;;2;461;65;0;0;0;0;0;0;294;2;1486;0;0;0;1049;293;1226;101;522;1;292;1;2;;293;;;;20;0;1;57;104;45;0;;0;0;0
PERINAT;2021;110000023;CH CARCASSONNE;110780061;TYPE2;;0;30;6;;;5;2425;402;363;22;0;0;0;0;1382;6;8377;2370;0;0;4526;1684;7467;308;1733;0;1668;16;13;;1716;14435;6745;199;65;0;1;443;479;327;37;6;5;0;0
PERINAT;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;CPPR;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;442;53;;;;1;33;37;33;;;;0;
PERINAT;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;TYPE1;;0;24;0;0;0;4;1477;334;0;0;0;0;0;0;819;6;4183;0;0;0;2457;897;3616;182;1036;2;893;4;9;;909;4415;4981;236;164;0;1;453;458;342;28;;8;0;0
PERINAT;2021;110780483;POLYCL MONTREAL;110000155;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;53;51;42;1;;0;0;0
PERINAT;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;TYPE2;;;24;10;2;;3;1664;96;281;18;96;8;0;0;1129;0;6674;2345;307;0;3844;1327;5954;304;1813;7;1314;13;7;;1346;3635;5480;175;47;0;1;288;315;237;10;;5;0;0
PERINAT;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;TYPE1;;;12;;;;3;723;152;0;0;0;0;0;0;489;15;2166;0;0;0;1736;485;1992;80;405;0;485;0;13;0;491;5376;2331;107;12;0;1;96;144;71;0;;1;0;0
PERINAT;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;487;1819;58;0;0;0;1;5;1;0;;0;0;0
PERINAT;2021;120004569;CH MILLAU;120004528;TYPE1;;;12;;;;2;471;58;0;0;0;0;0;0;33;0;1465;0;0;0;122;344;1316;86;419;0;341;3;7;;347;3227;937;101;36;0;1;113;124;108;0;6;0;0;0
PERINAT;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;TYPE1;;0;6;;;;2;244;36;0;0;0;0;0;0;172;1;772;0;0;0;589;169;672;36;191;0;168;1;1;0;172;2736;1974;219;21;0;1;27;37;23;0;1;0;0;0
PERINAT;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;TYPE2;;;26;6;6;;6;2613;604;339;25;212;18;0;0;1331;0;9275;2350;2275;0;4678;1543;7557;369;2248;10;1516;27;9;1;1581;11267;3761;;66;0;1;790;859;491;56;14;5;1;455
PERINAT;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;TYPE1;;0;19;;;;3;1478;118;0;0;0;0;0;0;1069;7;5330;0;0;0;3783;1125;4797;227;1146;2;1119;6;12;;1139;8085;2460;;68;1;1;340;309;258;6;12;5;0;0
PERINAT;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;TYPE2;;1;22;6;;;3;1833;367;228;20;0;0;0;0;972;1;5945;1116;0;0;3190;1117;5053;181;1043;3;1106;11;10;;1135;;;;94;0;1;312;422;199;21;;3;0;0
PERINAT;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;TYPE1;;0;20;;;;3;1298;68;0;0;0;0;0;0;1123;4;4268;0;0;0;3520;1119;4028;183;879;0;1115;4;0;;1126;;;;214;0;1;438;436;372;18;;6;0;0
PERINAT;2021;130002827;CH JOSEPH IMBERT D'ARLES;130789274;TYPE1;;0;20;;;;3;978;71;0;0;0;0;0;0;755;6;3812;0;0;0;2969;747;3427;127;713;1;744;3;6;;756;;;;10;0;1;231;258;105;0;4;4;0;0
PERINAT;2021;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;TYPE2;;1;32;7;3;0;5;2808;444;307;13;173;10;0;0;1632;5;8656;1265;1445;0;4934;1839;7178;451;2335;11;1812;27;8;;1873;11652;9799;280;320;0;1;678;724;431;20;3;12;0;0
PERINAT;2021;130008253;CLINIQUE DE VITROLLES;130001084;TYPE1;;0;45;;;;5;1376;123;0;0;0;0;0;0;1060;5;4705;0;0;0;3726;1062;4247;174;955;4;1057;5;4;;1067;;;;59;0;1;175;195;126;3;;1;0;0
PERINAT;2021;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;25;14;18;1;0;0;0;
PERINAT;2021;130780521;APHM HOPITAL NORD;130786049;TYPE3;;;50;9;16;12;5;3467;298;227;11;377;16;473;57;1920;14;15767;1671;5037;3742;6226;2342;11898;613;4829;1;2244;98;15;;2465;21059;5979;1;259;2;1;656;631;420;43;;66;0;0
PERINAT;2021;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;4;14;0;;;0;0;0
PERINAT;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;TYPE3;;;53;24;15;15;5;3530;178;636;30;375;10;573;206;1674;12;17103;6061;4301;5602;5586;2380;12269;623;4578;1;2308;72;30;;2498;37497;;;186;1;1;2330;2323;1380;192;;75;1;452
PERINAT;2021;130783327;CLINIQUE BOUCHARD;130001415;TYPE2;;;38;6;;;5;2486;354;708;20;0;0;0;0;1181;3;9325;2272;0;0;4091;1859;8451;515;2839;11;1831;28;17;;1887;;;;63;0;1;91;136;62;4;;4;1;987
PERINAT;2021;130783665;CLINIQUE DE BONNEVEINE;130043722;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2657;;;0;0;1;113;131;104;1;;0;0;0
PERINAT;2021;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;130038847;TYPE2;;1;37;12;;;8;4210;1369;1157;14;0;0;0;0;1387;0;11898;4029;0;0;4355;2472;10735;605;3345;17;2444;28;11;;2500;;;;86;0;1;97;115;73;3;;20;0;0
PERINAT;2021;130785652;HOPITAL SAINT JOSEPH;130014228;TYPE2;;1;76;12;6;;10;5715;258;1594;88;682;42;0;0;3241;10;21135;5077;5109;0;9683;4738;18528;921;4495;23;4650;88;12;;4826;6878;19595;;509;0;1;4;5;0;0;;101;1;649
PERINAT;2021;130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;130002488;TYPE2;;1;62;12;;;7;3865;513;625;21;0;0;0;0;2365;2;15642;3294;0;0;9100;2846;13868;631;3883;9;2812;34;14;;2929;;5570;450;38;0;0;0;0;0;0;;0;0;0
PERINAT;2021;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;TYPE2;;;28;9;3;;4;1755;115;442;12;121;22;0;0;1140;0;7209;2746;406;0;3866;1378;6429;294;1783;6;1360;18;6;;1408;3393;7872;;58;0;1;249;238;139;33;;8;0;0
PERINAT;2021;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;706;1711;53;;;0;;;;;;;0;
PERINAT;2021;140000209;CHU COTE DE NACRE - CAEN;140000100;TYPE3;INT;1;72;15;10;14;7;4268;318;648;13;231;29;322;15;2780;1;21574;4947;1287;5566;10227;3224;18157;680;5980;12;3150;74;2;;3337;10671;11628;245;123;0;1;840;893;530;67;;57;1;539
PERINAT;2021;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1671;3655;93;0;0;1;25;26;25;0;15;1;1;0
PERINAT;2021;140000373;CENTRE HOSPITALIER DE VIRE;140000159;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;2345;70;0;0;1;25;10;25;0;;0;0;0
PERINAT;2021;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;TYPE2;;1;44;6;;;5;2281;344;292;18;0;0;0;0;1491;0;8074;1233;0;0;5356;1781;7687;394;2083;3;1758;23;11;27;1820;;;;24;0;1;17;19;0;0;;22;0;0
PERINAT;2021;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;TYPE1;;;16;;;;3;681;123;0;0;0;0;0;0;483;8;2227;0;0;0;1782;480;2075;83;446;0;480;0;7;;483;3113;3785;328;9;0;1;62;92;50;0;3;0;0;0
PERINAT;2021;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4310;2960;180;;;1;63;84;63;0;0;0;0;
PERINAT;2021;140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;140000415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;21;0;0;;0;0;
PERINAT;2021;150000032;CH DE SAINT-FLOUR;150780088;TYPE1;;0;15;;;;2;339;55;0;0;0;0;0;0;226;4;1136;0;0;0;835;223;964;42;220;0;221;2;4;0;227;1097;1872;99;0;0;1;56;67;53;0;0;0;0;0
PERINAT;2021;150000040;CH HENRI MONDOR;150780096;TYPE2;;1;18;6;;;2;1099;134;233;58;0;0;0;0;635;2;4179;1314;0;0;2355;787;3789;147;930;2;780;7;10;;797;10845;7017;;14;0;1;221;226;171;3;1;4;0;0
PERINAT;2021;150000164;CH DE MAURIAC;150780468;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2021;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;150000271;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;3;12;3;0;;0;0;0
PERINAT;2021;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;TYPE2;;1;25;7;6;;5;1950;139;660;16;110;15;0;0;853;1;7240;3015;679;0;2884;1378;6023;244;1283;6;1346;32;8;0;1423;6403;8290;213;50;0;1;394;478;238;32;3;9;0;0
PERINAT;2021;160000303;CH HOPITAUX SUD-CHARENTE;160006037;CPPR;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306;1887;59;;;0;;0;;;;;0;
PERINAT;2021;160013207;CENTRE CLINICAL SA;160001632;TYPE1;;0;25;;;;6;1540;447;0;0;0;0;0;0;986;11;3886;0;0;0;3247;975;3648;168;750;0;968;7;11;;991;;;;75;0;1;51;81;2;10;;3;0;0
PERINAT;2021;160015368;HOPITAUX DU GRAND COGNAC;160014411;TYPE1;;;15;;;;3;853;168;0;0;0;0;0;0;624;9;2664;0;0;0;2229;622;2565;93;473;0;622;0;8;;624;8238;11375;39;33;0;1;115;171;91;2;2;0;0;0
PERINAT;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2950;1640;66;0;0;1;90;101;80;2;;0;0;0
PERINAT;2021;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;TYPE2;;1;30;8;4;0;5;2907;500;320;18;160;16;0;0;1837;1;9802;1907;790;0;6334;2060;8978;439;2330;2;2031;29;8;;2098;11893;8013;62;85;0;1;638;663;432;31;3;35;0;0
PERINAT;2021;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;TYPE2;;1;24;11;3;;4;1904;173;330;25;122;24;0;0;1268;2;6599;2713;578;0;4016;1524;6111;308;1526;3;1499;25;4;;1556;11860;13008;1018;194;0;1;481;207;370;31;;13;0;0
PERINAT;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;TYPE2;;;18;6;;;3;1506;140;373;26;0;0;0;0;872;0;5504;1454;0;0;3026;1150;5085;172;1017;1;1128;22;15;;1177;3564;6331;134;60;0;1;256;228;168;14;0;4;0;0
PERINAT;2021;170780621;POLYCLINIQUE SAINT GEORGES;170000285;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;27;44;0;1;;0;0;0
PERINAT;2021;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;;;;;;;;;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;2;0;0;0;;0;1;428
PERINAT;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;TYPE2;;0;26;9;3;0;4;1471;137;280;20;119;17;0;0;920;0;5908;1851;409;0;3367;1116;5071;207;1284;13;1093;23;15;0;1157;6296;4125;50;19;0;1;469;422;347;30;;9;0;0
PERINAT;2021;180000200;CH DE VIERZON;180000051;TYPE1;;0;15;;;;3;573;67;0;0;0;0;0;0;397;12;1968;0;0;0;1502;398;1716;95;521;0;398;0;11;;399;;;;11;0;1;184;185;148;6;;1;0;0
PERINAT;2021;180000283;CH SAINT AMAND-MONTROND;180000069;TYPE1;;0;15;;;;2;401;59;0;0;0;0;0;0;299;3;1637;0;0;0;1406;294;1509;67;444;0;289;5;3;;300;677;1597;;10;0;1;67;48;34;7;;2;0;0
PERINAT;2021;180004145;HOPITAL PRIVE GUILLAUME DE VARYE;180000887;TYPE1;;0;18;0;0;0;3;741;120;0;0;0;0;0;0;586;5;2292;0;0;0;2013;586;2235;162;714;0;586;0;6;;588;;;;29;0;1;16;16;4;0;;0;0;0
PERINAT;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;TYPE2;EXT;0;26;6;;;5;1568;114;124;10;0;0;0;0;1145;0;6077;1038;0;0;4355;1228;5555;288;1587;0;1213;15;8;0;1243;8304;12930;982;33;0;1;463;468;363;9;;4;0;0
PERINAT;2021;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;TYPE1;;;15;;;;4;1029;97;0;0;0;0;0;0;733;0;3459;0;0;0;2417;774;3114;143;731;1;765;9;4;;784;2248;5401;677;89;0;1;162;135;95;7;;4;0;0
PERINAT;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;TYPE1;;;6;;;;2;240;24;0;0;0;0;0;0;143;2;782;0;0;0;525;136;594;16;90;0;136;0;2;;144;1151;1197;;3;0;1;87;89;71;1;;0;0;0
