BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2021;020000535;CH CHAUNY;020000287;1;3;0;1;1;0;0;1;0;0;0;5;1;;1;0;0;6;0;0;357;1043;1400;798;;327;102;429;250;;3;0;3;3;;0;0;0;0;;636;1048;1684;728;;0;1;1;0;
BLOCS;2021;020001061;CH CHÂTEAU-THIERRY;020004404;1;4;;1;;;;1;;;;6;;;1;;;6;;;1019;3422;4441;3763;2067;413;43;456;181;;37;0;37;0;;0;0;0;0;;1258;1753;3011;1448;883;2;48;50;29;1608
BLOCS;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;6;;0;;0;;2;;1;;9;;;1;;;12;;;2985;5091;8076;6846;;0;7;7;7;;38;0;38;0;;98;141;239;100;;1579;5570;7149;4330;;17;121;138;83;
BLOCS;2021;030000061;CH DE MOULINS;030780092;1;2;1;1;1;1;;1;;;;5;2;;1;;;12;;;2579;1278;3857;2843;2304;689;99;788;366;0;316;0;316;8;0;154;30;184;127;0;1827;900;2727;1668;937;9;105;114;4;114
BLOCS;2021;030000079;CH DE MONTLUCON;030780100;1;3;0;1;0;1;0;2;0;0;0;7;0;0;1;1;0;8;2;0;2628;1414;4042;2990;2799;752;90;842;301;3;902;28;930;3;0;5;0;5;1;0;1673;807;2480;1123;1414;3;24;27;3;279
BLOCS;2021;030000087;CH JACQUES LACARIN VICHY;030780118;3;6;;1;1;2;;3;;;;12;1;;3;;;14;;;4421;2621;7042;5783;;789;119;908;417;;1246;162;1408;0;;232;761;993;191;;1939;5933;7872;5362;;6;26;32;2;
BLOCS;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;5;;;;1;;1;;1;;8;;;1;;;12;;;2195;6170;8365;7507;;2;8;10;10;;0;0;0;0;;0;0;0;0;;1374;1693;3067;2417;;11;408;419;2;
BLOCS;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;9;1;0;0;1;1;2;1;0;0;12;3;0;1;1;0;16;5;0;2746;6126;8872;7341;;0;7;7;7;;86;0;86;0;;136;42;178;101;;1449;3281;4730;3569;;3;330;333;302;
BLOCS;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;1;7;0;0;0;0;0;1;0;0;0;8;0;0;1;0;0;12;0;0;2223;3838;6061;4722;;0;0;0;0;;8;0;8;0;;127;127;254;108;;777;3554;4331;3277;;5;4;9;4;
BLOCS;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;5;5;1;1;;;;;1;1;7;7;;1;1;;9;9;;1924;829;2753;2009;193;433;36;469;179;0;0;0;0;0;;2;0;2;1;;723;741;1464;760;25;42;63;105;48;0
BLOCS;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;4;4;1;1;0;0;1;1;;;6;6;;1;1;;6;6;;1235;839;2074;1698;757;249;50;299;149;;0;0;0;0;;0;1;1;0;;752;1672;2424;1279;276;3;4;7;1;27
BLOCS;2021;040780470;CLINIQUE TOUTES AURES;040000192;1;3;0;0;0;0;0;1;0;0;0;4;0;0;1;0;0;6;0;0;491;3751;4242;3535;;0;1;1;1;;0;0;0;0;;0;28;28;0;;291;2005;2296;1495;;0;107;107;0;
BLOCS;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;6;0;0;0;0;0;1;0;2;0;9;0;0;1;0;0;17;0;0;2321;8914;11235;9895;;0;0;0;0;;0;0;0;0;;58;191;249;65;;451;5470;5921;3823;;1;66;67;4;
BLOCS;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;2;;1;;;;1;;;;4;;;1;;;8;;;1689;1335;3024;2331;;224;37;261;131;;0;1;1;0;;0;0;0;0;;428;833;1261;737;;4;9;13;0;
BLOCS;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0;0;;;;;;;;;;0;;0;;;;;;;17;9;26;6;;0;0;0;0;;0;0;0;0;;0;0;0;0;;10;0;10;0;;0;0;0;0;
BLOCS;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;7;1;1;1;;;1;1;;;9;3;;1;1;;12;12;;4065;1911;5976;4542;8165;735;140;875;407;;37;0;37;1;;0;0;0;1;;1595;1568;3163;2086;1770;6;29;35;7;
BLOCS;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;6;1;1;1;;;;;;;7;2;;2;;;8;;;3422;2362;5784;4367;;1649;161;1810;502;;49;0;49;0;;5;0;5;4;;1697;1363;3060;1796;;11;167;178;6;
BLOCS;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;4;5;;1;0;1;0;2;0;1;0;10;0;;1;0;;12;0;;3555;1901;5456;4409;78;723;123;846;364;0;1702;7;1709;168;0;46;27;73;38;0;1619;2148;3767;1472;125;2;9;11;0;0
BLOCS;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;5;;;;1;;1;;1;;8;;;1;;;6;;;3865;1978;5843;3360;;0;0;0;0;;0;2;2;0;;80;0;80;1;;423;624;1047;682;;33;0;33;1;
BLOCS;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;4;7;1;1;0;2;0;2;0;0;0;12;1;0;2;0;;16;0;;3554;5527;9081;4336;5043;1045;185;1230;460;30;1442;30;1472;0;1;189;92;281;198;0;2413;2123;4536;2614;2521;17;129;146;4;1031
BLOCS;2021;060002102;CH LA PALMOSA DE MENTON;060791761;1;3;1;0;0;0;0;1;0;1;0;5;1;0;1;0;0;6;0;0;1260;1110;2370;1963;511;1;8;9;9;0;0;0;0;0;0;1;16;17;0;0;496;1963;2459;1586;20;2;78;80;3;0
BLOCS;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;2;2;;;;;;;;;2;2;;2;;;2;;;797;1052;1849;1573;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;336;488;105;7643;1;5;6;1;15
BLOCS;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;3;12;2;0;0;0;0;2;0;1;0;15;2;;3;1;;25;5;;3277;15472;18749;16517;;0;36;36;36;;0;0;0;0;;20;77;97;15;;272;7036;7308;3890;;9;203;212;18;
BLOCS;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;1;6;;;;;;;;;;6;;;1;;;9;;;1891;5764;7655;6747;;0;0;0;0;;0;0;0;0;;0;0;0;0;;40;138;178;88;;2;15;17;0;
BLOCS;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;4;9;1;;;3;1;3;1;;;15;3;;4;1;;23;7;;4035;5350;9385;6364;;0;0;0;0;;7;1;8;8;;1780;270;2050;1826;;3909;9744;13653;7890;;122;46;168;41;
BLOCS;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;4;13;1;1;1;1;0;3;0;1;0;19;2;0;4;1;1;32;3;8;7186;14133;21319;18766;;183;105;288;287;;0;0;0;0;;173;29;202;170;;1122;9645;10767;6475;;9;214;223;95;
BLOCS;2021;060780590;CLINIQUE DU PALAIS;060000270;1;5;;;;;;2;;;;7;;;1;;;11;;;1595;2241;3836;3311;;1;10;11;11;;0;0;0;0;;6;106;112;0;;1216;5101;6317;3988;;6;28;34;11;
BLOCS;2021;060780715;CLINIQUE SAINT GEORGE;060000361;6;20;2;1;1;5;1;3;1;;;29;5;7;6;1;3;45;12;18;10791;20991;31782;27463;;103;133;236;235;;2658;156;2814;2463;;360;294;654;636;;3056;9342;12398;7834;;24;338;362;256;
BLOCS;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;3;6;6;;;2;2;2;2;;;10;10;;2;;;18;;;2488;7574;10062;9178;;0;0;0;0;;78;0;78;45;;30;9;39;30;;1567;8956;10523;5433;;16;107;123;79;
BLOCS;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;1;6;;2;;0;;1;;0;;9;;;2;;;13;;;3568;4787;8355;6819;;983;166;1149;1121;;0;0;0;0;;1;12;13;0;;321;6199;6520;3966;;5;106;111;13;
BLOCS;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;5;;;;;;;;;;5;;;1;;;8;;;2284;2200;4484;3639;;0;0;0;0;;1;0;1;1;;3;0;3;3;;400;247;647;142;;1;9;10;1;
BLOCS;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;3;6;2;;;;;2;;1;;9;2;1;2;;1;12;;3;2339;4864;7203;6914;;0;88;88;88;;0;0;0;0;;1;0;1;0;;717;5642;6359;3225;;1;57;58;15;
BLOCS;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;2;22;2;;;5;;1;;1;;29;2;;3;1;;39;0;;13333;6630;19963;16077;5490;1;0;1;1;0;1169;39;1208;105;1;615;447;1062;593;33;2136;728;2864;1600;1334;36;10;46;17;2891
BLOCS;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;0;0;;;;;;;;;;0;;;;;;;;;20;0;20;4;;0;0;0;0;;0;0;0;0;;1;0;1;1;;62;0;62;22;;0;0;0;0;
BLOCS;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;7;;2;1;2;;4;;;;15;1;;2;;;18;;;3896;1548;5444;3504;3465;2641;622;3263;1469;147;5;3;8;0;0;445;13;458;22;121;2756;4859;7615;4309;359;149;41;190;9;643
BLOCS;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;1;0;;;;;;1;;1;;2;;;1;;;4;;;60;0;60;16;;0;0;0;0;;0;0;0;0;;0;0;0;0;;234;4;238;63;;2;0;2;0;
BLOCS;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;2;2;1;;;3;1;;;2;;7;2;;1;;;10;1;3;663;11;674;521;;0;0;0;0;;1687;103;1790;1436;;68;3;71;68;;107;0;107;47;;1;0;1;0;
BLOCS;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;2;11;;;;2;;3;;;;16;;;2;;;35;;;4133;8086;12219;9226;;0;1;1;1;;19;10;29;0;;11;165;176;2;;2886;9508;12394;7591;;57;868;925;100;
BLOCS;2021;070000013;CH DE PRIVAS ARDECHE;070002878;1;4;1;;;;;0;0;0;0;4;1;;1;1;;6;6;;1406;936;2342;1957;;0;5;5;5;;0;0;0;0;;0;0;0;0;;1003;934;1937;1434;;5;69;74;72;
BLOCS;2021;070000096;HOPITAL DE MOZE;070780184;1;0;;;;;;1;;;;1;;;1;;;2;;;1;0;1;;;0;0;0;0;;0;0;0;0;;0;0;0;0;;1;173;174;121;;0;0;0;0;
BLOCS;2021;070000179;CH ARDECHE NORD;070780358;1;4;;;;;;1;;;;5;;;1;;;9;;;1624;2266;3890;2642;;515;54;569;253;;97;0;97;0;;5;190;195;2;;1055;1483;2538;1380;;3;1;4;0;
BLOCS;2021;070000609;CH D'AUBENAS;070005566;1;3;1;1;;;;1;;;;5;1;;1;;;6;;;2015;1926;3941;3221;;511;85;596;275;;84;0;84;0;;0;83;83;0;;953;656;1609;892;;0;9;9;0;
BLOCS;2021;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;1;4;;;;;;1;;;;5;;;1;;;8;;;887;2832;3719;3333;;1;5;6;4;;0;2;2;1;;45;21;66;51;;226;2207;2433;1488;;0;11;11;0;
BLOCS;2021;070780424;CLINIQUE PASTEUR;070000245;2;12;;2;;1;;1;;1;;17;;;1;;;22;;;5376;11208;16584;15023;;493;69;562;263;;86;0;86;2;;1125;351;1476;1210;;1043;1342;2385;2058;;25;110;135;35;
BLOCS;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;2;0;0;1;0;;0;1;0;1;0;3;0;3;1;0;0;9;0;0;173;739;912;559;2208;373;40;413;185;2;1;0;1;0;0;0;6;6;0;0;314;308;622;269;475;4;19;23;0;39
BLOCS;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;3;1;;;;;1;;0;;4;1;;1;1;;6;1;;1305;1298;2603;1991;256;0;0;0;0;;0;0;0;0;;310;111;421;441;25;304;1680;1984;1353;196;11;14;25;25;0
BLOCS;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;2;6;2;2;1;1;0;2;0;0;0;11;3;1;2;0;1;19;0;11;4503;2686;7189;5756;4092;1021;92;1113;363;23;45;0;45;0;0;143;2;145;88;2;2596;2174;4770;2480;2736;31;39;70;5;300
BLOCS;2021;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;1;1;;;;;;1;;;;2;;;1;;;2;;;0;91;91;81;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;343;343;226;;0;0;0;0;
BLOCS;2021;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;1;4;;;;1;;1;;1;;7;;;1;;;8;;;1654;4333;5987;5662;;0;0;0;0;;0;0;0;0;;20;0;20;20;;253;4041;4294;2813;;1;24;25;2;
BLOCS;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;1;6;;1;;;;2;;;;9;;0;1;;0;12;;0;2661;2533;5194;3647;;674;139;813;403;;29;1;30;0;;3;272;275;1;;1129;2607;3736;2208;;20;27;47;0;
BLOCS;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;3;;;;;;;;;;3;;;1;;;4;;;995;1201;2196;1869;;107;20;127;51;;0;0;0;0;;0;0;0;0;;209;772;981;547;;0;0;0;0;
BLOCS;2021;100000082;CLINIQUE DU PAYS DE SEINE;100001148;1;4;4;;;;;1;;;;5;4;0;1;;0;9;;0;774;2387;3161;2729;325;0;0;0;0;;0;0;0;0;;0;0;0;0;;344;1371;1715;919;;0;0;0;0;
BLOCS;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;7;1;2;1;1;1;2;0;0;0;12;3;;1;1;;10;6;;3740;1907;5647;4323;2664;1642;274;1916;845;43;1093;6;1099;30;1;312;148;460;292;4;1854;1036;2890;1478;1984;10;50;60;6;1583
BLOCS;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;1;10;;;;;;1;;;;11;;3;1;;1;17;;16;3801;6894;10695;9657;;0;0;0;0;;132;2;134;0;;188;128;316;218;;790;3855;4645;2771;;4;37;41;36;
BLOCS;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;0;0;2;2;0;0;1;0;0;0;3;2;0;2;1;0;3;3;0;37;25;62;43;;329;70;399;156;;1;0;1;0;;2;0;2;2;;68;200;268;124;;0;3;3;1;
BLOCS;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;1;4;;1;;;;1;;1;;7;;;1;;;7;;;3859;6493;10352;6815;;251;88;339;153;;0;0;0;0;;3;3;6;1;;2515;7424;9939;4195;;24;73;97;30;
BLOCS;2021;110000023;CH CARCASSONNE;110780061;2;6;;1;1;1;;3;;;;11;1;;1;;;16;;;3598;2252;5850;4718;2744;1228;168;1396;549;15;1113;10;1123;14;0;304;83;387;295;0;2294;2864;5158;2924;1439;11;52;63;4;651
BLOCS;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;2;6;;1;;0;;2;;0;;9;;;1;;;12;;;2855;1704;4559;4259;;640;143;783;367;;92;4;96;1;;1;0;1;0;;1063;2321;3384;1852;;1;4;5;0;
BLOCS;2021;110000247;CH LEZIGNAN CORBIERES;110780772;1;0;;;;;;1;;;;1;;;1;;;4;;;2;1;3;2;;0;0;0;0;;0;0;0;0;;0;0;0;0;;76;406;482;262;;0;0;0;0;
BLOCS;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;6;;;;;;2;;;;8;;;1;;;14;;;2904;5691;8595;7224;;9;17;26;26;;47;0;47;6;;322;111;433;321;;1360;6172;7532;4599;;45;648;693;25;
BLOCS;2021;110780483;POLYCL MONTREAL;110000155;1;7;;;;1;;1;;;;9;;;1;;;10;;;2443;6589;9032;7657;;1;19;20;7;;8;0;8;0;;56;158;214;55;;1019;5388;6407;3965;;20;51;71;57;
BLOCS;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;8;1;1;1;2;1;3;1;;;14;4;;2;1;;19;15;;3576;4124;7700;5952;3930;1058;95;1153;416;5;1305;11;1316;66;0;124;823;947;104;7;1863;3106;4969;3131;1748;15;62;77;46;460
BLOCS;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;2;2;1;1;1;;1;1;2;2;7;6;2;1;;;11;11;;1624;2756;4380;3866;;326;42;368;118;;18;0;18;0;;1;0;1;1;;742;3329;4071;2786;;2;5;7;1;
BLOCS;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;3;;;;;;1;;;;4;;;1;;;4;;;14;279;293;196;;0;0;0;0;;0;0;0;0;;0;0;0;0;;15;418;433;290;;0;0;0;0;
BLOCS;2021;120004569;CH MILLAU;120004528;1;4;1;1;1;;;1;1;;;6;3;;1;1;;10;10;;1304;1896;3200;2758;;225;11;236;103;;1;0;1;1;;1;0;1;1;;462;2225;2687;1666;;1;4;5;0;
BLOCS;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;;1;1;0;0;1;0;0;0;3;1;2;1;;1;3;;2;152;770;922;774;95;109;6;115;43;;0;0;0;0;;0;0;0;0;;76;435;511;319;61;0;1;1;1;
BLOCS;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;3;7;;1;1;2;;2;;2;;14;1;;3;;;16;;;5354;4045;9399;6770;5216;1205;412;1617;814;0;2133;167;2300;69;30;138;14;152;113;0;3018;1531;4549;2200;3056;26;143;169;31;849
BLOCS;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;2;4;1;1;1;;;1;;;;6;2;;1;1;;5;5;;1664;1275;2939;2275;;725;128;853;381;;0;0;0;0;;2;1;3;2;;775;920;1695;1030;;2;2;4;0;
BLOCS;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;4;1;2;1;0;0;2;1;1;0;9;3;;1;1;;9;2;;1789;879;2668;2263;;765;169;934;365;;35;0;35;0;;0;8;8;0;;1125;1960;3085;1609;;2;2;4;1;
BLOCS;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;2;9;;;;;;3;;;;12;;0;2;;0;21;;0;7058;5329;12387;7737;;0;0;0;0;;0;0;0;0;;210;0;210;116;;4543;5048;9591;6852;;246;7;253;27;
BLOCS;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;3;;1;;;;1;;;;5;;;1;;;6;;;1275;817;2092;1930;;680;90;770;296;;0;0;0;0;;1;0;1;1;;279;322;601;480;;0;1;1;0;
BLOCS;2021;130002827;CH JOSEPH IMBERT D'ARLES;130789274;2;4;;1;1;1;;1;;1;;8;1;;1;;;6;;;1371;2248;3619;2031;;534;25;559;189;;89;1;90;0;;0;0;0;0;;986;1125;2111;1188;;4;6;10;2;
BLOCS;2021;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;3;4;1;1;1;0;0;1;0;0;0;6;2;;1;1;;8;4;;2809;1577;4386;3367;102;520;344;864;849;0;128;0;128;0;0;7;205;212;1;0;1209;1901;3110;1771;11;3;7;10;1;0
BLOCS;2021;130008253;CLINIQUE DE VITROLLES;130001084;1;7;;1;;;;;;;;8;;;1;;;12;;;1273;2376;3649;3045;;630;94;724;294;;0;0;0;0;;0;0;0;0;;11;215;226;206;;1;8;9;0;
BLOCS;2021;130041767;EUROMED CARDIO;130041262;1;0;;;;2;;;;;;2;;;2;;;4;;;23;2;25;13;;0;0;0;0;;1267;35;1302;1226;;50;7;57;55;;51;0;51;18;;0;0;0;0;
BLOCS;2021;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;0;;0;;2;;0;;4;;6;;;1;;;5;;;120;38;158;6;;0;0;0;0;;1185;12;1197;995;;7;1;8;6;;51;0;51;28;;0;0;0;0;
BLOCS;2021;130043664;HOPITAL EUROPEEN;130002157;1;19;;;;2;;6;;;;27;;;2;;;44;;;8456;12684;21140;17994;2277;8;17;25;25;0;60;5;65;27;1;513;298;811;588;0;4698;16584;21282;12074;3012;107;531;638;85;543
BLOCS;2021;130044753;CLINIQUE MONTICELLI VELODROME;130810336;3;10;;;;;;;;;;10;;;2;;;18;;;1009;16319;17328;16427;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;150;150;11;;1;25;26;1;
BLOCS;2021;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;1;4;0;0;0;0;0;1;0;0;0;5;0;0;1;0;0;8;0;0;1651;3076;4727;3670;;0;7;7;7;;0;0;0;0;;9;3;12;12;;329;3533;3862;2087;;0;6;6;2;
BLOCS;2021;130780521;APHM HOPITAL NORD;130786049;3;26;13;3;1;1;1;5;0;1;0;36;15;;7;;;52;;;10575;5709;16284;13237;9313;1918;309;2227;1172;207;1291;97;1388;25;1;762;196;958;628;8;4627;4483;9110;5360;1250;77;72;149;29;708
BLOCS;2021;130781370;CLINIQUE JEANNE D'ARC;130000532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;192;0;192;116;;0;0;0;0;
BLOCS;2021;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;4;13;;;;3;;2;;1;;19;;6;3;;1;36;;18;3676;4084;7760;6732;;0;9;9;9;;924;6;930;743;;443;209;652;464;;1388;5850;7238;4204;;2;92;94;5;
BLOCS;2021;130781867;CLINIQUE DE LA CIOTAT;130000813;2;6;2;;;1;;2;;1;;10;2;;2;;;16;;;849;5808;6657;5055;;0;0;0;0;;0;0;0;0;;1;89;90;0;;232;2357;2589;1653;;0;6;6;0;
BLOCS;2021;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;1;8;8;0;0;1;1;1;1;0;0;10;10;0;1;1;0;17;17;0;473;3898;4371;3556;;0;0;0;0;;0;0;0;0;;124;89;213;197;;404;2619;3023;1672;;0;5;5;2;
BLOCS;2021;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;6;1;;;1;1;2;1;;;9;3;;1;;;14;;;1887;3046;4933;3957;;0;0;0;0;;1033;15;1048;993;;465;103;568;456;;1250;4934;6184;4005;;0;2;2;2;
BLOCS;2021;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130000987;1;6;;0;;1;;1;;;;8;;;1;;;12;;;1261;4302;5563;4369;;0;0;0;0;;4;0;4;0;;115;10;125;119;;538;3286;3824;2102;;1;220;221;108;
BLOCS;2021;130782675;CLINIQUE VIGNOLI;130001233;1;5;;0;;1;;1;;1;;8;;;1;;;9;;;601;3639;4240;3627;;0;1;1;1;;0;0;0;0;;131;13;144;139;;428;3032;3460;2077;;1;129;130;0;
BLOCS;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;2;17;;3;1;2;;2;;2;;26;1;;4;;;29;;;10620;2309;12929;10394;;1742;1014;2756;1529;;6;2;8;2;;113;3;116;50;;4385;2631;7016;2528;;96;212;308;11;
BLOCS;2021;130783293;APHM HOPITAL LA TIMONE;130786049;1;24;24;;;9;;;;2;;35;24;;3;1;;42;16;;14731;2933;17664;12599;;5;0;5;3;;3439;25;3464;816;;1919;400;2319;1425;;3266;2629;5895;2315;;208;109;317;47;
BLOCS;2021;130783327;CLINIQUE BOUCHARD;130001415;4;11;0;1;1;0;0;3;0;0;0;15;1;11;3;1;2;23;2;17;3024;4872;7896;6749;;600;119;719;637;;3;0;3;3;;49;405;454;124;;1219;7588;8807;5151;;1;45;46;37;
