BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2021;050000132;CH BUECH DURANCE;050007145;MEDCH;1;;0.8;
USLD_P;2021;050000132;CH BUECH DURANCE;050007145;N2210;7;2;6.63;
USLD_P;2021;050000132;CH BUECH DURANCE;050007145;N2410;;1;0.14;
USLD_P;2021;050000132;CH BUECH DURANCE;050007145;N2510;11;2;10.66;
USLD_P;2021;050000132;CH BUECH DURANCE;050007145;NAUT;14;4;8.59;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1320;;1;0.6;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;MEDCH;;3;1;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2210;5;3;7.69;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2410;;1;0.8;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2460;;1;0.45;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2510;12;5;12.38;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N3120;;1;0.3;
USLD_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;6;8;6.6;
USLD_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2210;4;2;5.48;
USLD_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2410;;2;0.34;
USLD_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2510;8;7;11.36;
USLD_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;8;7;8.26;
USLD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2210;8;13;13.28;
USLD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2410;;1;0.3;
USLD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2460;;2;1.12;
USLD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;8;41;24.88;
USLD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;3;14;13.45;
USLD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MEDCH;0;2;0.44;0
USLD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2210;5;4;4.53;1
USLD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;20;8;17.56;1
USLD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;6;11;7.2;1
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;M1320;0;1;0.3;0
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;MEDCH;0;4;0.6;1
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2210;6;1;6.8;0
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2410;1;0;1;1
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2460;1;0;0.34;1
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2510;18;0;18;1
USLD_P;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;NAUT;35;5;17.6;1
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M1320;2;;0.2;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;MEDCH;3;;0.3;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2210;7;;7.38;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2410;1;;1;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2510;10;;10.79;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N3120;1;;0.2;0
USLD_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;12;;12.09;0
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;M1320;;1;0.8;
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;MEDCH;;1;1;
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;N2210;9;;9;
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;N2410;;2;1;
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;N2510;13;;13;
USLD_P;2021;060019213;USLD DOLCE FARNIENTE;060005188;NAUT;10;1;10.7;
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;M1320;;1;0.2;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;MEDCH;;1;0.2;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;N2210;6;;2.82;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;N2410;;1;0.17;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;N2510;12;;4.82;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;N3120;;1;0.03;1
USLD_P;2021;060023702;USLD CH ANTIBES JUAN LES PINS;060780954;NAUT;;3;0.99;1
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;M1320;0;1;0.2;1
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;MEDCH;0;2;0.8;1
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2210;9;1;7.37;
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2410;1;1;0.8;
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2510;20;;16.77;
USLD_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;NAUT;14;2;10.33;
USLD_P;2021;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;MEDCH;0;1;0.2;1
USLD_P;2021;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;N2210;4;1;4.66;0
USLD_P;2021;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;N2510;9;;8.26;0
USLD_P;2021;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;NAUT;12;2;10.8;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;M1320;1;;1;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;MEDCH;1;2;1.45;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2210;8;3;10.09;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2410;;1;0.93;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2460;;2;1.25;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2510;28;6;33.28;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N3120;;1;0.57;0
USLD_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;NAUT;2;3;2.48;0
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;MEDCH;;1;0.5;1
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;N2210;4;6;8.3;
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;N2410;;1;0.14;
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;N2510;11;18;19.84;
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;N3120;;1;0.2;
USLD_P;2021;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR;060780988;NAUT;12;14;13.68;
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;MEDCH;;2;0.17;0
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;N2210;10;12;13.26;1
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;N2460;;2;0.57;
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;N2510;24;26;36.94;1
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;N3120;;1;0.14;0
USLD_P;2021;070000047;CH DE VILLENEUVE DE BERG;070780127;NAUT;11;17;16.16;0
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;MEDCH;3;2;3.62;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2210;8;1;7.63;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2410;;1;0.4;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2460;;1;0.19;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2510;21;4;17.29;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N3120;;1;0.7;
USLD_P;2021;070784517;LONG SEJOUR CH DE PRIVAS;070002878;NAUT;13;2;9.66;
USLD_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1320;;;0.4;1
USLD_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;MEDCH;;;0.5;1
USLD_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2210;9;4;10.41;0
USLD_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2510;12;5;13.97;0
USLD_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;10;4;13.9;1
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;M1320;1;;0.7;1
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;MEDCH;1;1;1.31;1
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;N2210;3;9;9.92;0
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;N2410;;2;0.5;0
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;N2510;2;35;32.44;0
USLD_P;2021;080005960;USLD SITE CENTRE DE SANTE;080011174;NAUT;5;22;21.47;0
USLD_P;2021;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;MEDCH;1;;0.5;0
USLD_P;2021;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N2210;8;;8;
USLD_P;2021;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N2510;8;;8;
USLD_P;2021;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N3120;2;;2;
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;M1320;;1;0.03;1
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;MEDCH;;1;0.43;1
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;N2210;5;1;5.84;0
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;N2410;1;;1;0
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;N2510;13;3;12.92;0
USLD_P;2021;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;NAUT;3;0;3.99;1
USLD_P;2021;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;MEDCH;2;2;0.75;0
USLD_P;2021;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;N2210;9;;8.22;0
USLD_P;2021;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;N2510;11;1;11.01;0
USLD_P;2021;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;NAUT;9;1;5.21;0
USLD_P;2021;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;MEDCH;1;1;0.47;1
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;M1320;0;2;0.8;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;MEDCH;0;5;1.3;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2210;9;7;12.23;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2410;0;2;0.7;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2510;30;6;33.95;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N3120;0;2;0.9;0
USLD_P;2021;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;NAUT;8;8;11.87;0
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;M1320;;2;0.5;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;MEDCH;;2;0.56;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;N2210;4;1;4.68;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;N2410;;1;0.6;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;N2460;;1;0.3;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;N2510;6;1;9.78;
USLD_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;NAUT;2;3;4.81;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;MEDCH;1;;0.22;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2210;9;1;8.83;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2410;1;;0.25;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2460;;1;0.43;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2510;15;2;12.03;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N3120;1;;0.08;
USLD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;NAUT;6;1;6.75;
USLD_P;2021;110006137;USLD LES RIVES D'ODE;110780061;MEDCH;;1;0.3;
USLD_P;2021;110006137;USLD LES RIVES D'ODE;110780061;N2210;4;1;4.52;
USLD_P;2021;110006137;USLD LES RIVES D'ODE;110780061;N2460;;1;0.5;
USLD_P;2021;110006137;USLD LES RIVES D'ODE;110780061;N2510;11;;12.12;
USLD_P;2021;110006137;USLD LES RIVES D'ODE;110780061;NAUT;;20;5.93;
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;M1320;3;;1.97;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;MEDCH;3;0;1.97;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2210;22;1;17.3;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2410;1;;0.78;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2510;65;;42.15;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N3120;;;;1
USLD_P;2021;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;NAUT;36;;18.05;
USLD_P;2021;110786746;SSR LIMOUX ARAGOU LES TILLEULS;110786324;MEDCH;;1;0.47;0
USLD_P;2021;110786746;SSR LIMOUX ARAGOU LES TILLEULS;110786324;N2210;5;2;8.21;0
USLD_P;2021;110786746;SSR LIMOUX ARAGOU LES TILLEULS;110786324;N2510;16;;18.09;0
USLD_P;2021;110786746;SSR LIMOUX ARAGOU LES TILLEULS;110786324;NAUT;6;;9.98;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;MEDCH;;1;0.45;1
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2210;6;1;6.8;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2410;;1;0.25;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2460;;1;0.2;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2510;14;1;14.8;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N3120;;1;0.2;0
USLD_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;NAUT;9;;9;1
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;MEDCH;0;1;0.2;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2210;4;5;5.56;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2410;;2;0.57;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2460;;1;0.5;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2510;8;9;12.88;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N3120;;1;0.2;0
USLD_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;NAUT;8;4;10.1;0
USLD_P;2021;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;MEDCH;;2;1.66;0
USLD_P;2021;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2210;6;2;7.7;0
USLD_P;2021;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2410;;1;0.2;0
USLD_P;2021;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2460;;1;0.24;0
