BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;SURVADU;3;1095;31;;;134;;;;5;3;0.25;;;;6;;0.5;6;;0.25;;;;;;
REA;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;REAADU;0;1128;96;96;7;707;3;34;23;;;;;;;;;;;;;;;;;;
REA;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;SURVADU;8;1792;188;;;801;;;;1;12;6.38;;1;0.69;10;4;11.12;6;1;4.65;;;;1;1;1.06
REA;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;REAADU;16;5414;538;553;15;3604;12;39;65;3;7;4.73;1;;0.52;15;16;24.68;12;9;17.35;;;;2;;1.98
REA;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SURVADU;0;564;582;;;2416;;;;2;3;1.37;1;;0.5;8;5;11.74;4;4;7.27;;;;1;;1.03
REA;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;REAADU;8;2920;385;395;9;2795;9;36;31;9;1;4.05;1;0;1.57;25;0;24.6;15;1;14.28;1;0;0.33;4;2;3.58
REA;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SURVADU;4;1460;154;;;496;;;;1;;0.27;;;;2;;1.13;2;;0.68;;;;1;;0.56
REA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;AUTSI;0;;312;;;1719;;;;7;;6.78;;;;;;;;;;;;;;;
REA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;REAADU;10;3650;481;493;22;3918;4;33;53;7;1;6.78;1;;1.01;32;2;28.76;16;3;17.52;;;;6;;5.41
REA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SITOT;6;2190;895;;;3493;;;;;;;;;;;;;;;;;;;;;
REA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SURVADU;9;3285;406;;;1988;;;;2;;0.9;;;;6;;5.95;5;2;6.6;;;;2;;2.5
REA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;USIC;6;2190;583;;;1774;;;;1;;1;;;;;;;;;;;;;;;
REA;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;AUTSI;10;3650;220;;;3337;;;;3;1;1.16;2;0;0.49;23;7;9.4;24;1;7.04;0;0;0;2;0;0.72
REA;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SITOT;10;3650;220;;;3337;;;;;;;;;;;;;;;;;;;;;
REA;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SURVADU;7;2555;256;;;2498;;;;9;0;1.3;2;0;1.25;15;1;11.26;18;0;8.74;0;0;0;1;2;0.35
REA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;REAADU;8;2920;530;539;53;2866;5;42;77;0;7;5.18;;2;0.5;19;;18.65;15;1;13.64;;1;0.6;;7;2.7
REA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;SITOT;12;4380;1275;;;3182;;;;;;;;;;;;;;;;;;;;;
REA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;SIUNV;4;1460;198;;;711;;;;0;7;1.57;;1;0.2;8;;7.08;1;1;1.57;;;;;4;0.55
REA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;SURVADU;4;1460;173;;;436;;;;0;6;0.77;;1;0.2;5;;4.86;3;1;3.17;;;;;4;0.75
REA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;USIC;8;2920;1077;;;2471;;;;1;7;2.16;;1;0.6;4;6;8.49;6;4;8.79;;;;;;
REA;2021;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;SURVADU;1;365;19;;;50;;;;0;1;0.08;;;;;;;;;;;;;;;
REA;2021;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;SURVADU;6;2190;16;;;115;;;;4;;4;;;;1;;1;1;;1;1;;1;;;
REA;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;REAADU;8;2920;443;456;8;2633;3;37;82;;13;6.5;1;;0.7;17;;15.78;8;;7.73;;5;2.5;;;
REA;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;SURVADU;32;11680;2377;;;10011;;;;;;;;2;0.75;;33;10.18;;26;9.55;;;;;17;5.86
REA;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;SURVADU;45;16425;1086;;;5899;;;;;;;;2;2;18;3;20.71;10;3;13.05;;;;;;
REA;2021;060780715;CLINIQUE SAINT GEORGE;060000361;SITOT;6;2190;1185;;;1719;;;;;;;;;;;;;;;;;;;;;
REA;2021;060780715;CLINIQUE SAINT GEORGE;060000361;SURVADU;43;15695;3001;;;14344;;;;2;2;2.5;;2;0.5;16;3;17;5;1;6.5;;8;2;8;;8
REA;2021;060780715;CLINIQUE SAINT GEORGE;060000361;USIC;6;2190;1185;;;1719;;;;;18;4.8;;1;0.3;4;1;4.8;4;1;4.8;;2;0.2;2;;2
REA;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SURVADU;8;2920;438;;;1940;;;;2;17;4;;;;4;1;5.29;4;1;5.25;;;;;;
REA;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;SURVADU;3;1095;99;;;242;;;;;;;;;;;;;;;;;;;;;
REA;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;REAENF;5;1825;253;261;14;1394;16;;;1;3;2.88;;17;6.73;1;16;9.23;1;13;7.98;;;;1;5;3.01
REA;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;SURVENF;6;2190;746;;;4805;;;;;3;1.25;;17;6.21;;16;6.54;;12;4.46;;;;;4;1.87
REA;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;SURVADU;9;3285;342;;;3475;;;;;6;0.2;;;;4;1;4.5;4;1;4.5;;4;0.2;2;;2
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;AUTSI;6;2190;190;;;1801;;;;0;1;0.41;;;;;;;;;;;;;;;
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;REAADU;16;8519;943;1296;444;7341;12;38;36;3;10;5.8;3;;3;44;8;52.58;31;6;40.35;;;;14;2;14.35
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SITOT;24;8760;1764;;;6935;;;;;;;;;;;;;;;;;;;;;
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SIUNV;8;2920;459;;;2484;;;;0;4;1.22;;;;;;;;;;;;;;;
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SURVADU;24;6485;1626;;;5001;;;;0;14;3.92;3;;1.59;44;4;43.83;36;;34.16;1;;0.1;10;1;5.49
REA;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USIC;10;3650;1115;;;2650;;;;0;1;0.5;;;;;;;;;;;;;;;
REA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;AUTSI;13;4745;627;;;5027;;;;0;9;2.35;2;;1.18;12;1;12.67;9;1;10.67;;;;5;1;3.9
REA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;REAADU;19;7148;726;766;34;6589;55;42;40;5;7;6.38;3;;2.81;39;3;41.42;30;3;34.09;;;;10;3;9.54
REA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SITOT;13;4745;627;;;5027;;;;;;;;;;;;;;;;;;;;;
REA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVADU;12;4134;820;;;3169;;;;1;8;3.63;1;;0.3;9;3;11.5;9;1;9.43;;;;1;1;0.76
REA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVENF;10;3650;504;;;2253;;;;0;5;1.76;10;1;11.55;6;;5.36;11;1;11.27;;;;4;3;4.28
REA;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;REAADU;8;2920;194;204;9;2311;79;49;55;2;9;2.98;;1;0.65;9;4;12.89;6;4;10.37;;1;0.25;;1;0.58
REA;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;SURVADU;10;3650;326;;;2854;;;;2;1;2.19;;1;0.41;5;3;7.9;6;3;8.8;;2;0.25;;1;0.49
REA;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;REAADU;11;4015;758;781;39;2770;13;26;172;;;;1;;1;18;0;17.73;11;0;9.76;;;;7;;4.45
REA;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SITOT;8;2920;800;;;2734;;;;;;;;;;;;;;;;;;;;;
REA;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SURVADU;28;10220;2114;;;6351;;;;;;;0;1;0.35;;17;6.85;;9;4.97;;;;;7;3.93
REA;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;USIC;8;2920;800;;;2734;;;;;;;0;;0.4;4;;7.4;5;;4.94;;;;;;
REA;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;SURVADU;33;12045;1493;;;8457;;;;12;3;4;9;;1.5;20;1;21.88;17;0;16.6;2;5;0.3;1;19;18.3
REA;2021;070000013;CH DE PRIVAS ARDECHE;070002878;SURVADU;4;1460;273;;;1086;;;;1;;1;;;;14;1;10.75;10;1;6.5;;;;;;
REA;2021;070000179;CH ARDECHE NORD;070780358;REAADU;8;2920;448;459;31;3289;5;39;111;4;1;3.5;1;0;1.53;14;9;21.79;8;8;16.95;0;0;0;1;4;2.73
REA;2021;070000179;CH ARDECHE NORD;070780358;SURVADU;10;3650;387;;;1839;;;;5;0;1.1;1;0;0.2;3;4;5.74;3;0;2.95;0;0;0;3;0;0.33
REA;2021;070000609;CH D'AUBENAS;070005566;REAADU;;;110;112;5;1378;6;35;21;;;;;;;;;;;;;;;;;;
REA;2021;070000609;CH D'AUBENAS;070005566;SURVADU;8;2920;212;;;785;;;;;1;0.81;;;;12;6;15.67;13;;11.36;;;;1;2;1.86
REA;2021;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;SURVADU;4;1460;41;;;357;;;;0;3;0.2;;;;0;2;1;0;2;1;;;;;;
REA;2021;070780424;CLINIQUE PASTEUR;070000245;REAADU;0;0;1;1;0;5;0;46;0;;;;;;;;;;;;;;;;;;
REA;2021;070780424;CLINIQUE PASTEUR;070000245;SURVADU;18;6588;663;;;3131;;;;9;5;13;1;;1;11;1;9.24;7;2;8.48;;;;;;
REA;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;REAADU;;1442;164;167;5;1038;24;45;35;;;;;;;6;;6.2;3;2;5.14;;1;0.18;;1;1.54
REA;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SURVADU;4;196;29;;;155;;;;3;4;1.63;;;;1;;0.84;1;1;0.7;;1;0.02;;1;0.21
REA;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SURVADU;6;2190;452;;;1585;;;;;6;0.8;;;0.15;1;10;5.37;;6;3.23;;;;;2;0.05
REA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;AUTSI;1;365;73;;;637;;;;6;;0.8;;1;0.14;1;1;1.52;1;1;1.58;;;;;1;0.28
REA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;REAADU;15;6253;437;448;19;4783;19;40;40;5;;4.05;;1;0.8;26;8;32.67;20;1;21.11;;;;1;1;1.2
REA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SITOT;13;4745;777;;;4785;;;;;;;;;;;;;;;;;;;;;
REA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SURVADU;;;2;;;4;;;;6;;0.95;;;;;;;;;;;;;;;
REA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;USIC;12;4380;704;;;4148;;;;2;;0.59;;1;0.38;11;8;16.04;11;5;13.81;;;;;;
REA;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;REAADU;8;4380;549;565;44;4177;4;32;129;4;3;3.18;;1;0.29;22;4;19.6;15;2;13.37;;;;;;
REA;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;SURVADU;4;496;104;;;133;;;;3;3;1.55;;1;0.15;22;4;9.8;15;2;6.69;;;;;;
REA;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;AUTSI;9;3285;140;;;2683;;;;;;;1;;0.35;15;;11.89;14;;11.09;2;;1.3;5;2;6.39
REA;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SITOT;9;3285;140;;;2683;;;;;;;;;;;;;;;;;;;;;
REA;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SURVADU;3;1095;209;;;1036;;;;;2;1.4;1;;0.1;14;1;2.87;13;1;2.77;;;;4;;1.95
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;AUTSI;2;730;45;;;789;;;;0;6;1.72;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;REAADU;12;4380;642;667;36;5224;7;36;81;0;5;3.69;0;1;0.8;0;35;26.08;0;27;20.24;0;0;0;1;7;4.26
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SITOT;20;7300;1442;;;6125;;;;;;;;;;;;;;;;;;;;;
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SIUNV;4;1460;258;;;1074;;;;0;5;0.83;0;0;0;0;17;5.85;0;15;0.62;0;0;0;0;4;0.56
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVADU;6;2190;115;;;516;;;;0;5;1.61;0;1;0.2;0;35;6.52;0;27;5.05;0;0;0;0;2;0.22
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVENF;4;1460;357;;;933;;;;0;6;0.6;0;7;6.4;0;0;0;0;14;0.7;0;0;0;0;3;0.3
REA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIC;14;5110;1139;;;4262;;;;0;8;0.85;0;0;0;14;5;17.05;11;2;12.13;0;0;0;0;1;0.05
REA;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SURVADU;12;4380;638;;;2836;;;;6;;6;;13;10.22;;8;6.68;;19;13.08;;;;;;
REA;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;SURVADU;6;2190;452;;;1872;;;;2;0;0.8;1;0;0.25;;;;;;;;;;1;0;0.2
REA;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;SURVADU;8;2920;201;;;1464;;;;;;;1;0;1;8;1;8.78;11;1;11.69;;;;3;0;3
REA;2021;110000023;CH CARCASSONNE;110780061;REAADU;8;3087;398;408;27;2436;1;42;43;;9;6.55;;1;0.6;;30;19.05;;20;12.75;;;;;1;0.39
REA;2021;110000023;CH CARCASSONNE;110780061;SITOT;16;5856;1583;;;5478;;;;;;;;;;;;;;;;;;;;;
REA;2021;110000023;CH CARCASSONNE;110780061;SIUNV;8;2928;833;;;2794;;;;;6;0.68;;1;0.3;7;3;9;9;;8.99;;8;0.7;;;
REA;2021;110000023;CH CARCASSONNE;110780061;SURVADU;6;2190;357;;;1132;;;;;9;2.83;;1;0.3;;30;10.43;;20;8.72;;8;0.1;;1;0.26
REA;2021;110000023;CH CARCASSONNE;110780061;USIC;8;2928;750;;;2684;;;;;4;0.55;;1;0.3;13;2;14;6;;6;;;;;;
REA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;REAADU;8;2920;268;271;20;2684;6;39;10;6;0;5;2;;0.75;16;1;8.93;16;4;11.1;;;;1;;0.75
REA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;SITOT;10;3650;1175;;;2840;;;;;;;;;;;;;;;;;;;;;
REA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;SIUNV;4;1460;459;;;1159;;;;1;;0.76;;;;16;;5.38;10;;3.36;;;;;2;0.1
REA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;SURVADU;4;1460;162;;;773;;;;6;;2.5;2;;0.25;16;1;4.47;16;4;5.53;;;;;;0.25
REA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;USIC;6;2190;716;;;1681;;;;4;6;1.14;;;;16;;8.08;10;;5.04;;;;;2;0.11
REA;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;SURVADU;12;4380;1105;;;3166;;;;;11;5;1;;0.5;9;2;10.81;5;3;8.1;;;;;;
REA;2021;110780483;POLYCL MONTREAL;110000155;SURVADU;8;2920;723;;;3939;;;;2;;2;;;;4;5;6.99;4;2;5.33;;;;2;1;2.33
REA;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;REAADU;8;2920;486;504;41;2670;20;40;107;4;1;5.36;;1;1.13;20;3;21.04;13;1;14.03;;;;1;2;1.23
REA;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SITOT;16;5840;1194;;;4186;;;;;;;;;;;;;;;;;;;;;
REA;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SIUNV;8;2920;525;;;1785;;;;6;2;5.27;;1;0.85;2;6;6.22;6;2;7.64;;;;;2;0.13
REA;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SURVADU;3;1095;181;;;405;;;;;;;;;;;;;;;;;;;;;
