BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;GEN;336;434;0;;15163;1794;2873;1325;516;68;10;8;0;0;0;0;492;193;4;1827;5;1825;1700;655;1077;0;0
URGENCES2;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;406;504;1;IAOMAO;19926;1895;3939;3658;978;206;341;18;3;0;0;0;64;3;24;4063;6;1704;2155;1238;986;1;1
URGENCES2;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;210;252;1;IAO;18327;;;;;;;;;;;;;;;;2;730;701;463;240;1;1
URGENCES2;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;GEN;168;168;;;7699;;;;;;;;;;;;;;;;2;;705;431;284;;
URGENCES2;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;GEN;210;525;1;IAOMAO;27996;4078;4815;5985;1759;739;6;3;0;0;0;0;1946;748;76;7937;9;2545;3650;1363;2434;1;1
URGENCES2;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;;1;IAO;45223;4272;17573;9150;;;508;;;;;;394;;;10052;12;4380;2595;1260;1593;;
URGENCES2;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;626;728;1;IAO;44335;7339;10497;9780;2875;848;460;30;1;;;;550;208;47;10790;12;4380;4205;1032;5304;1;1
URGENCES2;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;668;947;1;IAOMAO;48959;7570;10017;9992;4355;938;362;;;;;;141;;;10495;7;2555;2609;1793;827;1;1
URGENCES2;2021;060002102;CH LA PALMOSA DE MENTON;060791761;GEN;336;322;1;IAO;18536;2801;2929;3131;;;37;;;;;;624;;;3792;4;1460;3522;2308;1372;1;1
URGENCES2;2021;060780491;INSTITUT ARNAULT TZANCK;060790797;GEN;173;271;1;IAO;18801;2139;590;2222;604;7;;;;;;;160;32;5;2382;4;4;;;;1;1
URGENCES2;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;GEN;252;348;1;IAO;31037;2383;4321;2869;746;51;0;;;0;;;263;29;32;3132;5;1825;966;925;41;1;1
URGENCES2;2021;060780715;CLINIQUE SAINT GEORGE;060000361;GEN;280;322;1;IAO;37038;3583;5781;3804;1150;63;5;1;;;;;708;145;27;4517;4;1460;86;85;1;1;1
URGENCES2;2021;060780723;CLINIQUE DU PARC IMPERIAL;060004959;GEN;168;203;1;IAO;13404;1183;134;;;;;;;;;;;;;;8;;321;246;75;1;1
URGENCES2;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;PED;;;1;IAO;53608;;;;;;;;;;;;;;;7371;6;2190;3345;1082;2328;;
URGENCES2;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;964;2184;1;IAOMAO;91712;13815;2232;18975;5998;49;74;13;0;;0;0;5001;1812;16;24050;19;6340;12584;6997;5738;1;1
URGENCES2;2021;070000013;CH DE PRIVAS ARDECHE;070002878;GEN;168;84;1;IAO;13146;1854;2187;4905;892;754;1462;597;19;;;;368;48;24;6735;5;1825;1401;484;1094;1;1
URGENCES2;2021;070000179;CH ARDECHE NORD;070780358;GEN;476;336;1;IAO;32556;3319;9153;10078;1956;1092;;;;;;;;;;10078;14;5110;7431;3339;4819;1;1
URGENCES2;2021;070000609;CH D'AUBENAS;070005566;GEN;420;490;1;IAO;29650;4136;5265;;;;;;;;;;;;;;10;3650;4380;1720;3290;;
URGENCES2;2021;070780424;CLINIQUE PASTEUR;070000245;GEN;168;331;1;IAO;16221;1242;2210;1135;177;17;;;;;;;;;;1135;2;732;352;80;276;1;1
URGENCES2;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;GEN;156;453;1;IAO;15447;1819;3069;4743;1369;488;;;;;;;;;;4743;4;1095;3861;2380;1546;1;1
URGENCES2;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;GEN;336;336;1;IAO;12061;1474;2505;1425;171;501;21;18;0;;;;29;6;;1475;6;2190;2185;1167;1130;1;1
URGENCES2;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;GEN;168;252;0;;6253;822;1226;452;241;3;25;17;;;;;142;20;20;619;2;730;1378;874;538;1;1
URGENCES2;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;GEN;348;1092;1;IAO;47272;5363;13408;3628;872;937;562;33;0;0;0;0;2260;669;35;6450;14;5110;7451;4493;3091;1;1
URGENCES2;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;GEN;476;826;1;IAOMAO;35152;4794;6545;9410;2611;668;0;0;0;0;0;0;67;10;7;9477;8;2920;4991;2637;2465;0;1
URGENCES2;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;336;336;0;;10552;2215;1340;2438;;;;;;;;;;;;2438;3;1095;1089;566;543;1;1
URGENCES2;2021;090001629;CHIVAL SITE LAVELANET;090781774;GEN;168;168;1;IAO;257;29;47;17;5;3;;;;;;;4;2;0;21;;;;;;1;1
URGENCES2;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;GEN;908;1424;1;IAO;54980;6717;13106;10522;3081;1832;7;7;0;;;;1468;247;168;11997;19;6935;5381;1458;6398;1;1
URGENCES2;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;GEN;168;225;1;IAO;17550;3010;3542;2149;;;0;;;0;;;230;;;2379;4;730;447;265;186;1;0
URGENCES2;2021;110000023;CH CARCASSONNE;110780061;GEN;391;840;1;IAOMAO;35217;5181;7673;7383;2216;1019;;;;;;;414;75;66;7797;9;3285;3910;1528;2652;0;1
URGENCES2;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;GEN;168;238;1;IAO;11172;760;2689;467;359;1;2;1;0;;;;400;;;869;2;730;1302;727;588;1;0
URGENCES2;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;GEN;220;551;1;IAO;42463;5048;10821;9753;2973;1153;678;123;8;0;0;0;1160;361;57;11591;9;3285;7923;4768;3406;1;0
URGENCES2;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;GEN;168;400;1;IAO;16808;1837;2672;2477;923;17;;;;;;;;;;2477;6;2190;1255;822;450;1;1
URGENCES2;2021;110780483;POLYCL MONTREAL;110000155;GEN;168;324;1;IAO;19517;1610;3000;;;;;;;;;;;;;;4;1460;1908;1721;189;0;1
URGENCES2;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;GEN;336;332;1;IAO;30672;4821;7143;7633;2651;840;51;2;48;0;0;0;1971;920;68;9655;4;1460;2517;827;1756;1;1
URGENCES2;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;GEN;186;186;1;MAO;13387;2086;2162;2795;1007;77;;;;;;;;;;2795;2;730;548;287;267;1;0
URGENCES2;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;GEN;195;336;1;IAO;10580;1794;1659;1473;740;13;14;9;0;;;;;;;1487;2;730;891;396;527;;
URGENCES2;2021;120004569;CH MILLAU;120004528;GEN;168;252;1;IAO;15835;2024;3113;2557;676;47;71;;;;;;720;;;3348;3;1095;923;297;646;1;1
URGENCES2;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;GEN;168;172;1;IAO;8618;1137;1771;1714;593;91;;;;;;;148;24;37;1862;2;730;921;545;407;1;1
URGENCES2;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;GEN;784;1673;1;IAO;60803;7311;18230;14904;4538;2408;810;14;6;3;1;0;312;99;24;16029;7;3282;10655;4819;6142;1;1
URGENCES2;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;GEN;286;564;1;IAO;37210;3299;12993;6647;2041;1122;101;85;0;29;12;0;1405;502;66;8182;8;2284;2810;1216;1722;1;1
URGENCES2;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;GEN;504;568;1;IAO;37433;4180;9933;9609;2828;1346;;;;;;;;;;9609;6;2190;4214;1010;3492;1;1
URGENCES2;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;GEN;168;441;1;IAO;26409;3063;3582;2955;470;47;;;;28;10;;345;90;72;3328;4;1460;2776;1687;1141;1;1
URGENCES2;2021;130002827;CH JOSEPH IMBERT D'ARLES;130789274;GEN;308;588;1;IAO;34254;;;;;;;;;;;;;;;;4;1460;3424;2213;1245;1;1
URGENCES2;2021;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;GEN;588;11475;1;IAO;45972;4283;12495;1568;25;1371;525;5;100;;;;1441;28;486;3534;8;2920;9235;4340;5316;1;0
URGENCES2;2021;130043664;HOPITAL EUROPEEN;130002157;GEN;504;1008;1;IAO;36354;2555;645;4887;1005;25;;;;;;;1252;390;8;6139;6;2190;2379;1285;1122;1;1
URGENCES2;2021;130780521;APHM HOPITAL NORD;130786049;GEN;789;2049;1;IAO;98022;5398;34917;21774;3309;3359;;;;;;;;;;21774;18;5470;10833;6401;5499;;
URGENCES2;2021;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;GEN;252;420;1;IAO;13077;1679;1037;2644;789;21;12;6;0;0;0;0;51;17;2;2707;2;;11;5;7;1;1
URGENCES2;2021;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;GEN;168;257;1;IAO;12044;663;2006;;;;;;;;;;;;;;6;2190;328;212;129;1;1
URGENCES2;2021;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;GEN;336;595;1;IAO;29495;3467;2343;;;;;;;;;;;;;;6;;1824;750;1142;;
URGENCES2;2021;130783293;APHM HOPITAL LA TIMONE;130786049;GEN;1060;2100;1;IAO;91422;9492;2983;25062;5815;365;;;;;;;;;;25062;19;6935;19911;10153;13010;1;1
URGENCES2;2021;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;130038847;GEN;168;504;1;IAO;13642;1583;449;2314;597;22;;;;;;;;;;2314;4;1460;1315;1221;94;1;1
URGENCES2;2021;130785652;HOPITAL SAINT JOSEPH;130014228;GEN;840;981;1;IAO;65519;5982;27422;12533;3627;3171;;;;;;;;;;12533;11;4015;6414;3474;3229;1;1
URGENCES2;2021;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;GEN;280;672;1;IAO;23787;2582;2513;5439;1451;72;;;;;;;184;30;5;5623;3;;644;185;467;1;1
URGENCES2;2021;130786742;HIA LAVERAN;750821092;GEN;364;663;1;IAOMAO;25877;3750;829;3700;1398;22;40;;;;;;539;234;;4279;10;3650;3735;1453;2394;1;1
URGENCES2;2021;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;PED;206;1104;1;IAO;37357;;;;;;;;;;;;;;;6230;8;2920;2614;834;1845;;
URGENCES2;2021;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;GEN;456;742;1;IAO;40272;3150;15581;11250;2609;1889;10;1;;;;;;;;11260;9;3285;3979;2989;1024;1;0
URGENCES2;2021;140000209;CHU COTE DE NACRE - CAEN;140000100;GEN;632;1428;1;IAOMAO;54995;8396;1225;10392;5978;207;469;11;44;0;0;0;1798;18;18;12659;13;4745;12547;4687;10049;1;1
URGENCES2;2021;140000209;CHU COTE DE NACRE - CAEN;140000100;PED;288;573;1;IAO;23875;;;;;;;;;;;;;;;3581;3;1095;1806;1099;710;;
URGENCES2;2021;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;GEN;168;246;1;IAO;15884;1843;5112;4017;1115;1039;;;;;;;;;;4017;2;730;1509;838;707;1;0
URGENCES2;2021;140000373;CENTRE HOSPITALIER DE VIRE;140000159;GEN;168;252;1;IAO;9688;2010;1189;3080;1400;22;2;1;0;10;2;0;321;73;53;3413;2;730;2090;570;1718;1;1
URGENCES2;2021;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;GEN;196;319;1;IAO;20935;1102;3306;1601;289;;;;;;;;49;4;6;1650;5;1825;713;504;227;1;1
URGENCES2;2021;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;GEN;228;458;1;IAO;25123;2745;3982;2794;601;60;;;;;;;195;49;17;2989;5;1825;44;3;47;1;0
URGENCES2;2021;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;GEN;188;420;1;IAO;20643;2874;4773;4674;1610;527;71;11;0;2;1;0;158;19;2;4905;4;1460;2151;1227;999;1;0
URGENCES2;2021;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;GEN;407;566;1;IAO;16381;2600;1968;4431;;;;;;;;;745;;;5176;5;1830;2547;1039;1780;0;0
URGENCES2;2021;150000032;CH DE SAINT-FLOUR;150780088;GEN;168;168;1;IAO;12851;1839;2289;2528;981;50;137;4;3;0;0;0;366;77;71;3031;0;0;;;;1;1
URGENCES2;2021;150000040;CH HENRI MONDOR;150780096;GEN;282;543;1;IAO;26620;3583;6149;7130;2182;1059;64;10;6;0;0;0;188;29;28;7382;6;2190;1731;284;1589;1;1
URGENCES2;2021;150000164;CH DE MAURIAC;150780468;GEN;48;35;1;;8337;1204;1765;1563;590;23;;;;;;;;;;1563;6;2190;1568;518;1069;0;0
URGENCES2;2021;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;GEN;467;1270;1;IAOMAO;55964;6600;16414;12601;3158;1481;14;0;11;;;;;;;12615;18;5110;5157;2848;2572;1;1
URGENCES2;2021;160000303;CH HOPITAUX SUD-CHARENTE;160006037;GEN;168;252;1;IAO;8938;1460;1447;1931;;;;;;;;;;;;1931;2;730;246;212;41;1;1
URGENCES2;2021;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;GEN;168;207;1;IAO;10286;1578;1977;1351;644;6;19;17;0;;;;650;155;55;2020;2;730;1537;1535;2;1;0
URGENCES2;2021;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;GEN;168;168;0;;9588;1573;1628;1948;831;33;17;11;0;0;0;0;109;;;2074;5;;1063;546;583;1;
URGENCES2;2021;160015368;HOPITAUX DU GRAND COGNAC;160014411;GEN;84;140;1;IAOMAO;15909;2331;2039;5087;1583;116;1;1;;;;;;;;5088;7;2555;4595;2196;2616;1;1
URGENCES2;2021;170000038;CENTRE HOSPITALIER JONZAC;170780050;GEN;168;168;1;IAO;12523;2371;1879;2238;1195;29;32;1;;;;;184;26;19;2454;4;1460;1187;274;1006;1;0
URGENCES2;2021;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;GEN;777;1409;1;IAO;50665;7967;13633;14392;4442;2391;1988;729;67;3;;3;244;14;82;16627;15;5475;4494;1689;2987;1;1
URGENCES2;2021;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;GEN;168;147;1;IAO;10328;1877;1239;971;551;4;15;11;0;;;;532;124;38;1518;3;1095;1191;186;1380;1;1
URGENCES2;2021;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;GEN;504;840;1;IAO;36201;4302;12228;7318;1899;1882;249;4;1;10;0;1;298;54;71;7875;12;4168;3828;915;3752;1;1
URGENCES2;2021;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;GEN;406;1008;1;IAO;35425;4495;9014;9882;2918;1257;6;2;;0;;;489;50;57;10377;9;3285;3573;858;3025;0;1
URGENCES2;2021;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;GEN;336;672;1;IAO;18857;4062;1559;;;;;;;;;;4242;1764;24;4242;;;;;;1;0
URGENCES2;2021;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;GEN;84;98;1;IAO;5856;600;1028;;;;;;;;;;365;102;20;365;;;;;;1;0
URGENCES2;2021;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;GEN;84;195;1;IAO;9987;769;1348;;;;;;;;;;2054;388;81;2054;0;;;;;0;0
URGENCES2;2021;180000010;CH BOURGES - JACQUES COEUR;180000028;GEN;616;1106;1;IAOMAO;46422;8897;9586;11979;2465;1345;;;;;;;;;;11979;13;4745;6675;967;7379;1;1
URGENCES2;2021;180000200;CH DE VIERZON;180000051;GEN;238;308;;;19871;2315;4218;19871;;;;;;;;;;;;19871;4;1464;3091;1296;1964;;
URGENCES2;2021;180000283;CH SAINT AMAND-MONTROND;180000069;GEN;168;273;1;IAO;12839;2351;2186;2030;1128;1;3;2;;;;;832;161;92;2865;5;1825;1933;742;1247;1;1
URGENCES2;2021;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;GEN;288;742;1;IAO;38568;5956;7579;10860;3805;899;;;;;;;;;;10860;9;3285;2726;793;2031;1;1
URGENCES2;2021;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;GEN;203;516;1;IAO;19641;3110;3342;5496;;;317;;;;;;;;;5813;6;2190;1642;326;1392;0;0
URGENCES2;2021;190000091;CENTRE HOSPITALIER D'USSEL;190000075;GEN;168;168;1;IAO;12484;2028;1924;2710;1118;43;3;3;0;0;0;0;0;0;0;2713;1;365;511;209;304;0;
URGENCES2;2021;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;GEN;252;563;1;IAO;32764;4390;9436;5270;889;437;;;;;;;683;245;8;5953;6;2196;4252;3134;1241;1;1
URGENCES2;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;GEN;574;1330;1;IAO;45284;7523;41;14473;4726;21;;;;;;;834;112;;15307;9;3285;4105;2277;1855;1;1
URGENCES2;2021;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;PED;196;925;1;IAO;20778;;;;;;;;;;;;;;;3430;7;2555;3068;1958;1193;;
URGENCES2;2021;210987657;HOSPICES CIVILS DE BEAUNE;210012175;GEN;211;756;1;IAO;20796;3063;4215;5961;1851;636;;;;;;;300;;;6261;6;2190;2749;1298;1528;1;1
URGENCES2;2021;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;GEN;336;420;1;IAO;10641;803;2037;1654;;;0;;;;;;231;;;1885;3;1095;1088;881;212;0;0
URGENCES2;2021;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;GEN;406;609;1;IAO;21240;2625;4910;3396;1046;291;301;13;11;;;;580;246;59;4277;6;2190;2020;984;1095;1;0
URGENCES2;2021;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;GEN;820;1323;1;IAO;71055;7842;20219;19755;5205;3178;;;;;;;9;0;8;19764;17;6205;5094;1860;3783;1;1
URGENCES2;2021;220000095;CTRE HOSPITALIER DINAN;220000046;GEN;406;568;1;IAO;27369;4288;5755;8284;2928;542;;;;;;;970;302;160;9254;8;2920;5375;2703;3260;0;1
URGENCES2;2021;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;GEN;420;653;1;IAO;21568;3290;4718;5697;;;48;;;0;;;407;;;6152;7;1825;1883;605;1345;1;1
URGENCES2;2021;220000368;CENTRE HOSPITALIER LANNION;220000103;GEN;242;571;1;IAO;22130;3337;4302;5441;1956;473;;;;;;;177;23;21;5618;6;2190;2449;960;1622;1;1
URGENCES2;2021;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;GEN;336;252;0;;15091;2524;2368;2895;1301;2;4;2;2;;;;;145;129;2899;4;1460;618;446;181;1;1
URGENCES2;2021;230000820;CENTRE HOSPITALIER GUERET;230780041;GEN;168;672;1;IAO;19019;3360;2892;5804;1897;357;13;8;0;0;0;0;0;0;0;5817;6;2190;2364;762;1729;1;1
URGENCES2;2021;230004657;SITE CROIX BLANCHE;230780058;GEN;168;168;1;IAO;6313;1675;947;;;;;;;;;;;;;;2;732;1178;668;545;1;0
URGENCES2;2021;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;GEN;168;285;1;IAO;11963;1922;1325;1754;;;;;;;;;338;;;2092;4;1460;1507;1302;205;1;1
URGENCES2;2021;240000372;C.H DE BERGERAC;240000059;GEN;320;451;1;IAO;29370;4587;5999;7142;1908;658;;;;;;;410;84;37;7552;8;2920;4640;2148;2932;0;0
URGENCES2;2021;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;GEN;420;840;1;IAO;44809;6334;11802;9972;;1530;177;;;3;;;;;;10152;16;5840;7980;3274;5311;1;1
URGENCES2;2021;240000687;CENTRE HOSPITALIER SARLAT;240000448;GEN;168;420;1;IAO;13353;2241;2631;2891;1267;40;130;19;5;0;0;0;603;104;122;3624;6;2190;1811;333;1702;;
URGENCES2;2021;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;GEN;259;486;1;IAO;28429;2498;5094;;;;;;;;;;;;;;6;2190;1776;519;1603;1;1
URGENCES2;2021;250006954;CHRU JEAN MINJOZ;250000015;GEN;1162;2052;0;IAO;64625;8233;1620;;;;;;;;;;;;;;3;1095;5859;3577;2456;1;1
URGENCES2;2021;250006954;CHRU JEAN MINJOZ;250000015;PED;192;536;1;IAO;18023;;;;;;;;;;;;;;;3427;4;1460;1209;351;995;;
URGENCES2;2021;260000013;CH DE VALENCE;260000021;GEN;668;1589;1;IAO;70402;6892;17040;17201;3608;2386;;;;;;;;;;17201;8;2920;5759;2170;5003;0;1
URGENCES2;2021;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;GEN;378;756;1;IAO;31168;4326;6227;6835;2229;933;;;;;;;;;;6835;10;3650;1652;109;2307;1;1
URGENCES2;2021;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;GEN;658;1128;1;IAO;49678;4948;12881;7972;2039;1822;49;39;0;13;5;0;697;142;9;8731;13;4644;5725;1473;4914;0;1
URGENCES2;2021;260000146;CH DE CREST;260000054;GEN;168;174;0;;10509;915;2296;586;279;0;;;;;;;168;26;15;754;2;730;375;119;276;0;0
URGENCES2;2021;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;GEN;70;306;0;;7431;452;1704;281;109;9;;;;;;;;;;281;0;0;;;;;
URGENCES2;2021;260000286;CH DE DIE;260000104;GEN;168;168;0;;6594;695;1447;960;;;0;;;;;;;;;960;2;730;748;512;273;1;1
URGENCES2;2021;270000045;CH BERNAY;270000060;GEN;168;330;1;IAO;16620;;;1061;;;;;;;;;;;;1061;4;1460;1626;343;1574;1;1
URGENCES2;2021;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;GEN;228;432;1;IAO;25129;2322;2927;1500;333;84;0;0;0;0;0;0;59;0;0;1559;4;1460;4;3;1;1;1
URGENCES2;2021;270000359;CH EVREUX CH EURE-SEINE;270023724;GEN;777;631;1;IAO;61711;3928;23663;8946;1932;1729;;;;;;;;;;8946;7;3173;1997;324;2465;1;1
URGENCES2;2021;270000367;CH GISORS;270000086;GEN;168;168;1;IAO;17021;1859;3065;3312;;;;;;0;;;0;;;3312;3;1095;1097;208;1005;1;1
URGENCES2;2021;270000391;CH LOUVIERS CHI ELBEUF;760024042;GEN;168;308;1;IAO;14968;716;3896;333;189;1;2;0;0;0;0;0;312;43;31;647;1;365;93;80;13;1;1
URGENCES2;2021;270000425;CH PONT-AUDEMER;270000102;GEN;168;168;1;;16585;;;;;;;;;;;;;;;;5;;1583;883;725;0;0
URGENCES2;2021;270000441;CH VERNEUIL-SUR-AVRE;270000110;GEN;168;168;1;IAO;13359;1324;2724;690;;;29;;;;;;310;;;1029;4;1460;751;105;736;0;0
