BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;10;;;249;1;1;12;217;;;;1;991;67;4;2315;2242;73;;372;;8;52;5;5;;;;;;;2;2;;;;;;;6.26;6.26;;;;;;;4;4;;;;;;;1;1;;;;;;;0.5;0.5;;;;;;
PALIA;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;9;0;0;71;0;;;;;;;1;2230;0;0;0;0;0;0;601;;46;20;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;3;2;;;2;2;2;;;;;;1;1.43;1.27;0.35;1.17;0.79;;;0.55
PALIA;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;1;4;;;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;1;2;2;0;5;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060002102;CH LA PALMOSA DE MENTON;060791761;1;4;0;0;45;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780145;CLINIQUE SAINT DOMINIQUE;060000049;1;14;14;0;147;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;060006939;1;4;4;;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780277;CLINIQUE SAINTE BRIGITTE;920030269;1;7;7;;45;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;4;;;101;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780715;CLINIQUE SAINT GEORGE;060000361;1;3;;;84;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;;;;;0;;;;;;;1;397;;9;228;201;1;26;61;;12;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;1;1;;2;1;0.5;0.5;;1.5;1.5;;1;0.5
PALIA;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;6;1;2;;1;1;12;242;0;0;12;1;1164;;;;;;;551;;;;0;;;;;;;;5;;;;;;;;2.12;;;;;;;;0;;;;;;;;6;;;;;;;;2.82;;;;;;;
PALIA;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;1;6;2;;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;11;5;;441;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;070000013;CH DE PRIVAS ARDECHE;070002878;0;;;;;1;1;6;123;;;10;1;350;12;3;283;;;;233;;;;3;;;2;;1;;2;;;;2;;;1;1;1.87;;;3.5;;1;0.2;1.9;;;;1;;;;;;;;1;;;2;1;;;;1.5;;;0.5;0.5
PALIA;2021;070000062;CH DE BOURG SAINT ANDEOL;070005558;1;8;0;0;152;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;070000179;CH ARDECHE NORD;070780358;1;4;0;0;80;0;;;;;;;1;1453;11;7;588;32;556;;613;;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0.05;1.12;0;0;0.8;1.11
PALIA;2021;070000195;CH DE TOURNON SUR RHONE;070780374;1;3;0;0;88;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;070000609;CH D'AUBENAS;070005566;1;6;;;44;0;;;;;;;1;825;23;17;818;140;159;519;419;0;40;50;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;1;1;;;1;;;2;;1;;;2.69;;;1;1
PALIA;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;3;0;0;6;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;6;;;36;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;4;;;14;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;10;0;0;155;0;;;;;;;1;4368;9;5;216;0;36;180;320;0;41;112;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;1;;;;1;1;;;1.86;0;;1;0.5
PALIA;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;1;9;6;0;250;1;1;6;198;;;;1;1295;;;3;1;2;;487;;233;38;;;;;;;;;2;;;;;;1;;0.9;;;;;;0.6;;;;;1;;;;;2;;1;1;;;1;1;0.9;;0.02;1.58;;;0.4;0.43
PALIA;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;4;0;0;53;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;090001629;CHIVAL SITE LAVELANET;090781774;1;3;;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;15;;;48;0;;;;;;;1;1104;30;7;686;85;92;509;788;0;55;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;1;0;0;0;3;3;0;0;0;0;2;0;1.01;1.01;0;1.92;1;0;0.85;0
PALIA;2021;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;;;;;0;;;;;;;1;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;0;;;;;1;1;5;132;0;0;0;1;;;;;;;;;;;;1;1;;6;;5;;;1;1;;;;2;1;1;0.4;0.4;;6.74;;5.79;0.68;0.64;1;1;;1;;;;;0;0;;;;;;;0.1;0.1;;1.11;;;;
PALIA;2021;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;0;;;;;1;1;12;311;;;0;0;;;;;;;;;;;;0;0;1;9;0;10;0;2;4;4;0;1;0;2;1;4;2;2;1;10.33;0;10.93;0.8;4.08;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;1;3;;;38;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;110000023;CH CARCASSONNE;110780061;1;6;;;72;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;1;3;0;;69;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;0;;;;;1;1;12;0;0;256;0;1;2114;17;8;422;59;48;;449;0;28;42;3;;1;7;;10;1;0;;;;1;;;;0;0.65;;0.36;6.45;;9.31;0.3;0;1;;1;;;0;0;1;;;;1;;0;2;2;0.6;;0.1;0.91;;0;1.04;1.59
PALIA;2021;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;12;;;423;0;;;;;;;1;5838;13;;56;;18;38;859;16;195;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;4;4;;;;1;;1;2.6;2.6;;2.1;;0.5;;0.8
PALIA;2021;110780483;POLYCL MONTREAL;110000155;0;;;;;1;1;10;182;;;;1;66;40;6;3635;;;;1783;;12;20;15;;1;7;;7;;;1;;;;;;1;1;16;;1;7;;7;0.5;0.5;1;;1;2;;;1;1;1;;;1;;;;1;2;;1;2.5;;;1;1.75
PALIA;2021;110786746;SSR LIMOUX ARAGOU LES TILLEULS;110786324;1;3;3;;20;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;0;;;;;1;1;10;300;0;0;12;1;1122;8;3;80;66;2;12;337;0;13;37;1;1;;8;2;8;;;1;1;1;1;;;1;;1;1;0.9;8.8;2;8;0.25;;1;1;;1;1;;;;1;1;1;1;1;;1;;0.4;0.4;0.1;1.6;1.6;;0.25;
PALIA;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;0;;;;;1;1;5;125;;;;0;;;;;;;;;;;;;;;5;;5;;;2;;;1;;1;;5;1.3;;;5.84;;5.84;;1.43;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;1;2;;;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;1;3;3;0;;0;;;;;;;0;;;;;;;;;;;;;;;;;4;;;;;;1;1;;1;1;;;;0.25;0.25;4;0.2;0.1;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120004569;CH MILLAU;120004528;1;3;;;51;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;3;1;0;97;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120780135;CENTRE SSR LA CLAUZE;120000104;1;12;12;0;103;1;2;12;;103;0;0;0;;;;;;;;;;;;1;;;4;;6;;5;;;4;1;;1;1;1;0.7;0.7;0.95;4.44;;4.57;0.5;3.26;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;120780143;CSSR LES TILLEULS CEIGNAC;120000112;1;6;6;;11;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;4;4;0;90;0;;;;;;;1;2431;2;1;3;;;;575;0;4;3;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;1;;;1;;;;;;;2;;1;1;;2;0.81;;0.54;0.84
PALIA;2021;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;1;2;0;0;25;0;;;;;;;1;346;17;10;595;292;276;27;170;;75;0;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;;;;;;1;;;2;;0.4;;0.7;1.86;;0.5;1;
PALIA;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;2;;;19;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;6;4;0;81;1;1;12;350;0;0;8;1;3168;0;2;1468;679;13;776;885;8;20;7;1;;;1;;5;1;1;2;1;1;14;;4;;5;2.42;0.7;0.53;9.78;;8.22;1.35;2.74;;;;;;;;;2;;1;6;;;;2;0.52;;0.1;0.83;;;0.25;1.09
PALIA;2021;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;130028228;1;2;2;0;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;1;16;;;639;0;;;;;;;1;0;0;;;;;;1808;;139;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;2;;;;1;2;1;1;;;;2;3;3.2;2.5;0.1;2;;;1;2.5
PALIA;2021;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;4;;;;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;4;16;;20;1;2;;;0.11;1.06;;1.15;0.25;0.15;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;3;0;0;67;0;;;;;;;1;2117;19;1;23;0;23;0;239;0;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;1;1;;;;1;0.89;;0.1;1.5;;;1;0.38
PALIA;2021;130043664;HOPITAL EUROPEEN;130002157;1;16;;;313;0;;;;;;;1;5549;;;0;;;;486;12;145;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;2;1;2;;;1;3;1.2;1.2;0.2;2;;;0.5;1.25
PALIA;2021;130045263;VILLA IZOI;130007487;0;;;;;1;1;14;113;;;;0;;;;;;;;;;;;1;;1;9;;10;1;1;;;;;;;;;0.8;;1;9;;10;0.74;0.7;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130780521;APHM HOPITAL NORD;130786049;1;8;0;0;0;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130781255;HOSPITALITE SAINT THOMAS DE VILLENEUVE;220020739;0;;;;;1;1;20;309;;;;1;0;0;0;542;0;39;517;191;0;0;8;3;;;9;;7;1;4;;;1;;;5;;4;2.89;;1.2;8.7;;10.9;0.83;7.63;;;;2;;;;;1;;1;1;;;1;1;0.5;;0.1;2.3;;;0.5;0.5
PALIA;2021;130782444;CLINIQUE DU CHATEAU DE FLORANS;130001100;1;4;4;0;41;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;130782451;LE MEDITERRANEE CLINIQUE CASTELLAS;130001118;1;2;2;;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
