BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2021;060780996;CHS SAINTE MARIE NICE;630786754;N4130;1;;1.04;0;0;;
IMAGES_P;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;M1160;;12;1;0;1;0;
IMAGES_P;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;N4130;2;;2;0;1;;
IMAGES_P;2021;060781200;CLINIQUE SAINT ANTOINE;060000635;NAUT;1;;1;;;;
IMAGES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1160;13;7;16.21;1;0;;
IMAGES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;MAUT;2;1;3.01;;;;
IMAGES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4130;62;26;77.88;;;;
IMAGES_P;2021;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;46;8;52.47;;;;
IMAGES_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;M1160;0;0;0.18;0;0;;
IMAGES_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N4130;1;;0.25;;;;
IMAGES_P;2021;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;NAUT;2;;2;;;;
IMAGES_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1160;6;7;6.25;0;1;;
IMAGES_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1210;3;0;3;0;0;;
IMAGES_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;2;1;2.35;;;;
IMAGES_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N4130;26;7;30.67;;;;
IMAGES_P;2021;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;38;4;38.46;;;;
IMAGES_P;2021;060789674;CENTRE HELIO MARIN;130037815;N4130;;1;0.67;0;0;;
IMAGES_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;M1160;;3;0.42;0;0;0;0
IMAGES_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N4130;1;2;2.2;0;0;;
IMAGES_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N4160;;1;0.06;;;;
IMAGES_P;2021;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;NAUT;;2;0.19;;;;
IMAGES_P;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4130;3;;3;;;;
IMAGES_P;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4160;0;;0.08;;;;
IMAGES_P;2021;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;NAUT;6;;5.59;;;;
IMAGES_P;2021;060800174;FONDATION LENVAL;060800174;M1160;3;36;5.85;0;1;1;1
IMAGES_P;2021;060800174;FONDATION LENVAL;060800174;N4130;20;1;11.62;0;1;;
IMAGES_P;2021;060800174;FONDATION LENVAL;060800174;N4160;;1;0.5;;;;
IMAGES_P;2021;060800174;FONDATION LENVAL;060800174;NAUT;8;2;6.51;;;;
IMAGES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;M1160;2;1;3;;;;
IMAGES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N4130;6;2;7.5;;;;
IMAGES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;N4160;1;;1;;;;
IMAGES_P;2021;070000013;CH DE PRIVAS ARDECHE;070002878;NAUT;9;3;10.16;;;;
IMAGES_P;2021;070000070;CH DU CHEYLARD;070780150;N4130;;2;1;0;0;;
IMAGES_P;2021;070000179;CH ARDECHE NORD;070780358;M1160;4;1;4.44;0;1;0;0
IMAGES_P;2021;070000179;CH ARDECHE NORD;070780358;N4130;9;11;16.25;0;1;;
IMAGES_P;2021;070000179;CH ARDECHE NORD;070780358;N4160;0;0;0.3;;;;
IMAGES_P;2021;070000179;CH ARDECHE NORD;070780358;NAUT;7;8;11.85;;;;
IMAGES_P;2021;070000187;CH DE LAMASTRE;070780366;N4130;1;1;1.17;0;0;;
IMAGES_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;M1160;;1;0.1;0;0;0;0
IMAGES_P;2021;070000195;CH DE TOURNON SUR RHONE;070780374;N4130;;1;0.2;0;0;;
IMAGES_P;2021;070000609;CH D'AUBENAS;070005566;M1160;5;2;6.46;;;;
IMAGES_P;2021;070000609;CH D'AUBENAS;070005566;N4130;16;3;17.78;;;;
IMAGES_P;2021;070000609;CH D'AUBENAS;070005566;N4160;1;;1;;;;
IMAGES_P;2021;070000609;CH D'AUBENAS;070005566;NAUT;4;5;8.79;;;;
IMAGES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1160;1;;1.4;0;1;1;0
IMAGES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N4130;8;2;9.18;0;1;;
IMAGES_P;2021;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;3;;2.99;;;;
IMAGES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M1160;;3;1.77;;;;
IMAGES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N4130;9;3;8.17;;;;
IMAGES_P;2021;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NAUT;;;0.07;;;;
IMAGES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M1160;;2;0.42;;;;
IMAGES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N4130;;2;1.02;;;;
IMAGES_P;2021;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NAUT;;1;0.35;;;;
IMAGES_P;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;M1160;;2;0.35;0;0;0;0
IMAGES_P;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;N4130;;18;1.97;0;0;;
IMAGES_P;2021;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;NAUT;;2;1.64;;;;
IMAGES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1160;6;6;8.17;0;1;1;0
IMAGES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1210;1;;1;0;0;;
IMAGES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N4130;15;23;36.22;1;0;;
IMAGES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N4160;2;;1.98;;;;
IMAGES_P;2021;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;16;4;18.24;;;;
IMAGES_P;2021;090000019;CH SAINT LOUIS;090180019;M1160;0;1;0.3;0;0;0;1
IMAGES_P;2021;090000019;CH SAINT LOUIS;090180019;N4130;0;1;0.1;0;0;;
IMAGES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M1160;5;1;6.26;0;1;0;0
IMAGES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N4130;22;5;24.92;1;0;;
IMAGES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N4160;;1;0.7;;;;
IMAGES_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;NAUT;8;;7.96;;;;
IMAGES_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1160;1;3;2.75;;;1;0
IMAGES_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N4130;10;2;11.11;;;;
IMAGES_P;2021;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NAUT;4;1;4.36;;;;
IMAGES_P;2021;090001629;CHIVAL SITE LAVELANET;090781774;M1160;;1;0.17;0;0;0;0
IMAGES_P;2021;090001629;CHIVAL SITE LAVELANET;090781774;N4130;3;;3.46;0;0;;
IMAGES_P;2021;090001629;CHIVAL SITE LAVELANET;090781774;N4160;;1;0.1;;;;
IMAGES_P;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1160;10;1;10.12;0;1;0;0
IMAGES_P;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1210;2;4;1.17;0;0;;
IMAGES_P;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4130;32;13;42.13;1;1;;
IMAGES_P;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4160;1;0;1.26;;;;
IMAGES_P;2021;100000090;CENTRE HOSPITALIER DE TROYES;100000017;NAUT;24;8;25.17;;;;
IMAGES_P;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M1160;0;2;0.8;0;0;0;0
IMAGES_P;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N4130;4;1;4.76;0;1;;
IMAGES_P;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N4160;;;0.2;;;;
IMAGES_P;2021;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;NAUT;3;;3.8;;;;
IMAGES_P;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;M1160;5;0;5;;;;
IMAGES_P;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;N4160;1;;1;;;;
IMAGES_P;2021;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;NAUT;10;;10;;;;
IMAGES_P;2021;110000023;CH CARCASSONNE;110780061;M1160;3;4;4.74;0;1;0;0
IMAGES_P;2021;110000023;CH CARCASSONNE;110780061;M1210;2;2;3.29;0;0;;
IMAGES_P;2021;110000023;CH CARCASSONNE;110780061;N4130;28;21;37.78;1;0;;
IMAGES_P;2021;110000023;CH CARCASSONNE;110780061;N4160;3;;3;;;;
IMAGES_P;2021;110000023;CH CARCASSONNE;110780061;NAUT;12;6;14.3;;;;
IMAGES_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;M1160;1;1;1.1;0;0;0;0
IMAGES_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;MAUT;;1;0.12;;;;
IMAGES_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;N4130;7;2;6.98;0;1;;
IMAGES_P;2021;110000049;CH JEAN PIERRE CASSABEL;110780087;NAUT;2;;1.91;;;;
IMAGES_P;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;M1160;4;;4;0;1;0;0
IMAGES_P;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;N4130;19;5;22.22;;;;
IMAGES_P;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;N4160;1;0;0.3;;;;
IMAGES_P;2021;110000056;CH NARBONNE HOTEL DIEU;110780137;NAUT;5;4;7.87;;;;
IMAGES_P;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1160;4;3;4.82;0;1;0;0
IMAGES_P;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1210;2;0;2;0;0;;
IMAGES_P;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4130;17;15;26.63;1;0;;
IMAGES_P;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4160;1;;1;;;;
IMAGES_P;2021;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;NAUT;3;8;6.11;;;;
IMAGES_P;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;M1160;;;1.64;0;1;;
IMAGES_P;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4130;11;3;12.15;0;1;;
IMAGES_P;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4160;1;;1;;;;
IMAGES_P;2021;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;NAUT;;1;0.8;;;;
IMAGES_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;M1160;;3;1.83;0;1;0;0
IMAGES_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4130;7;2;8.6;0;1;;
IMAGES_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4160;1;;1;;;;
IMAGES_P;2021;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;NAUT;4;;4;;;;
IMAGES_P;2021;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N4130;;1;0.4;0;0;;
IMAGES_P;2021;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;N4130;;1;0.8;0;0;;
IMAGES_P;2021;120004569;CH MILLAU;120004528;M1160;1;1;2.26;0;;0;0
IMAGES_P;2021;120004569;CH MILLAU;120004528;N4130;10;2;11.96;0;1;;
IMAGES_P;2021;120004569;CH MILLAU;120004528;N4160;1;;1;;;;
IMAGES_P;2021;120004569;CH MILLAU;120004528;NAUT;4;;4.3;;;;
IMAGES_P;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;M1160;;;;0;1;0;0
IMAGES_P;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;N4130;3;4;5.4;0;1;;
IMAGES_P;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;N4160;;1;0.75;;;;
IMAGES_P;2021;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;NAUT;5;2;4.58;;;;
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M1160;26;3;9.4;0;1;0;0
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M1210;4;0;4;0;0;;
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;MAUT;0;3;1.35;;;;
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N4130;24;24;43.23;1;1;;
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N4160;1;2;1.8;;;;
IMAGES_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;17;13;20.7;;;;
IMAGES_P;2021;130000433;CHS MONTPERRIN;130781131;N4130;;1;0.02;0;0;;
IMAGES_P;2021;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;M1160;;1;0.1;0;0;;
IMAGES_P;2021;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;N4130;2;;2;0;0;;
IMAGES_P;2021;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;NAUT;1;;0.5;;;;
IMAGES_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;M1160;4;2;3.47;0;1;0;0
IMAGES_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N4130;14;8;18.67;0;1;;
IMAGES_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N4160;;1;0.9;;;;
IMAGES_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NAUT;5;4;7.73;;;;
IMAGES_P;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;M1160;2;3;3.49;1;1;0;1
IMAGES_P;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;N4130;16;6;20.8;1;1;;
IMAGES_P;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;N4160;1;;0.8;;;;
IMAGES_P;2021;130001225;HOPITAL DU PAYS SALONAIS;130782634;NAUT;5;4;6.79;;;;
