BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A51;1;65;;;;16939;;0;
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E;;4;1460;;54;895;0;0;
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E50;1;;;;;0;;0;
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E51;1;4;;;;895;;0;
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_TOT;;69;25185;;858;17834;5;0;0
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A;;101;36865;;936;31113;48;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A50;1;4;;;;982;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A51;1;20;;;;6272;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A54;1;10;;;;6331;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A55;1;10;;;;2645;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A59;1;57;;;;14883;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_E50;1;;;;;0;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_E51;1;;;;;0;;0;
SSR;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_TOT;;101;36865;;936;31113;48;0;0
SSR;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A;;100;36500;15;728;30565;76;272;
SSR;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A50;1;47;;;;7472;;0;
SSR;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A51;1;20;;10;;14230;;181;
SSR;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_A52;1;33;;5;;8863;;91;
SSR;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SSR_TOT;;100;36500;15;728;30565;76;272;0
SSR;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A;;30;10950;;219;6336;3;0;
SSR;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A50;1;30;;;;6336;;0;
SSR;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_TOT;;30;10950;;219;6336;3;0;0
SSR;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A;;;;10;0;0;0;1767;
SSR;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A50;1;;;;;0;;0;
SSR;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A52;1;;;10;;0;;1767;
SSR;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_TOT;;;;10;0;0;0;1767;1
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A;;70;25550;13;526;17351;24;2549;
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A50;1;10;;;;6417;;0;
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A53;1;;;5;;0;;1314;
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A54;1;;;5;;0;;464;
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_A59;1;60;;3;;10934;;771;
SSR;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SSR_TOT;;70;25550;13;526;17351;24;2549;
SSR;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A;;91;33215;5;705;27107;41;424;
SSR;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A50;1;10;;;;56;;0;
SSR;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A54;1;81;;5;;27051;;424;
SSR;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_TOT;;91;33215;5;705;27107;41;424;0
SSR;2021;010780252;CRF L'ORCET;010783009;SSR_A;;71;25915;;414;17620;42;0;
SSR;2021;010780252;CRF L'ORCET;010783009;SSR_A50;1;1;;;;6;;0;
SSR;2021;010780252;CRF L'ORCET;010783009;SSR_A51;1;65;;;;15777;;0;
SSR;2021;010780252;CRF L'ORCET;010783009;SSR_A52;1;5;;;;1837;;0;
SSR;2021;010780252;CRF L'ORCET;010783009;SSR_TOT;;71;25915;;414;17620;42;0;
SSR;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A;;100;36500;;398;29618;131;0;
SSR;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A50;1;1;;;;107;;0;
SSR;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A51;1;25;;;;10195;;0;
SSR;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A52;1;74;;;;19316;;0;
SSR;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_TOT;;100;36500;;398;29618;131;0;0
SSR;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E;;115;25200;3;701;16088;13;927;
SSR;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E50;1;58;;1;;12906;;740;
SSR;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E55;1;46;;1;;2054;;104;
SSR;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E58;1;11;;1;;1128;;83;
SSR;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_TOT;;115;25200;3;701;16088;13;927;0
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_A;;3;1095;22;108;634;1;3074;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_A51;1;1;;1;;67;;2;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_A52;1;1;;1;;201;;114;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_A57;1;1;;20;;366;;2958;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_E;;67;24455;20;1866;9954;9;7136;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_E50;1;;;;;0;;0;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_E51;1;6;;2;;1430;;155;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_E52;1;29;;6;;4504;;1466;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_E57;1;32;;12;;4020;;5515;
SSR;2021;010780492;CRF ROMANS-FERRARI;360000707;SSR_TOT;;70;25550;42;1974;10588;10;10210;0
SSR;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_A;;65;21454;10;701;19482;13;1972;
SSR;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_A50;1;65;;10;;19482;;1972;
SSR;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_TOT;;65;21454;10;701;19482;13;1972;0
SSR;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_A;;30;8915;;207;7166;6;0;
SSR;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_A50;1;30;;;;7166;;0;
SSR;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_TOT;;30;8915;;207;7166;6;0;0
SSR;2021;020000089;CH GUISE;020000022;SSR_A;;42;15330;0;413;11511;13;0;
SSR;2021;020000089;CH GUISE;020000022;SSR_A50;1;22;;0;;5541;;0;
SSR;2021;020000089;CH GUISE;020000022;SSR_A59;1;20;;0;;5970;;0;
SSR;2021;020000089;CH GUISE;020000022;SSR_TOT;;42;15330;0;413;11511;13;0;0
SSR;2021;020000097;CH LA FÈRE;020000048;SSR_A;;31;11315;;272;7078;4;0;
SSR;2021;020000097;CH LA FÈRE;020000048;SSR_A50;1;;;;;0;;0;
SSR;2021;020000097;CH LA FÈRE;020000048;SSR_A59;1;31;;;;7078;;0;
SSR;2021;020000097;CH LA FÈRE;020000048;SSR_TOT;;31;11315;;272;7078;4;0;0
SSR;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A;;15;5475;;199;3046;1;0;
SSR;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A50;1;15;;;;3046;;0;
SSR;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_TOT;;15;5475;;199;3046;1;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A;;56;20440;;493;12497;14;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A50;1;7;;;;1051;;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A51;1;8;;;;2947;;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A52;1;11;;;;2321;;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A54;1;;;;;0;;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_A59;1;30;;;;6178;;0;
SSR;2021;020000162;CH SAINT-QUENTIN;020000063;SSR_TOT;;56;20440;;493;12497;14;0;0
SSR;2021;020000246;CH VERVINS;020000071;SSR_A;;33;12045;;236;5768;4;0;
SSR;2021;020000246;CH VERVINS;020000071;SSR_A50;1;33;;;;5768;;0;
SSR;2021;020000246;CH VERVINS;020000071;SSR_TOT;;33;12045;;236;5768;4;0;0
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A;;282;95917;16;2095;74913;184;9811;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A50;1;12;;;;3946;;0;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A51;1;108;;6;;26637;;4626;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A52;1;32;;5;;10113;;2199;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A53;1;7;;;;1511;;0;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A54;1;15;;;;4129;;0;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A55;1;33;;1;;8754;;971;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A59;1;75;;4;;19823;;2015;
SSR;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_TOT;;282;95917;16;2095;74913;184;9811;1
SSR;2021;020000394;CH LAON;020000253;SSR_A;;;;16;0;0;0;2197;
SSR;2021;020000394;CH LAON;020000253;SSR_A53;1;;;16;;0;;2197;
SSR;2021;020000394;CH LAON;020000253;SSR_TOT;;;;16;0;0;0;2197;0
SSR;2021;020000519;CH SOISSONS;020000261;SSR_A;;47;17704;0;652;14295;6;0;
SSR;2021;020000519;CH SOISSONS;020000261;SSR_A50;1;47;;0;;14295;;0;
SSR;2021;020000519;CH SOISSONS;020000261;SSR_A59;1;;;;;0;;0;
SSR;2021;020000519;CH SOISSONS;020000261;SSR_TOT;;47;17704;0;652;14295;6;0;0
SSR;2021;020000535;CH CHAUNY;020000287;SSR_A;;26;9490;;297;7088;5;0;
SSR;2021;020000535;CH CHAUNY;020000287;SSR_A50;1;;;;;;;0;
SSR;2021;020000535;CH CHAUNY;020000287;SSR_A59;1;26;;;;7088;;0;
SSR;2021;020000535;CH CHAUNY;020000287;SSR_TOT;;26;9490;;297;7088;5;0;0
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A;;184;55247;16;1254;41542;129;2808;
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A50;1;184;;16;;41542;;2808;
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A51;1;;;;;0;;0;
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A52;1;;;;;0;;0;
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A55;1;;;;;0;;0;
SSR;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_TOT;;184;55247;16;1254;41542;129;2808;1
SSR;2021;020001087;CH HIRSON;020004495;SSR_A;;30;10950;;233;7731;13;0;
SSR;2021;020001087;CH HIRSON;020004495;SSR_A50;1;30;;;;7731;;0;
SSR;2021;020001087;CH HIRSON;020004495;SSR_TOT;;30;10950;;233;7731;13;0;
SSR;2021;020003877;SSR CH LAON;020000253;SSR_A;;40;13241;;348;8250;8;0;
SSR;2021;020003877;SSR CH LAON;020000253;SSR_A50;1;;;;;;;0;
SSR;2021;020003877;SSR CH LAON;020000253;SSR_A59;1;40;;;;8250;;0;
SSR;2021;020003877;SSR CH LAON;020000253;SSR_TOT;;40;13241;;348;8250;8;0;0
SSR;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A;;14;5110;;93;4713;8;0;
SSR;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A58;1;14;;;;4713;;0;
SSR;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_TOT;;14;5110;;93;4713;8;0;
SSR;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A;;;;8;0;0;0;3246;
SSR;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A51;1;;;6;;0;;2326;
SSR;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A52;1;;;1;;0;;732;
SSR;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A54;1;;;1;;0;;188;
SSR;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_TOT;;;;8;0;0;0;3246;0
SSR;2021;030000012;CH DE NERIS LES BAINS;030780100;SSR_A;;49;14254;10;258;10443;23;1366;
SSR;2021;030000012;CH DE NERIS LES BAINS;030780100;SSR_A50;1;;;;;0;;0;
SSR;2021;030000012;CH DE NERIS LES BAINS;030780100;SSR_A51;1;25;;6;;7249;;890;
SSR;2021;030000012;CH DE NERIS LES BAINS;030780100;SSR_A52;1;24;;4;;3194;;476;
SSR;2021;030000012;CH DE NERIS LES BAINS;030780100;SSR_TOT;;49;14254;10;258;10443;23;1366;0
SSR;2021;030000061;CH DE MOULINS;030780092;SSR_A;;40;14600;0;370;12897;22;70;
SSR;2021;030000061;CH DE MOULINS;030780092;SSR_A50;1;18;;0;;5847;;70;
SSR;2021;030000061;CH DE MOULINS;030780092;SSR_A59;1;22;;0;;7050;;0;
SSR;2021;030000061;CH DE MOULINS;030780092;SSR_TOT;;40;14600;0;370;12897;22;70;0
SSR;2021;030000079;CH DE MONTLUCON;030780100;SSR_A;;30;5553;;235;4825;1;0;
SSR;2021;030000079;CH DE MONTLUCON;030780100;SSR_A50;1;;;;;0;;0;
SSR;2021;030000079;CH DE MONTLUCON;030780100;SSR_A59;1;30;;;;4825;;0;
SSR;2021;030000079;CH DE MONTLUCON;030780100;SSR_TOT;;30;5553;;235;4825;1;0;0
SSR;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A;;70;25550;5;689;22743;43;742;
SSR;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A50;1;24;;5;;8374;;742;
SSR;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A59;1;46;;;;14369;;0;
SSR;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_TOT;;70;25550;5;689;22743;43;742;0
SSR;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A;;40;14600;2;342;11791;13;90;
SSR;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A50;1;40;;2;;11791;;90;
SSR;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_TOT;;40;14600;2;342;11791;13;90;0
SSR;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A;;89;32485;0;526;17004;17;35;
SSR;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A50;1;61;;0;;13857;;35;
SSR;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A58;1;28;;;;3147;;0;
SSR;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_TOT;;89;32485;0;526;17004;17;35;0
SSR;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A;;36;13140;5;213;5296;11;595;
SSR;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A50;1;36;;5;;5296;;595;
SSR;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_TOT;;36;13140;5;213;5296;11;595;
SSR;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A;;55;20075;10;273;8363;6;6084;
SSR;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A50;1;30;;10;;7162;;6084;
SSR;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A59;1;25;;;;1201;;0;
SSR;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_TOT;;55;20075;10;273;8363;6;6084;0
SSR;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A;;43;15069;0;351;10146;1;0;
SSR;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A50;1;43;;;;10146;;0;
SSR;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_TOT;;43;15069;0;351;10146;1;0;0
SSR;2021;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A;;10;3650;10;79;2390;5;10;
SSR;2021;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A50;1;10;;10;;2390;;10;
SSR;2021;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_TOT;;10;3650;10;79;2390;5;10;
SSR;2021;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A;;5;1825;;64;2221;4;0;
SSR;2021;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A50;1;5;;;;2221;;0;
SSR;2021;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_TOT;;5;1825;;64;2221;4;0;0
SSR;2021;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A;;56;20440;;429;15153;31;0;
SSR;2021;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A51;1;56;;;;15153;;0;
SSR;2021;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_TOT;;56;20440;;429;15153;31;0;0
SSR;2021;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A;;15;5475;;227;5113;10;0;
SSR;2021;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A50;1;15;;;;5113;;0;
SSR;2021;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_TOT;;15;5475;;227;5113;10;0;
SSR;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A;;15;5425;10;203;5076;4;1865;
SSR;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A50;1;15;;;;5076;;0;
SSR;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A53;1;;;10;;0;;1865;
SSR;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_TOT;;15;5425;10;203;5076;4;1865;
SSR;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A;;85;31110;;548;19562;52;0;
SSR;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A50;1;1;;;;19475;;0;
SSR;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A59;1;84;;;;87;;0;
SSR;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_TOT;;85;31110;;548;19562;52;0;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_A;;70;25550;5;598;27357;94;2781;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_A50;1;;;;;0;;0;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_A51;1;70;;5;;27357;;2781;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_E;;;;5;0;0;0;39;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_E51;1;;;5;;0;;39;
SSR;2021;040780405;CENTRE DES CARMES;040000168;SSR_TOT;;70;25550;10;598;27357;94;2820;0
SSR;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A;;80;29200;10;688;27149;71;3630;
SSR;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A50;1;;;;;0;;0;
SSR;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A51;1;40;;10;;15196;;3630;
SSR;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A52;1;40;;;;11953;;0;
SSR;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_TOT;;80;29200;10;688;27149;71;3630;0
SSR;2021;040780520;KORIAN LE VERDON;750056335;SSR_A;;40;14600;;366;13826;29;0;
SSR;2021;040780520;KORIAN LE VERDON;750056335;SSR_A50;1;40;;;;13826;;0;
SSR;2021;040780520;KORIAN LE VERDON;750056335;SSR_TOT;;40;14600;;366;13826;29;0;
SSR;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A;;66;24090;;413;16123;37;0;
SSR;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A50;1;20;;;;4343;;0;
SSR;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A59;1;46;;;;11780;;0;
SSR;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_TOT;;66;24090;;413;16123;37;0;0
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A;;90;32760;25;657;27880;87;3356;
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A50;1;26;;5;;7748;;688;
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A51;1;42;;19;;13922;;2081;
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A53;1;;;;;0;;0;
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A54;1;22;;1;;6210;;587;
SSR;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_TOT;;90;32760;25;657;27880;87;3356;
SSR;2021;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_A;;62;22630;;438;14746;17;0;
SSR;2021;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_A50;1;62;;;;14746;;0;
SSR;2021;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_TOT;;62;22630;;438;14746;17;0;0
SSR;2021;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_A;;60;21900;;371;12953;30;0;
SSR;2021;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_A50;1;60;;;;12953;;0;
SSR;2021;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_TOT;;60;21900;;371;12953;30;0;0
SSR;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;SSR_A;;34;12410;;261;7242;4;0;
