BOR;AN;FI;RS;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;;2;1;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;Mcoor;;2;1;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;0;1.08;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2210;3;3;5.5;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3;0;2.99;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0;1;0.3;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;8;6;12.38;
HAD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;1;2;2.51;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M3050;1;;1;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M9999;2;;2;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;Mcoor;1;;1;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2120;1;;1;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2510;4;;4;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N9999;9;;6.4;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NAUT;3;;0.4;
HAD_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;Ncoor;1;;1;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;;1;0.73;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MAUT;;1;0.73;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;1;;1;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2210;4;4;4.31;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;2;5;4.74;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2710;;2;0.45;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N3120;;1;0.5;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;8;13;12.8;
HAD_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;1;1;1.8;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;1;;0.1;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;Mcoor;1;;0.1;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2210;7;3;5.88;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;11;;5.04;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;;1;0.09;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;19;4;12.01;
HAD_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;1;;1;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;;1;0.6;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;Mcoor;;1;0.6;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;;0.29;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2210;8;1;8.8;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;5;1;5.87;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2710;;1;0.1;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;;1;0.1;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;13;6;16;
HAD_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;;2;0.84;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;M9999;1;1;0.81;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;Mcoor;1;1;0.81;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N2210;11;;8.5;25
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N2410;;;;42
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N2510;11;;7.7;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N2710;1;;0.5;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N3120;1;;0.2;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;N9999;27;3;19.36;67
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;NAUT;1;3;0.46;
HAD_P;2021;060006558;HAD ARNAULT TZANCK;060798865;Ncoor;2;;2;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;M3050;;1;0.8;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;M9999;2;3;3.28;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;MAUT;;1;0.1;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;Mcoor;2;1;2.38;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N2120;1;;1;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N2210;24;10;28.7;700
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N2410;0;;0;340
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N2510;21;10;24.7;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N2710;1;;1;10
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N3120;3;1;3;
HAD_P;2021;060785243;HAD NICE & REGION;060001484;N9999;92;25;101.35;1090
HAD_P;2021;060785243;HAD NICE & REGION;060001484;NAUT;26;3;32.75;40
HAD_P;2021;060785243;HAD NICE & REGION;060001484;Ncoor;16;1;10.2;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;M9999;3;;1.69;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;MAUT;3;;1.69;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N2120;1;;1;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N2210;5;1;5.25;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N2460;;1;0.25;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N2510;1;3;3.45;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N3120;1;;0.99;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;N9999;9;7;13.24;
HAD_P;2021;070000609;CH D'AUBENAS;070005566;NAUT;1;2;2.3;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;M9999;;3;0.39;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;Mcoor;;3;0.39;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2510;6;5;8;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2710;;1;0.14;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N3120;;1;0.33;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N9999;15;15;20.73;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;NAUT;1;5;1.53;
HAD_P;2021;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;Ncoor;8;3;10.73;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;M9999;1;1;1.2;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;Mcoor;1;1;1.2;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2120;1;;1;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2210;13;1;13.8;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2510;5;;5;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2710;;1;0.6;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N3120;;1;0.6;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N9999;22;7;26;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;NAUT;1;3;2.2;
HAD_P;2021;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;Ncoor;2;1;2.8;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;M9999;2;1;2.17;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;Mcoor;2;1;2.17;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2120;;1;0.65;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2210;7;;7.26;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2510;5;1;6.55;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N2710;;1;0.5;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N3120;;1;0.7;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;N9999;16;4;19.65;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;NAUT;2;;1.99;
HAD_P;2021;090000175;CHIVAL SITE ST JEAN DE VERGES;090781774;Ncoor;2;;2;
HAD_P;2021;100007699;HAD GHAM;100006279;M3050;1;;0.1;
HAD_P;2021;100007699;HAD GHAM;100006279;M9999;2;2;0.9;
HAD_P;2021;100007699;HAD GHAM;100006279;MAUT;0;2;0.4;
HAD_P;2021;100007699;HAD GHAM;100006279;Mcoor;1;;0.4;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;M9999;;2;0.8;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;Mcoor;;2;0.8;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2120;1;;0.5;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2210;5;2;6.2;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2510;6;3;8.5;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2710;;1;0.4;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N3120;;1;0.6;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N9999;19;9;24.7;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;NAUT;4;1;4.9;
HAD_P;2021;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;Ncoor;3;1;3.6;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;M9999;1;;0.2;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;Mcoor;1;;0.2;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2120;1;;0.5;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2210;8;1;6.85;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2510;1;;0.17;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N2710;;1;0.07;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N3120;1;;0.1;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;N9999;12;2;7.79;
HAD_P;2021;110000247;CH LEZIGNAN CORBIERES;110780772;NAUT;1;;0.1;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;M9999;1;2;1.95;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;Mcoor;1;2;1.95;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2120;1;;1;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2210;9;;9.2;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2510;9;;9.2;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N9999;24;;24;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;NAUT;2;;1.6;
HAD_P;2021;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;Ncoor;3;;3;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;M3050;0;0;0;118
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;M9999;1;3;1.85;118
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;Mcoor;1;3;1.85;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2120;1;1;1.17;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2210;2;18;5.77;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2510;5;16;11.01;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2710;0;1;0.5;0
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N3120;0;1;0.44;
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N9999;11;49;25.98;0
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;NAUT;1;4;2;0
HAD_P;2021;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;Ncoor;2;8;5.09;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;M3050;;1;0.44;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;M9999;1;3;1.78;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;MAUT;;1;0.14;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;Mcoor;1;1;1.2;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;N2120;1;;1;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;N2510;;2;1.54;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;N2710;1;;1;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;N3120;;1;0.8;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;N9999;10;4;12.84;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;NAUT;3;1;3.5;
HAD_P;2021;120783618;HAD UDSMA RODEZ;120784616;Ncoor;5;;5;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M9999;0;3;1.12;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;Mcoor;0;3;1.12;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2120;;1;0.97;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2210;3;1;2.8;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2510;1;1;2.37;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2710;;1;0.47;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N3120;;1;0.8;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N9999;5;8;9.28;
HAD_P;2021;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;1;3;1.87;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;M9999;1;1;0.3;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;MAUT;;1;0.1;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;Mcoor;1;;0.2;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2120;;;0.04;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2210;2;1;3.42;44
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2410;;;;5
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2510;1;;0.88;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2710;;;;1
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N9999;6;2;7;50
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NAUT;2;1;1.91;
HAD_P;2021;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;Ncoor;1;;0.75;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;M9999;;1;0.9;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;Mcoor;;1;0.9;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;N2210;3;1;3.58;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;N9999;7;2;8.08;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;NAUT;3;1;3.5;
HAD_P;2021;130001647;INSTITUT PAOLI CALMETTES;130784127;Ncoor;1;;1;
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;M9999;1;;0.5;
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;Mcoor;1;;0.5;
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2120;1;;0.5;
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2210;4;;2.55;30
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2410;;;;80
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2510;10;2;5.7;
HAD_P;2021;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N9999;15;2;8.75;110
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;M3050;0;1;0.6;0
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;M9999;0;2;1.5;0
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;Mcoor;0;1;0.9;
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N2210;0;0;0;161
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N2410;0;0;0;28
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N2510;2;0;2;
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N2710;0;1;0.11;0
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N3120;0;1;0.5;
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;N9999;6;3;7.11;192
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;NAUT;0;1;0.5;3
HAD_P;2021;130021488;HAD BOUCHES DU RHONE EST;130021439;Ncoor;4;0;4;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;M3050;;;;65
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;M9999;;3;1.8;89
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;MAUT;;;;24
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;Mcoor;;3;1.8;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N2120;1;;1.2;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N2210;;;;393
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N2410;;;;90
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N2510;5;;4.4;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N2710;;;;3
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N3120;1;;1;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;N9999;20;5;21;486
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;NAUT;3;5;5.4;
HAD_P;2021;130021819;HAD CLARA SCHUMANN;130021769;Ncoor;10;;9;
HAD_P;2021;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;M3050;;1;0.04;13
