BOR;AN;FI;RS;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;EXPEQU;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;EXPURO;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;IDRACH;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;ISOCIN;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;LABMAR;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;PISCIN;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;SALINT;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;SIMESP;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;STICON;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;VEHADP;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;APTAUT;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;ASSMAR;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;ASSMEM;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;EXPEQU;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;EXPURO;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;IDRACH;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;ISOCIN;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;LABMAR;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;PISCIN;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;SALINT;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;SIMESP;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;STICON;1;;
SSR2;2021;010000099;CH DE MEXIMIEUX;010780120;VEHADP;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;APTAUT;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;ASSMAR;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;ASSMEM;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;EXPEQU;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;EXPURO;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;IDRACH;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;ISOCIN;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;LABMAR;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;PISCIN;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;SALINT;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;SIMESP;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;STICON;1;;
SSR2;2021;010000107;CH DE PONT DE VAUX;010780138;VEHADP;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;APTAUT;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;ASSMAR;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;ASSMEM;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;EXPEQU;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;EXPURO;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;IDRACH;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;ISOCIN;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;LABMAR;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;PISCIN;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SALINT;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SIMESP;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;STICON;1;;
SSR2;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;VEHADP;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;APTAUT;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;ASSMAR;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;ASSMEM;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;EXPEQU;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;EXPURO;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;IDRACH;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;ISOCIN;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;LABMAR;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;PISCIN;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SALINT;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SIMESP;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;STICON;1;;
SSR2;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;VEHADP;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;APTAUT;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;ASSMAR;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;ASSMEM;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;EXPEQU;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;EXPURO;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;IDRACH;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;ISOCIN;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;LABMAR;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;PISCIN;;;1
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SALINT;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SIMESP;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;STICON;1;;
SSR2;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;VEHADP;;;1
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;APTAUT;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;ASSMAR;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;ASSMEM;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;EXPEQU;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;EXPURO;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;IDRACH;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;ISOCIN;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;LABMAR;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;PISCIN;;1;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SALINT;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SIMESP;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;STICON;1;;
SSR2;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;VEHADP;;1;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;APTAUT;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;ASSMAR;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;ASSMEM;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;EXPEQU;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;EXPURO;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;IDRACH;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;ISOCIN;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;LABMAR;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;PISCIN;;;1
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SALINT;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SIMESP;;;1
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;STICON;1;;
SSR2;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;VEHADP;;1;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;APTAUT;1;;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;ASSMAR;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;ASSMEM;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;EXPEQU;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;EXPURO;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;IDRACH;1;;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;ISOCIN;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;LABMAR;;;1
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;PISCIN;;1;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SALINT;1;;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;SIMESP;1;;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;STICON;1;;
SSR2;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;VEHADP;;;1
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;APTAUT;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;ASSMAR;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;ASSMEM;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;EXPEQU;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;EXPURO;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;IDRACH;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;ISOCIN;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;LABMAR;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;PISCIN;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SALINT;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SIMESP;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;STICON;1;;
SSR2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;VEHADP;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;APTAUT;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;ASSMAR;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;ASSMEM;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;EXPEQU;;1;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;EXPURO;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;IDRACH;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;ISOCIN;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;LABMAR;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;PISCIN;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SALINT;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SIMESP;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;STICON;1;;
SSR2;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;VEHADP;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;APTAUT;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;ASSMAR;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;ASSMEM;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;EXPEQU;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;EXPURO;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;IDRACH;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;ISOCIN;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;LABMAR;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;PISCIN;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SALINT;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;SIMESP;;1;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;STICON;1;;
SSR2;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;VEHADP;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;APTAUT;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;ASSMAR;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;ASSMEM;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;EXPEQU;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;EXPURO;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;IDRACH;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;ISOCIN;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;LABMAR;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;PISCIN;;1;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SALINT;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SIMESP;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;STICON;1;;
SSR2;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;VEHADP;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;APTAUT;;1;
SSR2;2021;010780252;CRF L'ORCET;010783009;ASSMAR;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;ASSMEM;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;EXPEQU;;1;
SSR2;2021;010780252;CRF L'ORCET;010783009;EXPURO;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;IDRACH;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;ISOCIN;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;LABMAR;;;1
SSR2;2021;010780252;CRF L'ORCET;010783009;PISCIN;;1;
SSR2;2021;010780252;CRF L'ORCET;010783009;SALINT;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;SIMESP;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;STICON;1;;
SSR2;2021;010780252;CRF L'ORCET;010783009;VEHADP;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;APTAUT;;;1
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;ASSMAR;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;ASSMEM;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;EXPEQU;;1;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;EXPURO;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;IDRACH;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;ISOCIN;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;LABMAR;;1;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;PISCIN;;;1
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SALINT;;1;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SIMESP;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;STICON;1;;
SSR2;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;VEHADP;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;APTAUT;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;ASSMAR;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;ASSMEM;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;EXPEQU;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;EXPURO;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;IDRACH;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;ISOCIN;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;LABMAR;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;PISCIN;;1;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SALINT;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SIMESP;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;STICON;1;;
SSR2;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;VEHADP;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;APTAUT;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;ASSMAR;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;ASSMEM;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;EXPEQU;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;EXPURO;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;IDRACH;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;ISOCIN;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;LABMAR;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;PISCIN;;1;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;SALINT;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;SIMESP;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;STICON;1;;
SSR2;2021;010780492;CRF ROMANS-FERRARI;360000707;VEHADP;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;APTAUT;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;ASSMAR;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;ASSMEM;;1;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;EXPEQU;;1;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;EXPURO;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;IDRACH;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;ISOCIN;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;LABMAR;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;PISCIN;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SALINT;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SIMESP;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;STICON;1;;
SSR2;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;VEHADP;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;APTAUT;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;ASSMAR;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;ASSMEM;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;EXPEQU;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;EXPURO;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;IDRACH;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;ISOCIN;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;LABMAR;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;PISCIN;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SALINT;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SIMESP;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;STICON;1;;
SSR2;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;VEHADP;1;;
SSR2;2021;020000089;CH GUISE;020000022;APTAUT;1;;
SSR2;2021;020000089;CH GUISE;020000022;ASSMAR;1;;
SSR2;2021;020000089;CH GUISE;020000022;ASSMEM;1;;
SSR2;2021;020000089;CH GUISE;020000022;EXPEQU;1;;
SSR2;2021;020000089;CH GUISE;020000022;EXPURO;1;;
SSR2;2021;020000089;CH GUISE;020000022;IDRACH;1;;
SSR2;2021;020000089;CH GUISE;020000022;ISOCIN;;1;
SSR2;2021;020000089;CH GUISE;020000022;LABMAR;1;;
SSR2;2021;020000089;CH GUISE;020000022;PISCIN;1;;
SSR2;2021;020000089;CH GUISE;020000022;SALINT;1;;
SSR2;2021;020000089;CH GUISE;020000022;SIMESP;1;;
SSR2;2021;020000089;CH GUISE;020000022;STICON;1;;
SSR2;2021;020000089;CH GUISE;020000022;VEHADP;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;APTAUT;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;ASSMAR;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;ASSMEM;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;EXPEQU;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;EXPURO;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;IDRACH;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;ISOCIN;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;LABMAR;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;PISCIN;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;SALINT;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;SIMESP;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;STICON;1;;
SSR2;2021;020000097;CH LA FÈRE;020000048;VEHADP;1;;
