,adresse_code_insee,adresse_code_postal,adresse_distribution,adresse_gestion_acheminement,adresse_gestion_code_postal,adresse_gestion_distribution,adresse_gestion_format_postal,adresse_gestion_geo,adresse_gestion_libelle_voie,adresse_gestion_nom,adresse_gestion_pays,adresse_libelle_commune,adresse_libelle_voie,adresse_numero_voie,adresse_repetition,adresse_siege,adresse_type_voie,autorisation_publication_web,code_gestion,created_at,date_creation,date_declaration_dissolution,date_derniere_declaration,date_publication_creation,derniere_maj,dirigeant_civilite,email,groupement,id,id_association,id_ex_association,is_waldec,l1_adresse_import,l2_adresse_import,l3_adresse_import,nature,numero_reconnaissance_utilite_publique,objet,objet_social1,objet_social2,observation,position_activite,siret,site_web,source,telephone,titre,titre_court,updated_at
10,22278,22000,_,ST BRIEUC,22000,,,,10 RUE JEAN MéTAIRIE,,FRANCE,Saint-Brieuc,Mathurin Méheut,81,,,RUE,0,224P,2018-10-01T16:18:37.000Z,1925-04-29,,2017-08-25,1925-05-16,2018-02-23 20:00:03,PM,,S,4405182,W224004680,0224000101,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque en communion avec le saint-siège,et conformément à la constitution de l'église catholique",040000,000000,Reprise  =>  date ag=0000-00-00 reprise auto => date publication création au JO à vérifier,A,77745992600013,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,ASSOCIATION DIOCESAINE DE SAINT-BRI...,2018-10-01T16:18:37.000Z
11,22278,22000,,,,,,,,,,SAINT-BRIEUC,,,,,,,224P,2018-10-01T16:23:22.000Z,0001-01-01,,,1925-05-16,2014-12-23 12:45:53,PM,,S,5579333,224P0224000101,0224000101,false,"10, rue Jean Métairie",,,D,,"Subvenir aux frais et a l'entretien du culte catholique sous l'autorite de l'eveque en communion avec le saint-siege,et conformement a la constitution de l'eglise catholique.",040000,000000,W224004680,R,,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,2018-10-01T16:23:22.000Z
12,75116,75016,_,PARIS 16,75016,,,,32 rue La fontaine,,FRANCE,Paris,La fontaine,32,,,RUE,0,751P,2018-09-23T09:51:30.000Z,1985-03-04,,2013-03-05,1985-03-20,2013-03-28 10:08:52,FS,,S,434168,W751071645,71645,true,,,,D,,"offrir aux familles et plus particulièrement aux enfants, un cadre de rencontre et d'échange, de proposer à ses membres et d'organiser toute activités culturelle et éducatives sous forme de publication, réunions, séssions, camps voyage, de fonder ou de favoriser toute organsiation d'entraide et tous services à la dispostion de ses membres",006000,000000,,A,,,MISSION THERESIENNE,,MISSION THERESIENNE,MISSION THERESIENNE,2018-09-23T09:51:30.000Z
13,75116,75016,_,PARIS 16,75016,,,,32 rue La fontaine,,FRANCE,Paris,La fontaine,32,,,RUE,0,751P,2018-10-01T16:13:27.000Z,1985-03-04,,2013-03-05,1985-03-20,2013-03-28 10:08:52,FS,,S,3283007,W751071645,71645,true,,,,D,,"offrir aux familles et plus particulièrement aux enfants, un cadre de rencontre et d'échange, de proposer à ses membres et d'organiser toute activités culturelle et éducatives sous forme de publication, réunions, séssions, camps voyage, de fonder ou de favoriser toute organsiation d'entraide et tous services à la dispostion de ses membres",006000,000000,,A,,,MISSION THERESIENNE,,MISSION THERESIENNE,MISSION THERESIENNE,2018-10-01T16:13:27.000Z
14,35264,35220,_,ST DIDIER,35220,,,,,,FRANCE,Saint-Didier,L'EGALLERIE,,,,,0,351S,2018-09-23T09:52:22.000Z,1995-01-30,,2013-01-08,1901-07-01,2013-01-10 10:51:14,PM,,S,616265,W353000459,0353015099,true,,,,D,,ETABLIR DES LIENS DE SOLIDARITE ENTRE LES ORGNISATION HUMANITAIRES EXISTANTS DANS DIVERS PAYS,040000,000000,,A,,,MISSION THERESIENNE,,FRA. MIS. THE. (FRATERNITE MISSION THERESIENNE),FRA. MIS. THE. (FRATERNITE MISSION ...,2018-09-23T09:52:22.000Z
15,35264,35220,_,ST DIDIER,35220,,,,,,FRANCE,Saint-Didier,L'EGALLERIE,,,,,0,351S,2018-10-01T16:14:16.000Z,1995-01-30,,2013-01-08,1901-07-01,2013-01-10 10:51:14,PM,,S,3465323,W353000459,0353015099,true,,,,D,,ETABLIR DES LIENS DE SOLIDARITE ENTRE LES ORGNISATION HUMANITAIRES EXISTANTS DANS DIVERS PAYS,040000,000000,,A,,,MISSION THERESIENNE,,FRA. MIS. THE. (FRATERNITE MISSION THERESIENNE),FRA. MIS. THE. (FRATERNITE MISSION ...,2018-10-01T16:14:16.000Z
16,75115,75740,_,PARIS 15E,75740,,,,101  QUAI BRANLY,,FRANCE,Paris 15e,Branly,101,,,QUAI,0,751P,2018-09-23T09:56:16.000Z,1969-05-19,,2017-09-20,1969-05-28,2018-03-21 20:00:01,PF,,S,1547170,W751019447,19447,true,,,,D,,"mettre à la disposition des jeunes par tous les moyens appropriés les informations dont ceux ci souhaitent disposer dans tous les domaines; elle vise également à favoriser l'initiative, l'engagement social et la mobilité des jeunes; à cet effet elle mettra en place ou suscitera la mise en place de structures et de services adaptés à son objet",005000,006005,,A,,,CENTRE D'INFORMATION ET DE DOCUMENTATION JEUNESSE (CIDJ),,CENTRE D'INFORMATION ET DE DOCUMENTATION JEUNESSE CIDJ,CIDJ,2018-09-23T09:56:16.000Z
17,75115,75740,_,PARIS 15E,75740,,,,101  QUAI BRANLY,,FRANCE,Paris 15e,Branly,101,,,QUAI,0,751P,2018-10-01T16:18:35.000Z,1969-05-19,,2017-09-20,1969-05-28,2018-03-21 20:00:01,PF,,S,4397439,W751019447,19447,true,,,,D,,"mettre à la disposition des jeunes par tous les moyens appropriés les informations dont ceux ci souhaitent disposer dans tous les domaines; elle vise également à favoriser l'initiative, l'engagement social et la mobilité des jeunes; à cet effet elle mettra en place ou suscitera la mise en place de structures et de services adaptés à son objet",005000,006005,,A,,,CENTRE D'INFORMATION ET DE DOCUMENTATION JEUNESSE (CIDJ),,CENTRE D'INFORMATION ET DE DOCUMENTATION JEUNESSE CIDJ,CIDJ,2018-10-01T16:18:35.000Z
18,92049,92120,_,MONTROUGE,92120,,,,63 avenue de la République,,FRANCE,Montrouge,de la République,63,,,AV,0,921S,2018-09-23T09:55:25.000Z,1941-05-24,,2017-03-03,1941-06-18,2018-06-13 09:02:38,PF,,S,1340440,W921001419,12108349,true,,,,D,,"créer, entretenir et développer la formation civique, intellectuelle, morale physique, spirituelle et chrétienne, au sens le plus large et le plus noble de l'enfance et de la jeunesse",040000,000000,,A,,,FEDERATION NATIONALE DE L'ACTION CATHOLIQUE DES ENFANTS,,FEDERATION NATIONALE DE L'ACTION CATHOLIQUE DES ENFANTS,FEDERATION NATIONALE DE L'ACTION C...,2018-09-23T09:55:25.000Z
19,92049,92120,_,MONTROUGE,92120,,,,63 avenue de la République,,FRANCE,Montrouge,de la République,63,,,AV,0,921S,2018-10-01T16:17:38.000Z,1941-05-24,,2017-03-03,1941-06-18,2018-06-13 09:02:38,PF,,S,4190165,W921001419,12108349,true,,,,D,,"créer, entretenir et développer la formation civique, intellectuelle, morale physique, spirituelle et chrétienne, au sens le plus large et le plus noble de l'enfance et de la jeunesse",040000,000000,,A,,,FEDERATION NATIONALE DE L'ACTION CATHOLIQUE DES ENFANTS,,FEDERATION NATIONALE DE L'ACTION CATHOLIQUE DES ENFANTS,FEDERATION NATIONALE DE L'ACTION C...,2018-10-01T16:17:38.000Z
20,52121,52000,_,CHAUMONT,52000,,,,11 rue des Platanes,,FRANCE,Chaumont,11 rue des Platanes,,,,,0,521P,2018-09-23T09:50:41.000Z,1980-01-10,,2016-12-04,1980-01-24,2017-06-05 20:00:06,MS,,S,316396,W521001057,0521000782,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque, en communion avec le saint siège, et conformément à la constitution de l'Eglise catholique",040000,040000,,A,,,ASSOCIATION DIOCESAINE DE LANGRES,,ASSOCIATION DIOCESAINE DE LANGRES,ADL,2018-09-23T09:50:41.000Z
21,52121,52000,_,CHAUMONT,52000,,,,11 rue des Platanes,,FRANCE,Chaumont,11 rue des Platanes,,,,,0,521P,2018-10-01T16:12:55.000Z,1980-01-10,,2016-12-04,1980-01-24,2017-06-05 20:00:06,MS,,S,3165048,W521001057,0521000782,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque, en communion avec le saint siège, et conformément à la constitution de l'Eglise catholique",040000,040000,,A,,,ASSOCIATION DIOCESAINE DE LANGRES,,ASSOCIATION DIOCESAINE DE LANGRES,ADL,2018-10-01T16:12:55.000Z
22,52121,52000,_,CHAUMONT,52000,,,,,,FRANCE,Chaumont,11 rue des Platanes,,,,,1,521P,2018-09-23T09:52:58.000Z,1980-01-10,,2013-10-08,1980-01-24,2013-10-09 11:15:46,PF,,S,762459,W521001006,0521000788,true,,,,D,,"dans le diocèse de Langres, promouvoir et coordonner tous les efforts relatifs à l'enseingement religieux de toutes les personnes de tous les âges conformément à la doctrine de l'église catholique romaine ; favoriser le recrutement et la formation detoutes les personnes chargées de dispenser cet enseignement ; mettre à leur disposition tout ce qui est utile à la formation de leur fonction",015000,040000,,A,780476545,,ASSOCIATION DIOCESAINE DE LANGRES,,ASSOCIATION DIOCESAINE DE L'ENSEIGNEMENT RELIGIEUX DU DIOCESE DE LANGRES,ASSOCIATION DIOCESAINE DE L'ENSEIG...,2018-09-23T09:52:58.000Z
23,52121,52000,_,CHAUMONT,52000,,,,,,FRANCE,Chaumont,11 rue des Platanes,,,,,1,521P,2018-10-01T16:14:57.000Z,1980-01-10,,2013-10-08,1980-01-24,2013-10-09 11:15:46,PF,,S,3611788,W521001006,0521000788,true,,,,D,,"dans le diocèse de Langres, promouvoir et coordonner tous les efforts relatifs à l'enseingement religieux de toutes les personnes de tous les âges conformément à la doctrine de l'église catholique romaine ; favoriser le recrutement et la formation detoutes les personnes chargées de dispenser cet enseignement ; mettre à leur disposition tout ce qui est utile à la formation de leur fonction",015000,040000,,A,780476545,,ASSOCIATION DIOCESAINE DE LANGRES,,ASSOCIATION DIOCESAINE DE L'ENSEIGNEMENT RELIGIEUX DU DIOCESE DE LANGRES,ASSOCIATION DIOCESAINE DE L'ENSEIG...,2018-10-01T16:14:57.000Z
24,75107,75007,_,PARIS 07,75007,,,,58 avenue de Breteuil,,FRANCE,Paris,de Breteuil,58,,,AV,0,751P,2018-09-23T09:55:15.000Z,1964-08-10,,2015-02-23,1964-09-10,2015-03-26 12:13:22,AR,,S,1302207,W751209324,990101,true,,,,U,,exercer toute action d'entraide de collaboration et de coordination entre les assos diocésaines en vue de les mettre mieux(...) dans les limites des finalités declinees ci dessus,040000,000000,,A,,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,UNION DES ASSOCIATIONS DIOCESAINES ...,2018-09-23T09:55:15.000Z
25,75101,75001,,,,,,,,,,PARIS,,,,,,,691P,2018-09-23T09:59:44.000Z,2001-05-23,,,0001-01-01,2004-06-21 06:57:02,PM,,S,2426864,691P0990U00008,0990U00008,false,,,,U,,,000000,000000,,A,,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,2018-09-23T09:59:44.000Z
26,75107,75007,_,PARIS 07,75007,,,,58 avenue de Breteuil,,FRANCE,Paris,de Breteuil,58,,,AV,0,751P,2018-10-01T16:17:27.000Z,1964-08-10,,2015-02-23,1964-09-10,2015-03-26 12:13:22,AR,,S,4151845,W751209324,990101,true,,,,U,,exercer toute action d'entraide de collaboration et de coordination entre les assos diocésaines en vue de les mettre mieux(...) dans les limites des finalités declinees ci dessus,040000,000000,,A,,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,UNION DES ASSOCIATIONS DIOCESAINES ...,2018-10-01T16:17:27.000Z
27,75101,75001,,,,,,,,,,PARIS,,,,,,,691P,2018-10-01T16:22:24.000Z,2001-05-23,,,0001-01-01,2004-06-21 06:57:02,PM,,S,5281579,691P0990U00008,0990U00008,false,,,,U,,,000000,000000,,A,,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,,2018-10-01T16:22:24.000Z
28,22278,22000,_,ST BRIEUC,22000,,,,10 RUE JEAN MéTAIRIE,,FRANCE,Saint-Brieuc,Mathurin Méheut,81,,,RUE,0,224P,2018-09-23T09:56:18.000Z,1925-04-29,,2017-08-25,1925-05-16,2018-02-23 20:00:03,PM,,S,1554900,W224004680,0224000101,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque en communion avec le saint-siège,et conformément à la constitution de l'église catholique",040000,000000,Reprise  =>  date ag=0000-00-00 reprise auto => date publication création au JO à vérifier,A,77745992600013,,ASSOCIATION DIOCESAINE DE SAINT BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,ASSOCIATION DIOCESAINE DE SAINT-BRI...,2018-09-23T09:56:18.000Z
29,22278,22000,,,,,,,,,,SAINT-BRIEUC,,,,,,,224P,2018-09-23T10:00:45.000Z,0001-01-01,,,1925-05-16,2014-12-23 12:45:53,PM,,S,2724977,224P0224000101,0224000101,false,"10, rue Jean Métairie",,,D,,"Subvenir aux frais et a l'entretien du culte catholique sous l'autorite de l'eveque en communion avec le saint-siege,et conformement a la constitution de l'eglise catholique.",040000,000000,W224004680,R,,,ASSOCIATION DIOCESAINE DE SAINT BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,2018-09-23T10:00:45.000Z
30,22278,22000,_,ST BRIEUC,22000,,,,10 RUE JEAN MéTAIRIE,,FRANCE,Saint-Brieuc,Mathurin Méheut,81,,,RUE,0,224P,2018-10-01T16:18:37.000Z,1925-04-29,,2017-08-25,1925-05-16,2018-02-23 20:00:03,PM,,S,4405182,W224004680,0224000101,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque en communion avec le saint-siège,et conformément à la constitution de l'église catholique",040000,000000,Reprise  =>  date ag=0000-00-00 reprise auto => date publication création au JO à vérifier,A,77745992600013,,ASSOCIATION DIOCESAINE DE SAINT BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,ASSOCIATION DIOCESAINE DE SAINT-BRI...,2018-10-01T16:18:37.000Z
31,22278,22000,,,,,,,,,,SAINT-BRIEUC,,,,,,,224P,2018-10-01T16:23:22.000Z,0001-01-01,,,1925-05-16,2014-12-23 12:45:53,PM,,S,5579333,224P0224000101,0224000101,false,"10, rue Jean Métairie",,,D,,"Subvenir aux frais et a l'entretien du culte catholique sous l'autorite de l'eveque en communion avec le saint-siege,et conformement a la constitution de l'eglise catholique.",040000,000000,W224004680,R,,,ASSOCIATION DIOCESAINE DE SAINT BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,2018-10-01T16:23:22.000Z
32,92046,92240,_,MALAKOFF,92240,,,,52 rue Galliéni,,FRANCE,Malakoff,Galliéni,52,,,RUE,0,921S,2018-09-23T09:56:24.000Z,2006-12-21,,2017-02-20,2007-01-13,2018-05-25 11:23:31,PF,,S,1576180,W921000970,24113005,true,,,,D,,"exploitation du titre pratiques, les cahiers de la médecine utopique appartenant au syndicat de la médecine générale, qui lui en concède contractuellement la licence de marque exclusive, et de toutes publications ou produits annexes ou dérivés en ligne ou sur support, ainsi que la conduite de toutes opérations mobilières ou immobilières se rattachant directement ou indirectement à la réalisation de l'objet ci-dessus défini",017000,000000,,A,,,LES EDITIONS DES CAHIERS DE LA MEDECINE UTOPIQUE,,LES EDITIONS DES CAHIERS DE LA MEDECINE UTOPIQUE,LES EDITIONS DES CAHIERS DE LA MEDE...,2018-09-23T09:56:24.000Z
33,92046,92240,_,MALAKOFF,92240,,,,52 rue Galliéni,,FRANCE,Malakoff,Galliéni,52,,,RUE,0,921S,2018-10-01T16:18:43.000Z,2006-12-21,,2017-02-20,2007-01-13,2018-05-25 11:23:31,PF,,S,4426579,W921000970,24113005,true,,,,D,,"exploitation du titre pratiques, les cahiers de la médecine utopique appartenant au syndicat de la médecine générale, qui lui en concède contractuellement la licence de marque exclusive, et de toutes publications ou produits annexes ou dérivés en ligne ou sur support, ainsi que la conduite de toutes opérations mobilières ou immobilières se rattachant directement ou indirectement à la réalisation de l'objet ci-dessus défini",017000,000000,,A,,,LES EDITIONS DES CAHIERS DE LA MEDECINE UTOPIQUE,,LES EDITIONS DES CAHIERS DE LA MEDECINE UTOPIQUE,LES EDITIONS DES CAHIERS DE LA MEDE...,2018-10-01T16:18:43.000Z
34,13201,13001,_,MARSEILLE,13006,,,,5 RUE GYPTIS,,FRANCE,Marseille,Cosolat,62,,,RUE,0,133P,2018-09-23T09:55:02.000Z,2000-02-11,,2014-11-12,0001-01-01,2014-11-13 10:24:58,PM,,S,1251216,W133004053,0133094631,true,,,,D,,"promouvoir la critique sociale notamment par : l'édition d'un journal intitulé Ce Qu'il faut Détruire (CQFD) ; l'édition de livres ; la gestion d'un centre de documentation ; des activités culturelles : expositions, débats, etc en lien avec l'objet de l'association",002000,002000,,A,,,RESEAU D'INFORMATION SUR LES REFRACTAIRES CE QU'IL FAUT DETRUIRE (RIRE CQFD),,RESEAU D'INFORMATION SUR LES REFRACTAIRES CE QU'IL FAUT DETRUIRE (RIRE CQFD),RIRE CQFD,2018-09-23T09:55:02.000Z
35,13201,13001,_,MARSEILLE,13006,,,,5 RUE GYPTIS,Puzenat Hervé,FRANCE,Marseille,Cosolat,62,,,RUE,0,133P,2018-10-01T16:14:16.000Z,2000-02-11,,2018-08-03,0001-01-01,2018-08-22 11:44:58,PM,,S,3464706,W133004053,0133094631,true,,,,D,,"promouvoir la critique sociale notamment par : l'édition d'un journal intitulé Ce Qu'il faut Détruire (CQFD) ; l'édition de livres ; la gestion d'un centre de documentation ; des activités culturelles : expositions, débats, etc en lien avec l'objet de l'association",002000,002000,,A,,,RESEAU D'INFORMATION SUR LES REFRACTAIRES CE QU'IL FAUT DETRUIRE (RIRE CQFD),,RESEAU D'INFORMATION SUR LES REFRACTAIRES CE QU'IL FAUT DETRUIRE (RIRE CQFD),RIRE CQFD,2018-10-01T16:14:16.000Z
36,77350,77330,_,LORIOL SUR DROME,26270,,,,18  AVENUE du Gal de Gaulle,,FRANCE,Ozoir-la-Ferrière,du Général de Gaulle,34,,,AV,1,771S,2018-09-23T09:52:05.000Z,1969-04-22,,2016-04-11,1969-05-02,2016-10-11 20:00:02,PM,e.waechter@reseaufef.com,S,566973,W771003293,0772011284,true,,,,D,,"rassembler et représenter ses associations membres, affirmer et promouvoir les valeurs du courant spirituel, apporter sa contribution au sein du monde protestant évangélique français, fournir à ses membres des services propres au courant spirituel qu'elle représente, assurer la libre expression et la défense des intérêts de ses associations membres et notamment combattre les discriminations et assister ses associations ou les membres de celles-ci qui en seraient victimes",040000,000000,,A,39219668900021,reseaufef.com,RESEAU FEF,0615720166,RESEAU FEF,RESEAU FEF,2018-09-23T09:52:05.000Z
37,77350,77330,_,LORIOL SUR DROME,26270,,,,18  AVENUE du Gal de Gaulle,,FRANCE,Ozoir-la-Ferrière,du Général de Gaulle,34,,,AV,1,771S,2018-10-01T16:14:02.000Z,1969-04-22,,2016-04-11,1969-05-02,2016-10-11 20:00:02,PM,e.waechter@reseaufef.com,S,3416006,W771003293,0772011284,true,,,,D,,"rassembler et représenter ses associations membres, affirmer et promouvoir les valeurs du courant spirituel, apporter sa contribution au sein du monde protestant évangélique français, fournir à ses membres des services propres au courant spirituel qu'elle représente, assurer la libre expression et la défense des intérêts de ses associations membres et notamment combattre les discriminations et assister ses associations ou les membres de celles-ci qui en seraient victimes",040000,000000,,A,39219668900021,reseaufef.com,RESEAU FEF,0615720166,RESEAU FEF,RESEAU FEF,2018-10-01T16:14:02.000Z
38,25255,25140,_,FOURNET BLANCHEROCHE,25140,,,,,,FRANCE,Fournet-Blancheroche,,,,,,0,252S,2018-09-23T09:49:45.000Z,1981-02-18,,2009-08-10,1981-02-26,2009-08-25 16:28:54,PM,,S,49144,W252000553,0252002959,true,,,,D,,promotion de l'identité culturelle locale par la recherche et la diffusion d'informations et documents concernant le Haut Doubs,010015,000000,,A,,,REGARDS SUR LE HAUT-DOUBS,,REGARDS SUR LE HAUT DOUBS,REGARDS SUR LE HAUT DOUBS,2018-09-23T09:49:45.000Z
