fi;an;fi_ej;rs;grp;stjr;cat;dep;reg;espic;COMINSEE;DISCI;DISCIPLINE;LIT;SEJHC;JOU;PLA;SEJHP;PAS;SEJACC;IVG;SEHEM;SERAD;SECHI
020000162;2021;020000063;CH SAINT-QUENTIN;04;1;355;02;32;1;02691;25000;Soins de longue durée;60;32;19437;;;;;;;;
020000246;2021;020000071;CH VERVINS;04;1;355;02;32;1;02789;21100;Médecine;25;391;6056;;0;;;;;;
020000246;2021;020000071;CH VERVINS;04;1;355;02;32;1;02789;24000;Soins de suite et réadaptation;33;236;5768;;0;;;;;;
020000303;2021;750814030;HOPITAL VILLIERS SAINT DENIS;09;3;365;02;32;6;02818;24000;Soins de suite et réadaptation;282;2095;74913;16;9811;;;;;;
020000360;2021;020014742;CLINIQUE COURLANCY SOISSONS;09;2;128;02;32;0;02722;21100;Médecine;;0;0;;1342;;;;;;
020000360;2021;020014742;CLINIQUE COURLANCY SOISSONS;09;2;128;02;32;0;02722;21200;Chirurgie;30;970;2539;18;4019;;;;;;
020000386;2021;020000600;CLINIQUE DE LA ROSERAIE;15;2;161;02;32;0;02722;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);86;695;23909;10;1927;;;;;;
020000394;2021;020000253;CH LAON;04;1;355;02;32;1;02408;21100;Médecine;131;6845;40611;14;1306;29715;;;6413;;509
020000394;2021;020000253;CH LAON;04;1;355;02;32;1;02408;21200;Chirurgie;34;2553;10465;11;1443;;;;;;
020000394;2021;020000253;CH LAON;04;1;355;02;32;1;02408;21300;Gynéco-Obstétrique;18;1184;4281;0;232;;765;257;;;
020000394;2021;020000253;CH LAON;04;1;355;02;32;1;02408;24000;Soins de suite et réadaptation;;0;0;16;2197;;;;;;
020000519;2021;020000261;CH SOISSONS;04;1;355;02;32;1;02722;21100;Médecine;192;12829;62628;0;0;41610;;;9711;5910;3235
020000519;2021;020000261;CH SOISSONS;04;1;355;02;32;1;02722;21200;Chirurgie;45;3832;8219;15;1;;;;;;
020000519;2021;020000261;CH SOISSONS;04;1;355;02;32;1;02722;21300;Gynéco-Obstétrique;21;1729;5498;0;0;;969;292;;;
020000519;2021;020000261;CH SOISSONS;04;1;355;02;32;1;02722;24000;Soins de suite et réadaptation;47;652;14295;0;0;;;;;;
020000535;2021;020000287;CH CHAUNY;04;1;355;02;32;1;02173;21100;Médecine;114;4227;25945;2;162;15844;;;;;1699
020000535;2021;020000287;CH CHAUNY;04;1;355;02;32;1;02173;21200;Chirurgie;5;203;850;21;1643;;;;;;
020000535;2021;020000287;CH CHAUNY;04;1;355;02;32;1;02173;21300;Gynéco-Obstétrique;18;954;2208;;0;;525;195;;;
020000535;2021;020000287;CH CHAUNY;04;1;355;02;32;1;02173;24000;Soins de suite et réadaptation;26;297;7088;;0;;;;;;
020000535;2021;020000287;CH CHAUNY;04;1;355;02;32;1;02173;25000;Soins de longue durée;44;11;9595;;;;;;;;
020000543;2021;020000295;ETS PUB SANTÉ MENTALE DE L'AISNE;14;1;292;02;32;1;02619;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);312;3136;84282;170;18153;;;;;;
020000915;2021;020003620;SSR JACQUES FICHEUX SAINT-GOBAIN;04;1;355;02;32;1;02680;24000;Soins de suite et réadaptation;184;1254;41542;16;2808;;;;;;
020001061;2021;020004404;CH CHÂTEAU-THIERRY;04;1;355;02;32;1;02168;21100;Médecine;140;7264;41532;4;77;30986;;;;;646
020001061;2021;020004404;CH CHÂTEAU-THIERRY;04;1;355;02;32;1;02168;21200;Chirurgie;15;893;3253;10;3924;;;;;;
020001061;2021;020004404;CH CHÂTEAU-THIERRY;04;1;355;02;32;1;02168;21300;Gynéco-Obstétrique;15;793;3070;;368;;564;222;;;
020001087;2021;020004495;CH HIRSON;04;1;355;02;32;1;02381;21100;Médecine;60;2514;13712;4;666;12524;;;;;
020001087;2021;020004495;CH HIRSON;04;1;355;02;32;1;02381;24000;Soins de suite et réadaptation;30;233;7731;;0;;;;;;
020001772;2021;590799995;UNITE DE DIALYSE DE CHAUNY;07;3;146;02;32;6;02173;21100;Médecine;;;;;;;;;7133;;
020001913;2021;590799995;UNITE DE DIALYSE DE LAON;07;3;146;02;32;6;02408;21100;Médecine;;;;;;;;;7191;;
020003877;2021;020000253;SSR CH LAON;04;1;355;02;32;1;02408;24000;Soins de suite et réadaptation;40;348;8250;;0;;;;;;
020004156;2021;590805065;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;15;3;161;02;32;7;02691;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);60;499;18344;12;2787;;;;;;
020004297;2021;020005179;HAD AMSAM SOISSONS;09;3;127;02;32;7;02722;23000;Hospitalisation à domicile;;;9680;70;412;;;;;;
020004677;2021;020000261;USLD CH SOISSONS;04;1;362;02;32;1;02064;25000;Soins de longue durée;50;34;15584;;;;;;;;
020005476;2021;020000253;USLD CH LAON;04;1;362;02;32;1;02408;25000;Soins de longue durée;41;22;8076;;;;;;;;
020006441;2021;590799995;UNITE DIALYSE DE COURMELLES;07;3;146;02;32;6;02226;21100;Médecine;;;;;;;;;2597;;
020006664;2021;020000063;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;14;1;355;02;32;1;02691;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);71;885;20563;40;7751;;;;;;
020009684;2021;020002085;USLD MSB BOHAIN-EN-VERMANDOIS;04;1;362;02;32;1;02095;25000;Soins de longue durée;30;8;7335;;;;;;;;
020010047;2021;020001632;HOPITAL PRIVE SAINT CLAUDE;09;2;365;02;32;0;02691;21100;Médecine;35;2210;9862;4;345;10805;;;;;2491
020010047;2021;020001632;HOPITAL PRIVE SAINT CLAUDE;09;2;365;02;32;0;02691;21200;Chirurgie;68;3079;7799;40;9561;;;;;;
020010310;2021;750719361;SSR AURORE BUCY-LE-LONG;09;3;109;02;32;6;02131;24000;Soins de suite et réadaptation;14;93;4713;;0;;;;;;
020010898;2021;750721334;HAD CRF CHAUNY;09;3;127;02;32;7;02173;23000;Hospitalisation à domicile;;;6635;25;148;;;;;;
020012860;2021;590799995;UNITE DE DIALYSE DE SAINT-QUENTIN;07;3;146;02;32;6;02691;21100;Médecine;;;;;;;;;16281;;
020014767;2021;590805065;HAD TEMPS DE VIE SAINT-QUENTIN;09;3;127;02;32;7;02691;23000;Hospitalisation à domicile;;;15416;40;368;;;;;;
020016242;2021;590799995;UNITE DE DIALYSE DE GUISE;07;3;146;02;32;6;02361;21100;Médecine;;;;;;;;;4844;;
020016341;2021;750814030;SSR RENAISSANCE SOISSONS;09;3;109;02;32;6;02722;24000;Soins de suite et réadaptation;;0;0;8;3246;;;;;;
020017075;2021;590799995;UNITE DE DIALYSE DE CHATEAU-THIERRY;07;3;146;02;32;6;02168;21100;Médecine;;;;;;;;;2833;;
020017448;2021;590799995;SANTELYS DIALYSE À DOM CH ST QUENTIN;07;3;698;02;32;6;02691;21100;Médecine;;;;;;;;;1535;;
020017455;2021;590799995;SANTELYS DIALYSE À DOMICILE CH LAON;07;3;698;02;32;6;02408;21100;Médecine;;;;;;;;;325;;
030000012;2021;030780100;CH DE NERIS LES BAINS;04;1;355;03;84;1;03195;24000;Soins de suite et réadaptation;49;258;10443;10;1366;;;;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;21100;Médecine;200;9012;59524;16;976;34180;;;7147;9479;5572
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;21200;Chirurgie;47;2932;16198;7;2218;;;;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;21300;Gynéco-Obstétrique;25;1390;5244;2;263;;978;234;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);135;1093;33999;64;8576;;;;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;23000;Hospitalisation à domicile;;;3209;10;211;;;;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;24000;Soins de suite et réadaptation;40;370;12897;0;70;;;;;;
030000061;2021;030780092;CH DE MOULINS;04;1;355;03;84;1;03190;25000;Soins de longue durée;80;50;28900;;;;;;;;
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;21100;Médecine;255;13323;79757;2;1249;39037;;;8138;;2631
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;21200;Chirurgie;33;1567;7739;4;855;;;;;;
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;21300;Gynéco-Obstétrique;33;1614;5624;3;632;;957;280;;;
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;23000;Hospitalisation à domicile;;;7567;30;234;;;;;;
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;24000;Soins de suite et réadaptation;30;235;4825;;0;;;;;;
030000079;2021;030780100;CH DE MONTLUCON;04;1;355;03;84;1;03185;25000;Soins de longue durée;60;31;20117;;;;;;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;21100;Médecine;219;13337;68782;12;2216;30994;;;16767;;5334
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;21200;Chirurgie;64;3245;16702;14;6094;;;;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;21300;Gynéco-Obstétrique;20;1723;5390;0;0;;1043;162;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);85;747;22045;45;2599;;;;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;23000;Hospitalisation à domicile;;;18795;50;631;;;;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;24000;Soins de suite et réadaptation;70;689;22743;5;742;;;;;;
030000087;2021;030780118;CH JACQUES LACARIN VICHY;04;1;355;03;84;1;03310;25000;Soins de longue durée;105;62;36617;;;;;;;;
030000095;2021;030780126;CH DE BOURBON L'ARCHAMBAULT;04;1;355;03;84;1;03036;21100;Médecine;8;90;2245;;0;;;;;;
030000095;2021;030780126;CH DE BOURBON L'ARCHAMBAULT;04;1;355;03;84;1;03036;24000;Soins de suite et réadaptation;40;342;11791;2;90;;;;;;
030000160;2021;030780282;CENTRE HOSPITALIER SPECIALISE D'AINAY;04;1;292;03;84;1;03003;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);59;327;13839;0;0;;;;;;
030000160;2021;030780282;CENTRE HOSPITALIER SPECIALISE D'AINAY;04;1;292;03;84;1;03003;25000;Soins de longue durée;40;3;14388;;;;;;;;
030001689;2021;030005821;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;18;2;698;03;84;0;03098;21100;Médecine;;;;;;;;;;15102;
030002208;2021;030002158;CH DPT COEUR DU BOURBONNAIS TRONGET;04;1;355;03;84;1;03292;24000;Soins de suite et réadaptation;89;526;17004;0;35;;;;;;
030003669;2021;630000990;UNITE DE DIALYSE DE MONTLUCON;07;3;146;03;84;6;03185;21100;Médecine;;;;;;;;;6386;;
030003719;2021;630000990;UNITE DE DIALYSE DE MOULINS;07;3;146;03;84;6;03190;21100;Médecine;;;;;;;;;4750;;
030003768;2021;630000990;UNITE DE DIALYSE DE VICHY;07;3;146;03;84;6;03310;21100;Médecine;;;;;;;;;8901;;
030007942;2021;030002158;CH DPT COEUR BOURBONNAIS ST POURCAIN;04;1;355;03;84;1;03254;21100;Médecine;10;131;3480;0;0;;;;;;
030007942;2021;030002158;CH DPT COEUR BOURBONNAIS ST POURCAIN;04;1;355;03;84;1;03254;24000;Soins de suite et réadaptation;36;213;5296;5;595;;;;;;
030008726;2021;180006496;CTRE ONCO ST JEAN SITE MOULINS;18;2;699;03;84;0;03190;21100;Médecine;;;;;;;;;;8890;
030780548;2021;030000194;POLYCLINIQUE LA PERGOLA;09;2;365;03;84;0;03310;21100;Médecine;10;1164;6065;5;320;;;;;;1647
030780548;2021;030000194;POLYCLINIQUE LA PERGOLA;09;2;365;03;84;0;03310;21200;Chirurgie;57;2392;5513;26;7046;;;;;;
030780548;2021;030000194;POLYCLINIQUE LA PERGOLA;09;2;365;03;84;0;03310;24000;Soins de suite et réadaptation;55;273;8363;10;6084;;;;;;
030781116;2021;030000426;HOPITAL PRIVE SAINT-FRANCOIS;09;2;365;03;84;0;03098;21100;Médecine;64;1983;19950;3;149;1852;;;;;6300
030781116;2021;030000426;HOPITAL PRIVE SAINT-FRANCOIS;09;2;365;03;84;0;03098;21200;Chirurgie;56;2661;9301;25;8003;;;;;;
030781116;2021;030000426;HOPITAL PRIVE SAINT-FRANCOIS;09;2;365;03;84;0;03098;21300;Gynéco-Obstétrique;0;0;0;0;0;;0;2;;;
030781116;2021;030000426;HOPITAL PRIVE SAINT-FRANCOIS;09;2;365;03;84;0;03098;23000;Hospitalisation à domicile;;;4473;20;117;;;;;;
030781116;2021;030000426;HOPITAL PRIVE SAINT-FRANCOIS;09;2;365;03;84;0;03098;24000;Soins de suite et réadaptation;43;351;10146;0;0;;;;;;
030781637;2021;030780100;SERVICE DE PSYCHIATRIE CHATELARD;14;1;355;03;84;1;03217;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);47;480;12484;37;6524;;;;;;
030785430;2021;030785422;POLYCLINIQUE SAINT-ODILON;09;2;365;03;84;0;03190;21100;Médecine;30;2245;7322;3;0;;;;;;502
030785430;2021;030785422;POLYCLINIQUE SAINT-ODILON;09;2;365;03;84;0;03190;21200;Chirurgie;61;1728;4582;27;8122;;;;;;
040000036;2021;040780132;EPS PIERRE GROUES DE BARCELONNETTE;04;1;106;04;93;1;04019;21100;Médecine;5;54;599;;0;;;;;;
040000036;2021;040780132;EPS PIERRE GROUES DE BARCELONNETTE;04;1;106;04;93;1;04019;24000;Soins de suite et réadaptation;10;79;2390;10;10;;;;;;
040000044;2021;040780140;EPS DUCELIA DE CASTELLANE;04;1;106;04;93;1;04039;21100;Médecine;4;41;303;;0;;;;;;
040000044;2021;040780140;EPS DUCELIA DE CASTELLANE;04;1;106;04;93;1;04039;24000;Soins de suite et réadaptation;5;64;2221;;0;;;;;;
040000069;2021;040780215;CHI MANOSQUE SITE FORCALQUIER;04;1;355;04;93;1;04088;24000;Soins de suite et réadaptation;56;429;15153;;0;;;;;;
040000093;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;04;1;355;04;93;1;04112;21100;Médecine;129;6865;38849;11;183;32696;;;;;3746
040000093;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;04;1;355;04;93;1;04112;21200;Chirurgie;41;3350;8164;10;0;;;;;;
040000093;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;04;1;355;04;93;1;04112;21300;Gynéco-Obstétrique;19;1043;3181;;0;;659;132;;;
040000119;2021;040780231;EPS LUMIERE DE RIEZ;04;1;106;04;93;1;04166;21100;Médecine;4;134;793;;0;;;;;;
040000119;2021;040780231;EPS LUMIERE DE RIEZ;04;1;106;04;93;1;04166;24000;Soins de suite et réadaptation;15;227;5113;;0;;;;;;
040000127;2021;040780249;EPS VALLEE DE LA BLANCHE SEYNE ALPES;04;1;106;04;93;1;04205;21100;Médecine;4;48;585;;0;;;;;;
040000135;2021;050002948;CHI DES ALPES DU SUD SITE DE SISTERON;04;1;355;04;93;1;04209;21100;Médecine;20;1969;5959;0;0;15163;;;;;
040000135;2021;050002948;CHI DES ALPES DU SUD SITE DE SISTERON;04;1;355;04;93;1;04209;24000;Soins de suite et réadaptation;15;203;5076;10;1865;;;;;;
040000911;2021;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;1;355;04;93;1;04070;21100;Médecine;107;3838;31429;25;1712;19926;;;;;1404
040000911;2021;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;1;355;04;93;1;04070;21200;Chirurgie;30;1103;4700;16;2058;;;;;;
040000911;2021;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;1;355;04;93;1;04070;21300;Gynéco-Obstétrique;17;695;2025;1;227;;366;117;;;
040000911;2021;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;04;1;355;04;93;1;04070;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);110;890;30328;131;10853;;;;;;
040003113;2021;920033503;HEMOD DES ALPES AUTODIALYSE SISTERON;07;2;146;04;93;0;04209;21100;Médecine;;;;;;;;;1865;;
040780389;2021;040000192;CLINIQUE MEDICALE JEAN GIONO;09;2;129;04;93;0;04112;24000;Soins de suite et réadaptation;85;548;19562;;0;;;;;;
040780405;2021;040000168;CENTRE DES CARMES;09;2;109;04;93;0;04001;24000;Soins de suite et réadaptation;70;598;27357;10;2820;;;;;;
040780405;2021;040000168;CENTRE DES CARMES;09;2;109;04;93;0;04001;25000;Soins de longue durée;41;22;8821;;;;;;;;
040780470;2021;040000192;CLINIQUE TOUTES AURES;09;2;128;04;93;0;04112;21200;Chirurgie;47;558;2074;20;5132;;;;;;
